channel,vintage,book,end,rows,start,n_ret,CAGR,Sharpe,MaxDD,H1,H2,Sharpe_common,CAGR_common,MaxDD_common,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,SPY_Sharpe,SPY_CAGR,SPY_MaxDD,SPY_OOS_Sharpe,base_Sharpe,base_OOS_Sharpe,pass4a,pass4b,fail4b
TRUE,v1,LIVE,2026-09-04,6059,2009-01-13,5799,0.05909520255172396,0.9796596080560822,-0.11640891127501718,1.1003114993487781,0.8549823901522073,0.9797443942199541,0.059105690342505346,-0.11640891127501718,1.0402912247123768,0.05397296729928058,0.938604706329015,-0.11640891127501662,0.7757888846992765,0.11428866030981055,-0.33717267708462306,0.7284876613975833,0.9796596080560822,0.938604706329015,False,False,CAGR
TRUNC,v1,LIVE,2026-09-04,4699,2009-01-13,4439,0.0866006138307156,1.2056282272849141,-0.12054945176473186,1.2259286577907393,1.1908521702124792,1.207514790344513,0.08675295408781225,-0.12054945176473186,1.1042568982946726,0.09534821724270404,1.2850855590004044,-0.12054945176473153,0.8890291118649435,0.15228044986566625,-0.3371725677562024,0.8820106885412021,1.2056282272849141,1.2850855590004044,False,False,CAGR
TRUE,v1,CAND20,2026-09-04,6059,2009-01-13,5799,0.09523377982741721,0.9597051181146782,-0.16568544886924685,1.0014451053320832,0.9204647000922536,0.9597881645733732,0.09525096365471719,-0.16568544886924685,0.9323324453844133,0.09669156598438255,0.9773834038798732,-0.16568544886924697,0.7757888846992765,0.11428866030981055,-0.33717267708462306,0.7284876613975833,0.9796596080560822,0.938604706329015,False,True,-
TRUNC,v1,CAND20,2026-09-04,4699,2009-01-13,4439,0.12656045968704688,1.0918469540160212,-0.18308335704557788,1.0882789048936223,1.101008628526146,1.092790217522911,0.12669594532046702,-0.18308335704557788,0.9928960782278157,0.1435373352949918,1.1674898871727382,-0.183083357045578,0.8890291118649435,0.15228044986566625,-0.3371725677562024,0.8820106885412021,1.2056282272849141,1.2850855590004044,False,True,-
TRUE,v2,LIVE,2026-09-04,6060,2009-01-13,5800,0.059316650146236105,0.9830692839910687,-0.11640897420417984,1.096431605443878,0.8659173661830016,0.983154352833646,0.05932717651255914,-0.11640897420417984,1.0402906194298887,0.05433612558267997,0.9444709648321692,-0.11640897420417973,0.77858586703393,0.1147721566346751,-0.3371728920067377,0.7332205099487612,0.9830692839910687,0.9444709648321692,False,False,CAGR
TRUNC,v2,LIVE,2026-09-04,4699,2009-01-13,4439,0.0866006138307156,1.2056282272849141,-0.12054945176473186,1.2259286577907393,1.1908521702124792,1.207514790344513,0.08675295408781225,-0.12054945176473186,1.1042568982946726,0.09534821724270404,1.2850855590004044,-0.12054945176473153,0.8890291118649435,0.15228044986566625,-0.3371725677562024,0.8820106885412021,1.2056282272849141,1.2850855590004044,False,False,CAGR
TRUE,v2,CAND20,2026-09-04,6060,2009-01-13,5800,0.09558107811674721,0.962850288075798,-0.1656854916779149,1.0000019923479864,0.9279814105161995,0.9629335943243281,0.09559832432860782,-0.1656854916779149,0.932334160470807,0.09726183474871442,0.9825639401666586,-0.16568549167791458,0.77858586703393,0.1147721566346751,-0.3371728920067377,0.7332205099487612,0.9830692839910687,0.9444709648321692,False,True,-
TRUNC,v2,CAND20,2026-09-04,4699,2009-01-13,4439,0.12656045968704688,1.0918469540160212,-0.18308335704557788,1.0882789048936223,1.101008628526146,1.092790217522911,0.12669594532046702,-0.18308335704557788,0.9928960782278157,0.1435373352949918,1.1674898871727382,-0.183083357045578,0.8890291118649435,0.15228044986566625,-0.3371725677562024,0.8820106885412021,1.2056282272849141,1.2850855590004044,False,True,-
TRUE,v3,LIVE,2026-09-03,4698,2009-01-13,4438,0.08675296857904025,1.2075155344686563,-0.12054935710126102,1.2259306318241245,1.1944358336939371,1.2075155344686563,0.08675296857904025,-0.12054935710126102,1.1042589739785789,0.09563217371201516,1.2884641863223543,-0.12054935710126125,0.8903808231745193,0.15256995675372154,-0.33717289200673806,0.8844186694522638,1.2075155344686563,1.2884641863223543,False,False,CAGR
TRUNC,v3,LIVE,2026-09-03,4698,2009-01-13,4438,0.08675295408781225,1.207514790344513,-0.12054945176473186,1.2259286577907393,1.1944360776499727,1.207514790344513,0.08675295408781225,-0.12054945176473186,1.1042568982946726,0.09563219637473908,1.2884645364279774,-0.12054945176473153,0.8903805687833198,0.15256995675372198,-0.3371725677562024,0.8844184222854343,1.207514790344513,1.2884645364279774,False,False,CAGR
TRUE,v3,CAND20,2026-09-03,4698,2009-01-13,4438,0.1267328078382215,1.0930789903925349,-0.18308321629461444,1.0882783023843388,1.1033179868221341,1.0930789903925349,0.1267328078382215,-0.18308321629461444,0.9928957406191272,0.14386392023085048,1.169657001611733,-0.18308321629461421,0.8903808231745193,0.15256995675372154,-0.33717289200673806,0.8844186694522638,1.2075155344686563,1.2884641863223543,False,True,-
