panel,family,drop_m1,q_star_R1,q_star_R2,q_cross_RND,n_at_q_R1
u56,LIN,False,0.8933292057903144,0.8942579872247941,0.09546507718211045,33.0
u56,LOG,False,,,0.11763763316468072,
u56,POW,False,,,0.13508608315267415,
u56,LIN,True,0.8158673019345152,0.8172972387658853,0.1415907475716233,31.0
u56,LOG,True,,,0.11583254798305333,
u56,POW,True,,,0.13103897451681165,
broad,LIN,False,0.8388173884766089,0.8440522937116752,0.7448293469061421,77.0
broad,LOG,False,0.949689056921374,0.9708425010177751,0.6863471683615916,87.0
broad,POW,False,,,,
broad,LIN,True,0.7594827258824849,0.7657467777720842,0.6711885750282128,69.0
broad,LOG,True,0.8977161400978307,0.9216740746524028,0.6400622550804914,82.0
broad,POW,True,,,,
small,LIN,False,0.8773574558437404,0.8861599180507356,0.03,124.0
small,LOG,False,0.9097416578731932,0.96581760818931,0.03,128.0
small,POW,False,,,0.03,
small,LIN,True,0.7964336390071136,0.8071576759771669,0.03,112.0
small,LOG,True,0.8436111235511895,0.9041474365130486,0.03,119.0
small,POW,True,,,0.06385931693477219,
