panel,book,cadence,estimator,pass4a,pass4b,null4b_ROTP,verdict,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,fail4b
U56,EWELIG,M,FPORT,False,True,0.0,KEEP-4b,0.12348441947732969,1.1706865014558034,-0.17634925264877477,-
U56,EWELIG,M,CANON,False,True,0.025,KEEP-4b,0.1297058584778965,1.2151616590386312,-0.1701240003603841,-
U56,BAND03,M,FPORT,False,False,0.0,KILL,0.09506872914059517,1.2030697134025814,-0.15685525423409408,L5_CAGR
U56,BAND03,M,CANON,False,False,0.0,KILL,0.09550316049849017,1.2236362606421853,-0.14381683197937534,L5_CAGR
U56,TOP20,M,FPORT,False,True,1.0,PARK,0.15560857980409315,1.201160717861532,-0.20054490726202034,-
U56,TOP20,M,CANON,False,True,0.815,PARK,0.16675561404197548,1.2833491709762566,-0.19506866657348376,-
U56,EWELIG,Q,FPORT,False,True,0.0,KEEP-4b,0.12293569323649489,1.1201440614016787,-0.201424124250017,-
U56,EWELIG,Q,CANON,False,False,0.0,KILL,0.1151706555831351,1.032801696452597,-0.2220595606403195,L4_DD
U56,BAND03,Q,FPORT,False,False,0.0,KILL,0.09635794266272013,1.1245469682911575,-0.18407596885484412,L5_CAGR
U56,BAND03,Q,CANON,False,False,0.0,KILL,0.08414466778294893,0.9736369915947524,-0.1990158754159994,L5_CAGR
U56,TOP20,Q,FPORT,False,False,0.68,KILL,0.15476229709831713,1.1213903153930784,-0.24235541653573867,L4_DD
U56,TOP20,Q,CANON,False,False,0.11,KILL,0.1526467726816676,1.0566413766811347,-0.2712234865349641,L4_DD
B136,EWELIG,M,FPORT,False,False,0.0,KILL,0.11361035660114238,1.0427067183900567,-0.20963603295412836,L4_DD
B136,EWELIG,M,CANON,False,False,0.0,KILL,0.12023571188334992,1.07443541370375,-0.21662223241008782,L4_DD
B136,BAND03,M,FPORT,False,False,0.0,KILL,0.08027149348328022,1.0325601226792565,-0.1711395995173347,L5_CAGR
B136,BAND03,M,CANON,False,False,0.0,KILL,0.08248365266580482,1.0846284403747068,-0.15687661157282995,L5_CAGR
B136,TOP20,M,FPORT,False,False,0.0,KILL,0.13805675346258672,0.9317515748391374,-0.2384720256148103,L4_DD
B136,TOP20,M,CANON,False,False,0.06,KILL,0.15548074428192016,1.000411926222563,-0.2610525610883291,L4_DD
B136,EWELIG,Q,FPORT,False,False,0.0,KILL,0.11994736126776151,1.054734400614079,-0.23099891196467504,L4_DD
B136,EWELIG,Q,CANON,False,False,0.0,KILL,0.10969651952700232,0.9694689654665202,-0.24436024823827207,L4_DD
B136,BAND03,Q,FPORT,False,False,0.0,KILL,0.08731803203713984,1.023051536550005,-0.2030320750612562,"L4_DD,L5_CAGR"
B136,BAND03,Q,CANON,False,False,0.0,KILL,0.07639104563374732,0.8876072207717232,-0.21842850303993344,"L2_H2,L4_DD,L5_CAGR"
B136,TOP20,Q,FPORT,False,False,0.0,KILL,0.14966674590860896,0.9497779512213415,-0.26026923518537604,L4_DD
B136,TOP20,Q,CANON,False,False,0.03,KILL,0.11696758306423094,0.749045655109008,-0.27066003473973965,"L2_H2,L3_OOS,L4_DD"
