CLAIM_SET,N,STATES_K,NO_K,VARYING_K,IS_BAND,ADJUD,ADJUD_NO_K,STATES_K_share,VARYING_K_share,ADJUD_NO_K_share
C_STRICT,313,191,122,90,13,313,122,0.610223642172524,0.28753993610223644,0.38977635782747605
C_PROX,496,277,219,123,21,313,122,0.5584677419354839,0.24798387096774194,0.24596774193548387
C_ALL,4442,1842,2600,695,21,2526,1302,0.41467807294011705,0.1564610535794687,0.29311121116614136
