window,char,k,n_min,n_common_rungs,resid,sd,obs
FULL,momac,12,36,4,0.009060909005672331,0.005273599100577563,17
FULL,momac,12,48,4,0.008694952424932316,0.006735234539638057,19
FULL,momac,12,64,4,0.006775674924514288,0.006793189357669157,22
FULL,momac,12,84,4,0.015319455766294388,0.0074574170416406415,22
FULL,momac,12,110,4,0.008573200162808645,0.0058090882555474,24
FULL,momac,12,134,4,0.0058733237505731685,0.004746398427277452,24
FULL,momac,24,36,2,0.0036253450166519874,0.002782902122328211,8
FULL,momac,24,48,2,0.005676885795857833,0.0036058824960331897,10
FULL,momac,24,64,2,0.007353203270757429,0.005360046295159636,12
FULL,momac,24,84,2,0.00928111494475467,0.00610314793824837,12
FULL,momac,24,110,2,0.006071796396451122,0.0037265495221850222,12
FULL,momac,24,134,2,0.0057339900569553055,0.004740556864501884,12
FULL,momac,36,48,1,0.0067022445606135465,0.0036022084986894356,5
FULL,momac,36,64,1,0.006863246045569186,0.005956242086644326,6
FULL,momac,36,84,1,0.009663612147011594,0.004073930332075309,6
FULL,momac,36,110,1,0.008370593641439661,0.0036808865073115716,6
FULL,momac,36,134,1,0.004338016065462802,0.003097859515493819,6
FULL,tpers,12,36,3,0.0012008044242097355,0.0009908089571587452,13
FULL,tpers,12,48,3,0.001667502149745112,0.0008832351046059017,17
FULL,tpers,12,64,3,0.00194141931450515,0.0012048972740588309,18
FULL,tpers,12,84,3,0.0015086753160445943,0.0006489288254164792,18
FULL,tpers,12,110,3,0.0013442344879905613,0.000831875707106217,18
FULL,tpers,12,134,3,0.0017840699551957427,0.0006841205600376988,18
FULL,tpers,24,36,2,0.0015403688279322925,0.001349617740219792,8
FULL,tpers,24,48,2,0.0015795567731975637,0.0013316477643002687,11
FULL,tpers,24,64,2,0.0018141819020895862,0.0009563583185877482,12
FULL,tpers,24,84,2,0.0013327099829442874,0.0006107597865412943,12
FULL,tpers,24,110,2,0.0012383761123842356,0.0006481808257137149,12
FULL,tpers,24,134,2,0.0013643129481091625,0.0008313804681736598,12
FULL,tpers,36,48,2,0.0017190337445652608,0.0008988304216648377,6
FULL,tpers,36,64,2,0.0016748953263756804,0.00114268040331518,10
FULL,tpers,36,84,2,0.001549790249991893,0.000766291436160286,12
FULL,tpers,36,110,2,0.0013005924471480763,0.0005722820012641637,12
FULL,tpers,36,134,2,0.0016526818474412914,0.0004508020411793409,12
IS,momac,12,36,3,0.014645756497223236,0.014555639257595438,18
IS,momac,12,48,3,0.009799702330848543,0.00890299261520871,18
IS,momac,12,64,3,0.011582377850793147,0.0075947576346962085,18
IS,momac,12,84,3,0.012596320878099927,0.010824391055080004,18
IS,momac,12,110,3,0.006621213639793091,0.005730963646191818,18
IS,momac,12,134,3,0.00925011033979477,0.006000354676610856,18
IS,momac,24,36,3,0.011087192982897906,0.007472373962132399,12
IS,momac,24,48,3,0.012554090467718493,0.008729697829722164,17
IS,momac,24,64,3,0.010462401553542364,0.00902662509557437,18
IS,momac,24,84,3,0.009974603224757758,0.004274601206715629,18
IS,momac,24,110,3,0.009230393980568272,0.006494428633492074,18
IS,momac,24,134,3,0.00849310124462779,0.005398120910237057,18
IS,momac,36,48,2,0.012132610138505926,0.008836548168466256,7
IS,momac,36,64,2,0.009372929614545016,0.007210017255800022,11
IS,momac,36,84,2,0.011958732968281918,0.00710889315030851,12
IS,momac,36,110,2,0.006722507615535676,0.004385535375221668,12
IS,momac,36,134,2,0.004648861476786735,0.004469493574397213,12
IS,tpers,12,36,3,0.002123805178031007,0.0013855615037504526,18
IS,tpers,12,48,3,0.0017150100206806602,0.001454305816245238,17
