diststat,stat,n,rho_dist_adj_noGROSS,rho_rungcount_noGROSS
RETCORR,S_FULL,6,,
RETCORR,S_OOS,6,0.8451542547285166,-0.9797958971132713
RETCORR,CAGR,6,0.39279220242478635,-0.632455532033676
RETCORR,DD,6,0.8451542547285166,-0.9797958971132713
OVERLAP,S_FULL,6,,
OVERLAP,S_OOS,6,0.8451542547285166,-0.9797958971132713
OVERLAP,CAGR,6,0.39279220242478635,-0.632455532033676
OVERLAP,DD,6,0.8451542547285166,-0.9797958971132713
TURNGAP,S_FULL,6,,
TURNGAP,S_OOS,6,0.8451542547285166,-0.9797958971132713
TURNGAP,CAGR,6,0.39279220242478635,-0.632455532033676
TURNGAP,DD,6,0.8451542547285166,-0.9797958971132713
