universe,book,sleeve,conv,f,Sharpe,lin,dSharpe,dCAGR_pp,rate
u56,v1,S9,natural,0.25,0.7246799883887267,0.7151948225732345,0.009485165815492191,-0.30025122647252545,0.03159076459712691
u56,v1,S9,natural,0.5,0.7913469693490998,0.7662092434195512,0.02513772592954855,-0.6360388546927886,0.03952231179601481
u56,v1,S9,natural,0.75,0.8504919442458887,0.8172236642658679,0.0332682799800208,-1.0061008941456562,0.033066544492310584
u56,v1,S9,matched,0.25,0.7307436896549804,0.7149712900033904,0.01577239965158994,-0.06242293148399636,0.25266996080813
u56,v1,S9,matched,0.5,0.8026126483239671,0.7657621782798631,0.03685047004410391,-0.18207821780475975,0.2023881301585356
u56,v1,S9,matched,0.75,0.8664762933769765,0.8165530665563359,0.049923226820640654,-0.3719433005235695,0.13422268058159872
u56,v1,S4,natural,0.25,0.7242624026715834,0.652059619146433,0.07220278352515042,-0.8590072222479872,0.08405375607459813
u56,v1,S4,natural,0.5,0.7959598322255304,0.6399388365659482,0.15602099565958216,-1.782247478755572,0.0875417120906921
u56,v1,S4,natural,0.75,0.8161695972807183,0.6278180539854634,0.18835154329525483,-2.7689599098470907,0.06802248838108173
u56,v1,S4,matched,0.25,0.7206079950257651,0.6201826621640993,0.10042533286166577,-0.4958792062334405,0.2025197499698938
u56,v1,S4,matched,0.5,0.7778823280931956,0.576184922601281,0.20169740549191462,-1.1687144299428187,0.17258057257133635
u56,v1,S4,matched,0.75,0.7797558388109878,0.5321871830384626,0.24756865577252518,-2.1078953768500774,0.11744826545541275
u56,top20,S9,natural,0.25,1.0845122321300773,1.0361614503515386,0.04835078177853869,-1.89619121346436,0.025498895594079533
u56,top20,S9,natural,0.5,1.0609341042774836,0.9801869952717539,0.08074710900572968,-3.799349045736111,0.02125287991013871
u56,top20,S9,natural,0.75,1.001986295479305,0.9242125401919693,0.07777375528733577,-5.70794807108761,0.013625519068977186
u56,top20,S9,matched,0.25,1.0885326197431777,1.0479048769477652,0.04062774279541248,-1.57020571032922,0.025874153003108233
u56,top20,S9,matched,0.5,1.0718013647246434,1.0036738484642074,0.068127516260436,-3.2201657096203373,0.02115652497537723
u56,top20,S9,matched,0.75,1.0282337056540336,0.9594428199806495,0.0687908856733841,-4.964133909047397,0.013857580583797118
u56,top20,S4,natural,0.25,1.1435586596473484,0.973026246924737,0.17053241272261133,-2.457894893335788,0.0693814911227426
u56,top20,S4,natural,0.5,1.1923482704636108,0.8539165884181509,0.3384316820454599,-4.953020467321045,0.06832834313493327
u56,top20,S4,natural,0.75,1.1179851464708388,0.7348069299115647,0.3831782165592741,-7.477360389472643,0.051245118143395864
u56,top20,S4,matched,0.25,1.141893659065849,0.9453048636158052,0.19658879545004382,-1.8312647725421183,0.10735137725449931
u56,top20,S4,matched,0.5,1.1793425175639836,0.7984738218002873,0.3808686957636963,-3.9415344818906295,0.09662954808935367
u56,top20,S4,matched,0.75,1.1028839502502206,0.6516427799847693,0.4512411702654513,-6.479889676835393,0.06963716865096777
u56,ewall,S9,natural,0.25,1.0509400757309115,1.0039200429863726,0.04702003274453892,-1.3044716237066156,0.03604527065980397
u56,ewall,S9,natural,0.5,1.0338183223618307,0.9586927236949767,0.07512559866685398,-2.641698906373402,0.028438365358597395
u56,ewall,S9,natural,0.75,0.9816929279663573,0.9134654044035807,0.06822752356277662,-3.993746444386659,0.017083589184454268
u56,ewall,S9,matched,0.25,1.0445422912982303,1.0059883618187226,0.03855392947950764,-0.9484479121356193,0.04064949586181891
u56,ewall,S9,matched,0.5,1.029409326670468,0.9628293613596763,0.06657996531079169,-1.9951166742822046,0.03337146452086346
u56,ewall,S9,matched,0.75,0.9904721115466042,0.9196703609006303,0.07080175064597394,-3.171120558360352,0.02232704476003348
u56,ewall,S4,natural,0.25,1.1117718237908862,0.9407848395595713,0.17098698423131498,-1.8804872165994135,0.09092695909973797
u56,ewall,S4,natural,0.5,1.1645218694100654,0.8324223168413737,0.3320995525686917,-3.8082205089777332,0.08720596714023776
u56,ewall,S4,natural,0.75,1.0703470069008918,0.7240597941231761,0.3462872127777157,-5.769926900085043,0.060015875205041466
u56,ewall,S4,matched,0.25,1.1155876076028826,0.9095740697355958,0.2060135378672867,-1.2570587078224227,0.16388537511041135
u56,ewall,S4,matched,0.5,1.1607098263619406,0.770000777193423,0.3907090491685177,-2.794580246182421,0.13980956521189605
u56,ewall,S4,matched,0.75,1.0549841607597947,0.63042748465125,0.42455667610854475,-4.7468142704981675,0.08944033870193714
broad,v1,S9,natural,0.25,0.7062670190682024,0.693242281580069,0.013024737488133487,-0.2735058337870466,0.047621424771051246
broad,v1,S9,natural,0.5,0.787929631418537,0.7514934549602542,0.03643617645828279,-0.5897052032866279,0.06178710354802971
broad,v1,S9,natural,0.75,0.859191599456632,0.8097446283404395,0.04944697111619256,-0.9476511265045229,0.05217845442613587
broad,v1,S9,matched,0.25,0.7015682349690553,0.6938560328514627,0.007712202117592604,-0.12050134058245732,0.06400096530308105
broad,v1,S9,matched,0.5,0.7793522655109718,0.7527209575030417,0.02663130800793012,-0.26574642200347665,0.10021323262663426
