key,sigma,seed,moved
advQ,0.25,1,0.9358720781522275
VOLSH,0.25,1,0.0
DVOLT,0.25,1,0.9435398917261318
capQ,0.25,1,0.0
advQ,0.25,2,0.945235942752817
VOLSH,0.25,2,0.0
DVOLT,0.25,2,0.9519630716068939
capQ,0.25,2,0.0
advQ,0.25,3,0.9406417372297645
VOLSH,0.25,3,0.0
DVOLT,0.25,3,0.9497963259039205
capQ,0.25,3,0.0
advQ,0.5,1,0.9633013171699976
VOLSH,0.5,1,0.0
DVOLT,0.5,1,0.9678130806614247
capQ,0.5,1,0.0
advQ,0.5,2,0.9687291032350395
VOLSH,0.5,2,0.0
DVOLT,0.5,2,0.9717710028121893
capQ,0.5,2,0.0
advQ,0.5,3,0.9650593758785889
VOLSH,0.5,3,0.0
DVOLT,0.5,3,0.9712425282504885
capQ,0.5,3,0.0
