draw,selector,k,n,r,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,anchor_OOS_S,anchor_OOS_CAGR,anchor_OOS_DD,best_OOS_S,v2_OOS_S,spy_OOS_S,beats_anchor,beats_v2,beats_spy
0,PICK-r @k=40.0,40,4,0.1,0.43141490069067817,0.18986812979036505,0.8731962355988687,-0.2888823052495322,0.7080077452025271,0.149776962695362,-0.3008119651259906,1.0226993442283934,0.7808524144316686,0.8820239235972316,True,True,False
0,PICK-n @k=40.0,40,5,0.125,0.33257690728840283,0.14477603813596285,0.7547564728914542,-0.3331245963955247,0.49453037871078404,0.06443233312563335,-0.2509961216091674,0.7547564728914542,0.7808524144316686,0.8820239235972316,True,False,False
0,PICK-r @k=60.0,60,30,0.5,0.4592829803108749,0.006868990741031755,0.12178523589440224,-0.18637780333278675,0.1996793732765585,0.018561897840971397,-0.3289629965839075,0.259794588420534,0.45657341217062386,0.8820239235972316,False,False,False
0,PICK-n @k=60.0,60,30,0.5,0.4592829803108749,0.006868990741031755,0.12178523589440224,-0.18637780333278675,0.21891463593546975,0.023076357931156588,-0.29328257743900604,0.35457152223333027,0.45657341217062386,0.8820239235972316,False,False,False
0,PICK-r @k=80.0,80,40,0.5,0.2765203821855388,0.005065982688037929,0.10060834303693512,-0.29942192722070793,-0.10959644399502205,-0.0441525649716035,-0.507356620981098,0.19219577748363117,0.5060779065436873,0.8820239235972316,True,False,False
0,PICK-n @k=80.0,80,30,0.375,0.27052734246785826,0.004703111642797797,0.10016715048772078,-0.3701989650431402,-0.036847638168495754,-0.02571546442774004,-0.4750677778302331,0.19219577748363117,0.5060779065436873,0.8820239235972316,True,False,False
0,PICK-r @k=100.0,100,5,0.05,0.6117559409162736,0.057535313388553,0.3591136098538615,-0.4227995372508606,0.322378135423976,0.03963117395613547,-0.3254245727817314,0.3591136098538615,0.6483826513010355,0.8820239235972316,True,False,False
0,PICK-n @k=100.0,100,5,0.05,0.6117559409162736,0.057535313388553,0.3591136098538615,-0.4227995372508606,0.37925039385160336,0.050026907481943404,-0.3330486370876241,0.4949127182067154,0.6483826513010355,0.8820239235972316,False,False,False
0,PICK-r @k=200.0,200,100,0.5,0.3802362823317872,0.012586379739089715,0.18283189400222616,-0.22002227012506526,0.2939151396403007,0.03462301246514582,-0.2969342244437607,0.3831414291092452,0.4956693524924579,0.8820239235972316,False,False,False
0,PICK-n @k=200.0,200,30,0.15,0.3062886958056634,0.039652560474163545,0.33603938686888074,-0.32763811818801636,0.41258547334345563,0.0641869114890345,-0.33720655133908245,0.6277526973725539,0.4956693524924579,0.8820239235972316,False,False,False
0,PICK-r @k=400.0,400,200,0.5,0.4761768961579727,0.01492031169582142,0.21282602083469485,-0.18948099817919328,0.3255114732230539,0.037090374076553856,-0.25978860795255254,0.40200920376044097,0.5732362582309644,0.8820239235972316,False,False,False
0,PICK-n @k=400.0,400,15,0.0375,0.44453022575561724,0.06177707373722585,0.42122452623821055,-0.2859669954617471,0.4156031767833096,0.06297536106018153,-0.30929420613358605,0.5247478546832518,0.5732362582309644,0.8820239235972316,True,False,False
0,"PICK-(k,r) joint",100,5,0.05,0.6117559409162736,0.057535313388553,0.3591136098538615,-0.4227995372508606,0.289982570461899,0.03925514267709417,-0.33654649797817343,1.0226993442283934,0.6483826513010355,0.8820239235972316,True,False,False
0,"PICK-(k,n) joint",100,5,0.05,0.6117559409162736,0.057535313388553,0.3591136098538615,-0.4227995372508606,0.3140060700760211,0.039830401110034885,-0.33314931190644975,0.7547564728914542,0.6483826513010355,0.8820239235972316,True,False,False
