family,level,n,med_crash,crash_gt0,med_trend,trend_gt0,cheaper_in_crash,med_gap
200d,100.0,4,-3.1422523687668136,0,-1.7291984362762205,0,1,-2.092623213698583
200d,150.0,4,-5.697073182441079,0,-0.4883151204794025,1,0,-5.208758061961676
200d,200.0,4,-5.879973281159009,1,-0.2888727597203923,1,1,-5.591100521438616
200d,250.0,4,-7.199647204835029,0,-0.125109925601496,1,0,-7.0745372792335335
abs,63.0,4,-5.611778983944099,0,-1.1954497273803708,0,0,-4.416329256563728
abs,126.0,4,-2.4341766702207193,0,-0.5057237812294327,1,0,-1.9284528889912866
abs,252.0,4,-6.649096004950868,0,-0.3263046916316189,1,0,-6.293734141335342
abs,378.0,4,-4.08720443941566,1,-0.5358951807905644,1,0,-3.333327835499407
band,0.02,4,-5.562994358343192,0,-0.08789695743749364,1,0,-5.475097400905698
band,0.03,4,-4.759493359066173,0,-0.08527572636485095,1,0,-4.674217632701322
band,0.05,4,-3.7702676701278106,0,0.0681148990841122,3,0,-3.9628351707595746
band,0.08,4,-2.461686253994874,0,0.05190289963898205,3,0,-2.854617067083655
ddctl,0.08,4,-2.5752964416569957,2,-3.0883782809973725,0,2,0.5533683102116367
ddctl,0.12,4,-5.944527748902602,0,-0.8749025355649593,0,0,-5.069625213337643
ddctl,0.16,4,-3.771181954169468,0,-0.11753520510475887,0,0,-3.5949729113323285
ddctl,0.2,4,-3.755930379510588,0,0.0,0,0,-3.755930379510588
dg,0.45,4,8.442289012317449,4,-11.430713339463587,0,4,19.676952950510078
dg,0.6,4,6.13984655441269,4,-8.313246065064426,0,4,14.310511236734602
dg,0.75,4,3.837404096507932,4,-5.195778790665266,0,4,8.944069522959126
dg,0.85,4,2.3024424579047595,4,-3.1174672743991603,0,4,5.366441713775477
stop,0.1,4,-3.9915639340870905,0,-1.2272889554667645,0,0,-2.8100349517885705
stop,0.15,4,-3.74108858154447,0,-0.643702332511715,0,0,-3.038706568625962
stop,0.2,4,-2.7110199673905795,0,-0.2413847381602916,0,0,-2.5025199520365984
stop,0.25,4,-1.238894819440013,0,-0.1940206982763271,0,1,-1.0448741211636858
