panel,split,boundary,H1_n,H2_n,H1_cal,H2_cal,y2020_in,y2022_in,H1_Sharpe,H2_Sharpe
U56,NATIVE,2017-11-07,2221,2221,3220,3229,H2,H2,1.2348551724631611,1.1718361428616706
U56,CALMID,2017-11-13,2225,2217,3226,3223,H2,H2,1.2261934738760243,1.179626666012818
U56,2014-01-01,2014-01-02,1251,3191,1815,4634,H2,H2,1.2156909344769617,1.1934644002535664
U56,2015-01-01,2015-01-02,1503,2939,2180,4269,H2,H2,1.1790195992670416,1.2104645398282192
U56,2016-01-01,2016-01-04,1755,2687,2547,3902,H2,H2,1.1079054184935417,1.258511210054288
U56,2017-01-01,2017-01-03,2007,2435,2912,3537,H2,H2,1.1042568982946719,1.274666072828785
U56,2018-01-01,2018-01-02,2258,2184,3276,3173,H2,H2,1.236960049407679,1.17001745176539
U56,2019-01-01,2019-01-02,2509,1933,3641,2808,H2,H2,1.1051296449025954,1.3140200983983144
B136,NATIVE,2017-11-03,2219,2220,3216,3227,H2,H2,1.2290677258478548,0.9843850631086558
B136,CALMID,2017-11-09,2223,2216,3222,3221,H2,H2,1.235260383822991,0.9780586179046589
B136,2014-01-01,2014-01-02,1251,3188,1815,4628,H2,H2,1.2531692450117573,1.0427913500308816
B136,2015-01-01,2015-01-02,1503,2936,2180,4263,H2,H2,1.218612738908798,1.043702883557641
B136,2016-01-01,2016-01-04,1755,2684,2547,3896,H2,H2,1.0983220288557203,1.112439242060917
B136,2017-01-01,2017-01-03,2007,2432,2912,3531,H2,H2,1.0911618922065958,1.1185082795688428
B136,2018-01-01,2018-01-02,2258,2181,3276,3167,H2,H2,1.2486802947772502,0.9618683692012471
B136,2019-01-01,2019-01-02,2509,1930,3641,2802,H2,H2,1.0981760297175336,1.1155723948119514
SMALL,NATIVE,2018-11-06,1967,1967,2854,2859,H2,H2,0.5415822738827277,0.6802086831734075
SMALL,CALMID,2018-11-09,1970,1964,2857,2856,H2,H2,0.5509256322600423,0.6725046174906155
SMALL,2014-01-01,2014-01-02,746,3188,1085,4628,H2,H2,0.8281433681486705,0.5603891270878323
SMALL,2015-01-01,2015-01-02,998,2936,1450,4263,H2,H2,0.6188699071413782,0.6131685606284816
SMALL,2016-01-01,2016-01-04,1250,2684,1817,3896,H2,H2,0.42583425773678135,0.6979179439516321
SMALL,2017-01-01,2017-01-03,1502,2432,2182,3531,H2,H2,0.5308398261456386,0.6629120596089236
SMALL,2018-01-01,2018-01-02,1753,2181,2546,3167,H2,H2,0.5265270556910431,0.678438323974479
SMALL,2019-01-01,2019-01-02,2004,1930,2911,2802,H2,H2,0.4731212325264993,0.7418306005899632
