rung,named,named_share,decided,decided_share,files,claim_set
R0_ASBUILT,127261,0.15188814360394337,127261,0.15188814360394337,185,ROW_WEIGHTED
R1_ALPHABET,177061,0.21132528107321033,177061,0.21132528107321033,286,ROW_WEIGHTED
R2_LEGCOLS,238811,0.28502494450146804,238811,0.28502494450146804,312,ROW_WEIGHTED
R3_STATS_INFILE,282508,0.3371780488387081,282508,0.3371780488387081,435,ROW_WEIGHTED
R4_STATS_PANEL,567526,0.6773518248872127,568038,0.6779629054973385,595,ROW_WEIGHTED
R0_ASBUILT,184,0.26900584795321636,184,0.26900584795321636,684,FILE_WEIGHTED
R1_ALPHABET,284,0.4152046783625731,284,0.4152046783625731,684,FILE_WEIGHTED
R2_LEGCOLS,310,0.45321637426900585,310,0.45321637426900585,684,FILE_WEIGHTED
R3_STATS_INFILE,391,0.5716374269005848,391,0.5716374269005848,684,FILE_WEIGHTED
R4_STATS_PANEL,551,0.8055555555555556,551,0.8055555555555556,684,FILE_WEIGHTED
