legset,wstart,cost,rec_passes,destroyed,created,after,destroyed_share,net
REC5,2009-01-01,0.0,21,4,2,19,0.19047619047619047,-2
REC5,2009-01-01,5.0,17,4,0,13,0.23529411764705882,-4
REC5,2009-01-01,10.0,12,2,2,12,0.16666666666666666,0
REC5,2009-01-01,25.0,7,1,0,6,0.14285714285714285,-1
REC5,2009-01-01,50.0,3,2,0,1,0.6666666666666666,-2
REC5,2010-01-01,0.0,21,4,2,19,0.19047619047619047,-2
REC5,2010-01-01,5.0,17,5,2,14,0.29411764705882354,-3
REC5,2010-01-01,10.0,12,4,4,12,0.3333333333333333,0
REC5,2010-01-01,25.0,7,4,0,3,0.5714285714285714,-4
REC5,2010-01-01,50.0,3,3,0,0,1.0,-3
REC5,2011-01-01,0.0,21,2,2,21,0.09523809523809523,0
REC5,2011-01-01,5.0,17,2,2,17,0.11764705882352941,0
REC5,2011-01-01,10.0,12,0,4,16,0.0,4
REC5,2011-01-01,25.0,7,1,0,6,0.14285714285714285,-1
REC5,2011-01-01,50.0,3,0,0,3,0.0,0
REC5,2012-01-01,0.0,21,19,0,2,0.9047619047619048,-19
REC5,2012-01-01,5.0,17,15,0,2,0.8823529411764706,-15
REC5,2012-01-01,10.0,12,11,0,1,0.9166666666666666,-11
REC5,2012-01-01,25.0,7,7,0,0,1.0,-7
REC5,2012-01-01,50.0,3,3,0,0,1.0,-3
REC5,2013-01-01,0.0,21,18,0,3,0.8571428571428571,-18
REC5,2013-01-01,5.0,17,14,0,3,0.8235294117647058,-14
REC5,2013-01-01,10.0,12,9,0,3,0.75,-9
REC5,2013-01-01,25.0,7,7,0,0,1.0,-7
REC5,2013-01-01,50.0,3,3,0,0,1.0,-3
FOUR,2009-01-01,0.0,22,4,5,23,0.18181818181818182,1
FOUR,2009-01-01,5.0,18,4,5,19,0.2222222222222222,1
FOUR,2009-01-01,10.0,12,2,7,17,0.16666666666666666,5
FOUR,2009-01-01,25.0,7,1,3,9,0.14285714285714285,2
FOUR,2009-01-01,50.0,3,2,1,2,0.6666666666666666,-1
FOUR,2010-01-01,0.0,22,4,5,23,0.18181818181818182,1
FOUR,2010-01-01,5.0,18,5,7,20,0.2777777777777778,2
FOUR,2010-01-01,10.0,12,4,9,17,0.3333333333333333,5
FOUR,2010-01-01,25.0,7,4,3,6,0.5714285714285714,-1
FOUR,2010-01-01,50.0,3,3,1,1,1.0,-2
FOUR,2011-01-01,0.0,22,2,4,24,0.09090909090909091,2
FOUR,2011-01-01,5.0,18,2,6,22,0.1111111111111111,4
FOUR,2011-01-01,10.0,12,0,9,21,0.0,9
FOUR,2011-01-01,25.0,7,1,2,8,0.14285714285714285,1
FOUR,2011-01-01,50.0,3,0,1,4,0.0,1
FOUR,2012-01-01,0.0,22,20,2,4,0.9090909090909091,-18
FOUR,2012-01-01,5.0,18,16,2,4,0.8888888888888888,-14
FOUR,2012-01-01,10.0,12,11,2,3,0.9166666666666666,-9
FOUR,2012-01-01,25.0,7,7,0,0,1.0,-7
FOUR,2012-01-01,50.0,3,3,0,0,1.0,-3
FOUR,2013-01-01,0.0,22,19,1,4,0.8636363636363636,-18
FOUR,2013-01-01,5.0,18,15,1,4,0.8333333333333334,-14
FOUR,2013-01-01,10.0,12,9,1,4,0.75,-8
FOUR,2013-01-01,25.0,7,7,0,0,1.0,-7
FOUR,2013-01-01,50.0,3,3,0,0,1.0,-3
SHARPE2,2009-01-01,0.0,92,17,36,111,0.18478260869565216,19
SHARPE2,2009-01-01,5.0,84,20,40,104,0.23809523809523808,20
SHARPE2,2009-01-01,10.0,72,20,48,100,0.2777777777777778,28
SHARPE2,2009-01-01,25.0,62,14,32,80,0.22580645161290322,18
SHARPE2,2009-01-01,50.0,48,36,36,48,0.75,0
SHARPE2,2010-01-01,0.0,92,20,36,108,0.21739130434782608,16
SHARPE2,2010-01-01,5.0,84,24,40,100,0.2857142857142857,16
SHARPE2,2010-01-01,10.0,72,24,48,96,0.3333333333333333,24
SHARPE2,2010-01-01,25.0,62,22,31,71,0.3548387096774194,9
SHARPE2,2010-01-01,50.0,48,36,28,40,0.75,-8
SHARPE2,2011-01-01,0.0,92,12,32,112,0.13043478260869565,20
SHARPE2,2011-01-01,5.0,84,12,40,112,0.14285714285714285,28
SHARPE2,2011-01-01,10.0,72,8,48,112,0.1111111111111111,40
SHARPE2,2011-01-01,25.0,62,10,26,78,0.16129032258064516,16
SHARPE2,2011-01-01,50.0,48,20,28,56,0.4166666666666667,8
SHARPE2,2012-01-01,0.0,92,72,8,28,0.782608695652174,-64
SHARPE2,2012-01-01,5.0,84,64,8,28,0.7619047619047619,-56
SHARPE2,2012-01-01,10.0,72,56,8,24,0.7777777777777778,-48
SHARPE2,2012-01-01,25.0,62,50,1,13,0.8064516129032258,-49
SHARPE2,2012-01-01,50.0,48,48,4,4,1.0,-44
SHARPE2,2013-01-01,0.0,92,60,24,56,0.6521739130434783,-36
SHARPE2,2013-01-01,5.0,84,52,13,45,0.6190476190476191,-39
SHARPE2,2013-01-01,10.0,72,40,12,44,0.5555555555555556,-28
SHARPE2,2013-01-01,25.0,62,41,4,25,0.6612903225806451,-37
SHARPE2,2013-01-01,50.0,48,36,8,20,0.75,-28
