key,family,truth_scale_leak,truth_term_dated,T1_flag,T1_med,T1_max,T2_flag,T2_med,T2_max,T1_flag_maxstat,T2_flag_maxstat,BOTH_flag,absIC_fwd
MOM,causal,False,False,False,0.0,4.0,False,0.0,0.0,True,False,False,0.08167336811870501
R6,causal,False,False,False,0.0,2.0,False,0.0,0.0,True,False,False,0.06500399056390561
DDTR,causal,False,False,False,0.0,2.0,False,0.0,0.0,True,False,False,0.07166432951829332
REBASED,causal,False,False,False,0.0,2.0,False,0.0,0.0,True,False,False,0.18395678172983101
VOL20,causal,False,False,False,0.0,2.0,False,0.0,0.0,True,False,False,0.05673776992766094
VOLSH,causal,False,False,False,0.0,0.0,False,0.0,0.0,False,False,False,0.41216782810011704
PRICE,level,True,False,True,272.0,370.0,False,0.0,0.0,True,False,True,0.441952372133949
FROZEN,level,True,False,True,276.5,364.0,False,0.0,0.0,True,False,True,0.2603531026542186
DVOL,level,True,False,True,185.0,350.0,False,0.0,0.0,True,False,True,0.5981405943602034
PXDVOL,level,True,False,True,179.0,342.0,False,0.0,0.0,True,False,True,0.5995705009005099
MCAP,both,True,True,True,239.0,409.0,True,inf,inf,True,True,True,0.7091850194428899
MCAPFRZ,both,True,True,True,216.5,271.0,True,inf,inf,True,True,True,0.4492772002259092
PXTERM,both,True,True,True,240.0,335.0,True,294.0,343.0,True,True,True,0.4978661043290994
FWDRET,termonly,False,True,False,0.0,1.0,True,330.0,411.0,False,True,True,1.0
TERMREB,termonly,False,True,False,0.0,1.0,True,368.0,417.0,False,True,True,0.9999999994010678
MCAPREB,termonly,False,True,False,0.0,0.0,True,inf,inf,False,True,True,0.44049936041408455
SHARES,termonly,False,True,False,0.0,0.0,True,inf,inf,False,True,True,0.3461746499597875
FULLVOL,termonly,False,True,False,0.0,0.0,True,291.0,417.0,False,True,True,0.12744537941493003
FULLSHRP,termonly,False,True,False,0.0,0.0,True,334.0,419.0,False,True,True,0.6103862457613757
MAXMOVE,termonly,False,True,False,1.0,1.0,True,330.0,413.0,False,True,True,0.10985269650352614
