panel,cost,book,conv,CAGR0,CAGR3,CAGRw,inc1,inc2,R,klass,n4b,n4a,narms,pass4b_at_003,pass4b_at_0
B136,10,ew-all,dg,0.0777960254478418,0.0803031894255104,0.0839683587776898,0.0025071639776686055,0.0036651693521793927,1.4618785946293023,NO-SIGNAL,0,0,7,False,False
B136,25,ew-all,dg,0.0724387621736641,0.0770499223423932,0.0826551467920138,0.004611160168729103,0.005605224449620597,1.2155779119608137,NO-SIGNAL,0,0,7,False,False
B136,10,ew-all,rw,0.1163744342160599,0.1173412086246987,0.1365078861056137,0.000966774408638793,0.01916667748091501,19.82538771159806,NO-SIGNAL,4,0,7,True,True
B136,25,ew-all,rw,0.1033107550858569,0.1093110068810065,0.1337969195590911,0.006000251795149611,0.024485912678084587,4.080814191477452,NO-SIGNAL,3,0,7,True,False
B136,10,top20,dg,0.1466309996034283,0.1472377588433098,0.1608336454339689,0.0006067592398815158,0.013595886590659106,22.407382858008106,NO-SIGNAL,0,0,7,False,False
B136,25,top20,dg,0.1242482312669965,0.1249571624324636,0.139819448928697,0.0007089311654671082,0.01486228649623339,20.964357641747583,NO-SIGNAL,0,0,7,False,False
B136,10,top20,rw,0.1479875985686511,0.1473583024448503,0.1563475422039841,-0.0006292961238008044,0.008989239759133821,,NO-RECOVERY,0,0,7,False,False
B136,25,top20,rw,0.1249280166607098,0.1244951572169628,0.1349153570031538,-0.00043285944374699126,0.010420199786190992,,NO-RECOVERY,0,0,7,False,False
SMALL439,10,ew-all,dg,0.035584750244263,0.0380368607648484,0.0474204624628884,0.0024521105205854016,0.00938360169804,3.8267450097640037,NO-SIGNAL,0,1,7,False,False
SMALL439,25,ew-all,dg,0.0298345209018373,0.0336855354232608,0.0452816892235643,0.003851014521423498,0.011596153800303502,3.0111945140152505,NO-SIGNAL,0,1,7,False,False
SMALL439,10,ew-all,rw,0.0647868204682573,0.0731138162836113,0.1006878765763499,0.008326995815353996,0.027574060292738595,3.3114055662061563,NO-SIGNAL,0,0,7,False,False
SMALL439,25,ew-all,rw,0.0483898544967953,0.0607147700845625,0.0957963620876336,0.012324915587767195,0.03508159200307111,2.8463961276854923,NO-SIGNAL,0,0,7,False,False
SMALL439,10,top20,dg,0.1415689010589214,0.1424165238509538,0.1440615816061017,0.0008476227920324042,0.001645057755147894,1.940789901606379,NO-SIGNAL,0,0,7,False,False
SMALL439,25,top20,dg,0.1139643735368842,0.1148441332319449,0.1166488853130216,0.0008797596950606973,0.0018047520810767076,2.051414825217916,NO-SIGNAL,0,0,7,False,False
SMALL439,10,top20,rw,0.1414505170009448,0.1423464205446165,0.1439116573259555,0.0008959035436716944,0.0015652367813390189,1.7471041301211807,NO-SIGNAL,0,0,7,False,False
SMALL439,25,top20,rw,0.1138334899724022,0.1147455202273028,0.1164989696388469,0.0009120302549006087,0.0017534494115440946,1.922578118568207,NO-SIGNAL,0,0,7,False,False
U56,10,ew-all,dg,0.0820244315824139,0.0866000929473433,0.0857978887223245,0.004575661364929401,-0.00080220422501881,-0.1753198414479231,SATURATES,0,0,7,False,False
U56,25,ew-all,dg,0.0769481395725482,0.0837121705138213,0.0846326509233408,0.0067640309412730915,0.0009204804095195029,0.13608459474998422,SATURATES,0,0,7,False,False
U56,10,ew-all,rw,0.1155069166062241,0.1224977755868079,0.1495625702926724,0.006990858980583797,0.027064794705864495,3.8714548213650777,NO-SIGNAL,6,0,7,True,True
U56,25,ew-all,rw,0.1028300216789182,0.1152496385168897,0.1469522487514252,0.012419616837971506,0.03170261023453551,2.552623856929993,NO-SIGNAL,5,0,7,True,False
U56,10,top20,dg,0.1426725901307317,0.1444864943038906,0.1602249500369428,0.001813904173158909,0.015738455733052187,8.676564046734459,NO-SIGNAL,5,0,7,True,True
U56,25,top20,dg,0.127065822917169,0.1297357706177397,0.1487431148943498,0.0026699477005706906,0.019007344276610105,7.11899497976959,NO-SIGNAL,5,0,7,True,True
U56,10,top20,rw,0.1435572282865502,0.1452593518357821,0.1632181475808678,0.001702123549231882,0.017958795745085715,10.550817978630276,NO-SIGNAL,0,0,7,False,False
U56,25,top20,rw,0.1259853074542989,0.1290538440184985,0.1510093423536564,0.0030685365641996143,0.02195549833515789,7.155038851845874,NO-SIGNAL,0,0,7,False,False
