panel,N,H,cap,seeds,book_CAGR,book_MaxDD,book_IS_CAGR,null_CAGR_med_rebuilt,null_CAGR_med_sym,null_CAGR_med_cash,null_IS_CAGR_med_rebuilt,EDGE_pp,EDGE_sym_pp,EDGE_pp_cash,EDGE_IS_pp,null_CAGR_sd,EDGE_se_pp,EDGE_sym_se_pp,book_pct_of_null,lam_median_rebuilt,lam_median_sym,lam_median_cash,null_already_drier_rebuilt,null_clipped_at_lammax,conv_gap_pp
B136,1,21,INF,40,0.22389819891370655,-0.45864538673801725,0.22477906983640605,0.11144441210306721,0.11862755617660303,0.11144441210306721,0.11482768172315538,11.245378681063933,10.527064273710351,11.245378681063933,10.995138811325067,0.04587370519248646,0.9090522859824074,1.3768505870151908,1.0,1.0,1.1345164579815552,1.0,29,0,0.0
B136,1,42,INF,40,0.35480583694818413,-0.3474802101615706,0.35785621259116973,0.09684062696276208,0.09973647031287902,0.09675959075593044,0.1099483966732796,25.796520998542206,25.50693666353051,25.80462461922537,24.790781591789013,0.041962877282066845,0.8315537051040301,0.9539298504500933,1.0,0.8235329245477333,0.8235329245625791,0.8215826483694283,9,0,0.00810362068316417
B136,1,52,INF,40,0.2884306355694797,-0.37201299750199723,0.28742175692257455,0.09348207430726707,0.0955103328845115,0.09380720733009118,0.12179506845576349,19.49485612622126,19.292030268496816,19.46234282393885,16.562668846681106,0.05172696473258493,1.0250428941761043,1.1924531745485014,1.0,0.8893990555067313,0.8893990555309139,0.8896138555089885,11,0,-0.032513302282410894
B136,1,63,INF,40,0.2882762688162295,-0.4628551532737495,0.35293278074436873,0.11074137679221419,0.13401893122822672,0.11074137679221419,0.0859879752390944,17.75348920240153,15.425733758800275,17.75348920240153,26.694480550527434,0.045787155762310766,0.9073371867328144,1.2037232802729552,1.0,1.0,1.212784692729838,1.0,33,0,0.0
B136,1,76,INF,40,0.3911456911413018,-0.352735095961072,0.40279447331463625,0.09682239868738429,0.0994512222598467,0.09692611781500049,0.12152324700084893,29.432329245391752,29.16944688814551,29.421957332630132,28.127122631378732,0.048016908841323855,0.9515228945396725,1.2452896912203866,1.0,0.8530826575771847,0.8530826575076063,0.8552110696540505,10,0,-0.01037191276161975
B136,1,90,INF,40,0.3253295382580139,-0.4603968761260562,0.40629298608439957,0.12436011421176563,0.1443971014917057,0.12436011421176563,0.11136682895565908,20.09694240462483,18.09324367663082,20.09694240462483,29.49261571287405,0.051025349839700834,1.0111394037216195,1.6832272818587968,1.0,1.0,1.131164267627476,1.0,27,0,0.0
B136,1,126,INF,40,0.34751493137493106,-0.3762456240467471,0.4458837986996571,0.10535364082125476,0.10554306564834348,0.10531320452852311,0.1179079348757367,24.21612905536763,24.197186572658758,24.220172684640794,32.79758638239204,0.047393022624639666,0.9391597076314007,1.3246343081386311,1.0,0.9068047116626199,0.9068047117615788,0.9047987523288001,12,0,0.004043629273164928
B136,2,21,INF,40,0.25520610261352283,-0.2922844650748766,0.2967097512409198,0.10623209410557899,0.10623209410906143,0.1063961557051788,0.10561248794549583,14.897400850794384,14.897400850446141,14.880994690834404,19.109726329542397,0.03799936525048882,0.7530111139244775,0.9543591233648333,1.0,0.9030495983420055,0.9030495984178445,0.9029413753668574,13,0,-0.016406159959980737
B136,2,42,INF,40,0.2634551235331113,-0.2792098368770465,0.2840548100102831,0.10736552022293344,0.1073655202203262,0.10742149122186051,0.12272497320533504,15.608960331017785,15.60896033127851,15.603363231125078,16.132983680494807,0.03470460958278601,0.6877208750193958,0.7461515901369835,1.0,0.8397055576087586,0.8397055575877894,0.8411083850087657,7,0,-0.005597099892706847
B136,2,52,INF,40,0.2678565836502218,-0.3266243727667597,0.31489802767970465,0.12337781207655096,0.12996328778844446,0.12357030900275212,0.12001986146126964,14.447877157367085,13.789329586177734,14.428627464746969,19.4878166218435,0.032497104409095645,0.6439760408918508,0.946889725441938,1.0,1.0,1.0480685788678352,1.0,27,0,-0.019249692620115777
