panel,window,draw,m_H1,m_H2,m_OOS,m_DD,m_CAGR
U56,FULL,0,0.16385886932394345,0.4108566169714972,0.4343735838317896,0.08884109061112486,-0.014675321934197974
U56,FULL,1,0.3047313275662372,0.47338941641586596,0.4772835950120605,0.08557261953529724,-0.00847792226028933
U56,FULL,2,0.10773804773001283,0.2316982279312335,0.2808930640207138,0.08177616146315167,-0.03457280473408299
U56,FULL,3,0.08336148573950697,0.2276488720324107,0.3013629965873982,0.07482763382927657,-0.020821742056268203
U56,FULL,4,0.11007469007919413,0.23464192899151348,0.26949530442574676,0.09128584687240524,-0.03544593496100103
U56,FULL,5,0.354677153321198,0.3743812670749095,0.41151724142016166,0.0657876136735431,-0.0043607692612348675
U56,FULL,6,0.3157680679013507,0.38692051425793783,0.4411409120781494,0.1013270676082044,-0.018348076817770412
U56,FULL,7,0.2708468868392756,0.36402297878852996,0.39631635792797015,0.07421900251653066,-0.016984777974409906
U56,FULL,8,0.08843152837522272,0.30184731109565377,0.35791264088944386,0.0810699613715131,-0.031026051109484434
U56,FULL,9,0.32852527647346574,0.3165450529927004,0.39094105562733794,0.06674730311997121,-0.00030614787439088575
U56,FULL,10,0.1811934328379844,0.2932318132789361,0.36019809993723484,0.06799429930260734,-0.013463260210959463
U56,FULL,11,0.1133396648501298,0.3081432021036531,0.3473006912776856,0.07883286701108058,-0.027923592434480518
U56,FULL,12,0.1490832752579342,0.42725129108129367,0.46439122580313963,0.09533651182884037,-0.025039991803437425
U56,FULL,13,0.2157425095257629,0.2740489628936237,0.3330281561031022,0.08170826854334887,-0.018653464662166344
U56,FULL,14,0.35404314473097986,0.3723768684303582,0.45041199282575717,0.10012031527993556,-0.01709765273874654
U56,FULL,15,0.28723773433826916,0.24877584086519067,0.3216417712178402,0.10388303425598697,-0.033432152401661655
U56,FULL,16,0.06016048109016825,0.1782520897807044,0.21517772945496583,0.0941828652862968,-0.03682537704980239
U56,FULL,17,0.14603329545117993,0.2321300520724784,0.30831633552302373,0.0838210799408827,-0.03190000991035792
U56,FULL,18,0.29790764997604346,0.18977401986329123,0.26222197635543865,0.08559716879087662,-0.02714457574936581
U56,FULL,19,0.24016176256826538,0.2925310729507783,0.3397541440119555,0.07388649581058102,-0.01732540988181032
