form,w,param,ord_CAGR,d_ord,y2020,d2020,y2022,d2022,payoff,cost,eff
GATE,63,0.5,0.13096141732115307,-0.0327087361715257,0.17960903823606333,0.08446578854025755,-0.10872871446612198,0.0048712342235262,0.08933702276378375,0.0327087361715257,2.731289350199819
SIZE,63,0.1,0.11564740108655513,-0.04802275240612364,0.2598336074093832,0.16469035771357743,-0.1009459514011869,0.012653997288461283,0.1773443550020387,0.04802275240612364,3.692923585517447
SIZE,63,0.25,0.12373483107656491,-0.03993532241611386,0.23265596718156,0.13751271748575422,-0.1028048876697939,0.01079506101985428,0.1483077785056085,0.03993532241611386,3.7136992900742545
SIZE,63,0.4,0.1317910359303558,-0.03187911756232298,0.2053283397429153,0.11018509004710952,-0.10476465184642603,0.008835296843222151,0.11902038689033168,0.03187911756232298,3.7334906356065036
SIZE,63,0.5,0.13714367233102487,-0.026526481161653903,0.18704226434425708,0.0918990146484513,-0.10612689182677548,0.007473056862872696,0.09937207151132399,0.026526481161653903,3.7461460080492723
SIZE,63,0.6,0.14248119709351248,-0.021188956399166292,0.1687128762048613,0.07356962650905552,-0.10753350810855089,0.006066440581097288,0.0796360670901528,0.021188956399166292,3.75837608940883
SIZE,63,0.75,0.1504580574614902,-0.013212096031188558,0.1411575486595611,0.04601429896375531,-0.10972623179357133,0.003873716896076851,0.04988801585983216,0.013212096031188558,3.775935002445198
SIZE,63,0.9,0.15839809603203392,-0.005272057460644852,0.11355566398471106,0.018412414288905277,-0.11201773551211003,0.0015822131775381498,0.019994627466443426,0.005272057460644852,3.7925663018091957
GATE,126,0.5,0.13161021515991522,-0.03205993833276355,0.21579061181397008,0.12064736211816429,-0.11159619116910657,0.0020037575205416047,0.1226511196387059,0.03205993833276355,3.825681707982669
SIZE,126,0.1,0.1260750131441264,-0.03759514034855238,0.2671694531882276,0.17202620349242181,-0.10677065043856859,0.006829298251079585,0.1788555017435014,0.03759514034855238,4.757410135599835
SIZE,126,0.25,0.1324374166270017,-0.03123273686567707,0.2384301382523797,0.1432868885565739,-0.107569317149526,0.006030631540122178,0.14931752009669608,0.03123273686567707,4.780801654970788
SIZE,126,0.4,0.13876274259907273,-0.02490741089360604,0.20968328713814754,0.11454003744234176,-0.10850432520679287,0.005095623482855305,0.11963566092519706,0.02490741089360604,4.803215454076305
SIZE,126,0.5,0.1429584606598433,-0.02071169283283547,0.19052773014401114,0.09538448044820536,-0.1092032392277289,0.004396709461919279,0.09978118991012463,0.02071169283283547,4.817626000706983
SIZE,126,0.6,0.14713684641550095,-0.016533307077177817,0.1713884184807819,0.07624516878497611,-0.10996247826706773,0.0036374704225804466,0.07988263920755656,0.016533307077177817,4.8316189153605364
SIZE,126,0.75,0.15337117318137294,-0.010298980311305828,0.14272647161774077,0.04758322192193498,-0.1112141621733922,0.0023857865162559833,0.049969008438190965,0.010298980311305828,4.851840369413746
SIZE,126,0.9,0.15956455761476862,-0.004105595877910151,0.11414312637030033,0.018999876674494542,-0.11260080526378513,0.0009991434258630472,0.01999902010035759,0.004105595877910151,4.871161384382913
GATE,252,0.5,0.15316624907990906,-0.010503904412769716,0.17402277056785653,0.07887952087205075,-0.07267504915412093,0.04092489953552725,0.119804420407578,0.010503904412769716,11.40570360312213
SIZE,252,0.1,0.14512530763802522,-0.018544845854653547,0.24132958364351054,0.14618633394770475,-0.09004049793325997,0.02355945075638821,0.16974578470409296,0.018544845854653547,9.153259403420591
SIZE,252,0.25,0.14834581990520657,-0.015324333587472205,0.21736804076601635,0.12222479107021056,-0.09351265433561406,0.020087294354034113,0.14231208542424467,0.015324333587472205,9.286673682213902
SIZE,252,0.4,0.15151521135005908,-0.012154942142619696,0.19321153433777583,0.09806828464197004,-0.0971697226978816,0.01643022599176658,0.11449851063373662,0.012154942142619696,9.419914080237596
SIZE,252,0.5,0.15359945675696407,-0.010070696735714701,0.17701154578575928,0.0818682960899535,-0.09970937450314932,0.01389057418649886,0.09575887027645236,0.010070696735714701,9.508663877927459
SIZE,252,0.6,0.15566055908206877,-0.00800959441061,0.16074380969694868,0.0656005600011429,-0.10232949570513006,0.01127045298451812,0.07687101298566101,0.00800959441061,9.597366488849044
SIZE,252,0.75,0.15870844922180538,-0.0049617042708733905,0.1362314478952178,0.04108819819941201,-0.10640897370231761,0.007190974987330567,0.048279173186742574,0.0049617042708733905,9.730360890340643
