panel,disagree,A_IS1,A_IS2,A_is_stable,B_IS1,B_IS2,B_is_stable,A_c,A_B,B_c,B_B,n_feasible_IS,d_oCAGR_pp,d_oSharpe,t_oSharpe,d_oMaxDD_pp,t_oMaxDD,d_oos_dd_margin_pp,A_keep4b_oos,B_keep4b_oos,A_d_oSharpe_vs_anchor,A_t_vs_anchor,B_d_oSharpe_vs_anchor,B_t_vs_anchor
U56,True,"(0.25, 20)","(0.0, 20)",False,"(0.25, 126)","(1.0, 126)",False,0.0,20,1.0,126,20,-3.6524607354427197,-0.008923071725317033,-0.08205414012035982,3.301068516299621,1.6305850948231806,3.301068516299621,True,True,0.0,,-0.008923071725317033,-0.08205414012035982
B136,False,"(1.0, 126)","(0.0, 20)",False,"(0.0, 20)","(1.0, 126)",False,0.0,20,0.0,20,20,0.0,0.0,,0.0,,0.0,False,False,0.0,,0.0,
SMALL,False,"(1.0, 20)","(1.0, 126)",False,"(1.0, 252)","(0.0, 20)",False,1.0,126,1.0,126,20,0.0,0.0,,0.0,,0.0,False,False,0.1986960758120731,2.2489145718146446,0.1986960758120731,2.2489145718146446
