panel,window,book,n,gross,overlay,cost,mean_gross,turnover_yr,CAGR,Sharpe,MaxDD,IS_Sharpe,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,mSPY_H1,mSPY_H2,mSPY_OOS,mSPY_DD,mSPY_CAGR,pass4b_SPY,floor_only_SPY,nf_fail_SPY,fails_SPY,mIWM_H1,mIWM_H2,mIWM_OOS,mIWM_DD,mIWM_CAGR,pass4b_IWM,floor_only_IWM,nf_fail_IWM,fails_IWM,pass4a,v2_Sharpe,IS_pass_nonfloor,IS_pass_floor
SMALL439,own,TOP5,5.0,0.53,CTRL,0,0.5301217354683269,21.212084332152656,0.06365481553686281,0.4414137619792266,-0.24273326292379693,0.2511440138134642,0.5426894485858742,0.08672853761606003,-0.24273326292379704,-0.3235875314643458,-0.5213046372730455,-0.33932131859641,-0.040429851223407365,-0.03525417279796407,False,False,4,"H1,H2,OOS,DD,CAGR",-0.053292340181399056,-0.17469812433207477,0.022252181522564696,0.004066508604697483,-0.007826434206255964,False,False,2,"H1,H2,CAGR",False,0.6125489340447313,False,False
SMALL439,own,TOP5,5.0,0.53,CTRL,10,0.5301217354683269,21.212084332152656,0.041287570415017294,0.31938079398374114,-0.2918489830277392,0.128882360756788,0.4201469020703692,0.0624265426429198,-0.2918489830277402,-0.44597240784550324,-0.6436170804473338,-0.461863865111915,-0.08954557132734964,-0.057621417919809584,False,False,4,"H1,H2,OOS,DD,CAGR",-0.17567721656255647,-0.297010567506363,-0.1002903649929403,-0.04504921149924479,-0.030193679328101478,False,False,4,"H1,H2,OOS,DD,CAGR",False,0.5724794981086585,False,False
SMALL439,own,TOP5,5.0,0.53,CTRL,25,0.5301217354683269,21.212084332152656,0.00859536106817882,0.13629707304007918,-0.3596569372212497,-0.054558087702702034,0.2363026536614234,0.02696586019441538,-0.359656937221252,-0.629827124542773,-0.8269381365402678,-0.6457081135208609,-0.15735352552086013,-0.09031362726664806,False,False,4,"H1,H2,OOS,DD,CAGR",-0.35953193325982624,-0.4803316235992971,-0.2841346134018861,-0.11285716569275528,-0.06288588867493995,False,False,4,"H1,H2,OOS,DD,CAGR",False,0.5123529343107217,False,False
SMALL439,own,TOP5,5.0,0.53,G200,0,0.27685196103387594,17.897524785289278,0.015543673216523946,0.18810167986361256,-0.353393675587937,0.2974672180942302,0.12464786267863628,0.007823737261121844,-0.3533936755879371,-0.34322137336754943,-1.0706806268220643,-0.757362904503648,-0.15109026388754743,-0.08336531511830293,False,False,4,"H1,H2,OOS,DD,CAGR",-0.07292618208460266,-0.7240741138810934,-0.39578940438467325,-0.10659390405944258,-0.055937576526594826,False,False,4,"H1,H2,OOS,DD,CAGR",False,0.6125489340447313,False,False
SMALL439,own,TOP5,5.0,0.53,G200,10,0.27685196103387594,17.897524785289278,-0.0025043870175360805,0.03940854408719245,-0.3846910294900717,0.15590431189373175,-0.028229076824204728,-0.011005103290805507,-0.38469102949006906,-0.49334964542954807,-1.217971579645285,-0.9102398440064889,-0.18238761778968215,-0.10141337535236296,False,False,4,"H1,H2,OOS,DD,CAGR",-0.2230544541466013,-0.8713650667043142,-0.5486663438875142,-0.1378912579615773,-0.07398563676065485,False,False,4,"H1,H2,OOS,DD,CAGR",False,0.5724794981086585,False,False
SMALL439,own,TOP5,5.0,0.53,G200,25,0.27685196103387594,17.897524785289278,-0.028994490544198892,-0.18348049331225458,-0.4879581416173119,-0.056604838689035625,-0.2572010737326404,-0.03861007876349609,-0.4879581416173122,-0.718962087614581,-1.437962878574982,-1.1392118409149246,-0.2856547299169223,-0.12790347887902576,False,False,4,"H1,H2,OOS,DD,CAGR",-0.4486668963316342,-1.0913563656340113,-0.77763834079595,-0.24115837008881746,-0.10047574028731766,False,False,4,"H1,H2,OOS,DD,CAGR",False,0.5123529343107217,False,False
SMALL439,own,TOP5,5.0,0.53,VT10,0,0.3405200769004496,16.58634073410154,0.04084739520621605,0.4193328283167778,-0.15017611322138036,0.15063431202362784,0.5822269557872797,0.06003544591469212,-0.1392303568663089,-0.41859431672791964,-0.4915512194983337,-0.29978381139500454,0.05212729847900921,-0.058061593128610825,False,False,3,"H1,H2,OOS,CAGR",-0.14829912544497287,-0.1449447065573629,0.06178968872397017,0.09662365830711406,-0.03063385453690272,False,False,2,"H1,H2,CAGR",False,0.6125489340447313,False,False
SMALL439,own,TOP5,5.0,0.53,VT10,10,0.3405200769004496,16.58634073410154,0.023696654992948485,0.26811387531149306,-0.169249386955039,-0.0013942327065206057,0.43149432080327915,0.04250059126164585,-0.1556751343646099,-0.5706835326807589,-0.641831496305111,-0.45051644637900506,0.033054024745350574,-0.07521233334187839,False,False,3,"H1,H2,OOS,CAGR",-0.30038834139781206,-0.2952249833641403,-0.08894294626003035,0.07755038457345542,-0.04778459475017029,False,False,3,"H1,H2,OOS,CAGR",False,0.5724794981086585,False,False
SMALL439,own,TOP5,5.0,0.53,VT10,25,0.3405200769004496,16.58634073410154,-0.0015102169991143555,0.04117196268719991,-0.20865113842294625,-0.22940276819491517,0.20518659914468174,0.016731015797677662,-0.1975916449490227,-0.799112026337891,-0.8671816328039224,-0.6768241680376025,-0.006347726722556679,-0.10041920533394123,False,False,4,"H1,H2,OOS,DD,CAGR",-0.5288168350549443,-0.5205751198629516,-0.31525066791862777,0.03814863310554817,-0.07299146674223313,False,False,3,"H1,H2,OOS,CAGR",False,0.5123529343107217,False,False
SMALL439,own,TOP5,5.0,0.53,DD10,0,0.4326347837178606,19.26691095832037,0.03183067033136555,0.28794607238960346,-0.23932411619942529,0.006748768806672532,0.44445163305451785,0.057435007363414226,-0.23932411619942617,-0.4810172485132137,-0.6908371470827072,-0.43755913412776637,-0.03702070449903572,-0.06707831800346133,False,False,4,"H1,H2,OOS,DD,CAGR",-0.21072205723026693,-0.3442306341417364,-0.07598563400879166,0.007475655329069131,-0.03965057941175322,False,False,3,"H1,H2,OOS,CAGR",False,0.6125489340447313,False,False
SMALL439,own,TOP5,5.0,0.53,DD10,10,0.4326347837178606,19.26691095832037,0.012107515542761904,0.15550537483877266,-0.2738755208809317,-0.13164208637097025,0.31503487706281735,0.03690965361912446,-0.2738755208809298,-0.6153925390019923,-0.8212676033895223,-0.5669758901194668,-0.07157210918054213,-0.08680147279206497,False,False,4,"H1,H2,OOS,DD,CAGR",-0.3450973477190456,-0.47466109044855154,-0.20540239000049215,-0.027075749352437284,-0.05937373420035687,False,False,4,"H1,H2,OOS,DD,CAGR",False,0.5724794981086585,False,False
SMALL439,own,TOP5,5.0,0.53,DD10,25,0.4326347837178606,19.26691095832037,-0.016787693445010077,-0.0432228537315669,-0.34060390086184733,-0.3391207162510009,0.12075618998795021,0.006850115080823782,-0.34060390086184744,-0.8172247258681341,-1.0167865213795404,-0.761254577194334,-0.13830048916145776,-0.11569668177983695,False,False,4,"H1,H2,OOS,DD,CAGR",-0.5469295345851873,-0.6701800084385695,-0.39968107707535927,-0.09380412933335291,-0.08826894318812885,False,False,4,"H1,H2,OOS,DD,CAGR",False,0.5123529343107217,False,False
SMALL439,own,TOP5,5.0,0.75,CTRL,0,0.750059273953882,30.01173841093459,0.08186849363814819,0.4424524508134785,-0.3424078944849396,0.24849320932932492,0.5456421923128688,0.1146208470004828,-0.34240789448494036,-0.32557768866994985,-0.5175031242061052,-0.3363685748694154,-0.14010448278455,-0.01704049469667869,False,False,4,"H1,H2,OOS,DD,CAGR",-0.05528249738700308,-0.1708966112651344,0.025204925249559307,-0.09560812295644516,0.010387243895029416,False,False,3,"H1,H2,DD",False,0.6125489340447313,False,False
