phi_DD,phi_CAGR,scope,n,passes,rate,ratio,p_U56,p_B136,p_SMALL439
0.4,0.5,real,63,7,0.1111111111111111,1.25,4,3,0
0.4,0.5,control,9,0,0.0,1.25,0,0,0
0.4,0.6,real,63,0,0.0,1.4999999999999998,0,0,0
0.4,0.6,control,9,0,0.0,1.4999999999999998,0,0,0
0.4,0.7,real,63,0,0.0,1.7499999999999998,0,0,0
0.4,0.7,control,9,0,0.0,1.7499999999999998,0,0,0
0.4,0.8,real,63,0,0.0,2.0,0,0,0
0.4,0.8,control,9,0,0.0,2.0,0,0,0
0.4,0.9,real,63,0,0.0,2.25,0,0,0
0.4,0.9,control,9,0,0.0,2.25,0,0,0
0.4,0.0,real,63,16,0.25396825396825395,0.0,9,7,0
0.4,0.0,control,9,0,0.0,0.0,0,0,0
0.5,0.5,real,63,15,0.23809523809523808,1.0,9,6,0
0.5,0.5,control,9,0,0.0,1.0,0,0,0
0.5,0.6,real,63,6,0.09523809523809523,1.2,4,2,0
0.5,0.6,control,9,0,0.0,1.2,0,0,0
0.5,0.7,real,63,2,0.031746031746031744,1.4,2,0,0
0.5,0.7,control,9,0,0.0,1.4,0,0,0
0.5,0.8,real,63,0,0.0,1.6,0,0,0
0.5,0.8,control,9,0,0.0,1.6,0,0,0
0.5,0.9,real,63,0,0.0,1.8,0,0,0
0.5,0.9,control,9,0,0.0,1.8,0,0,0
0.5,0.0,real,63,24,0.38095238095238093,0.0,14,10,0
0.5,0.0,control,9,0,0.0,0.0,0,0,0
0.6,0.5,real,63,20,0.31746031746031744,0.8333333333333334,11,9,0
0.6,0.5,control,9,0,0.0,0.8333333333333334,0,0,0
0.6,0.6,real,63,11,0.1746031746031746,1.0,6,5,0
0.6,0.6,control,9,0,0.0,1.0,0,0,0
0.6,0.7,real,63,7,0.1111111111111111,1.1666666666666667,4,3,0
0.6,0.7,control,9,0,0.0,1.1666666666666667,0,0,0
0.6,0.8,real,63,1,0.015873015873015872,1.3333333333333335,1,0,0
0.6,0.8,control,9,0,0.0,1.3333333333333335,0,0,0
0.6,0.9,real,63,0,0.0,1.5,0,0,0
0.6,0.9,control,9,0,0.0,1.5,0,0,0
0.6,0.0,real,63,29,0.4603174603174603,0.0,16,13,0
0.6,0.0,control,9,0,0.0,0.0,0,0,0
0.7,0.5,real,63,22,0.3492063492063492,0.7142857142857143,12,10,0
0.7,0.5,control,9,0,0.0,0.7142857142857143,0,0,0
0.7,0.6,real,63,13,0.20634920634920634,0.8571428571428572,7,6,0
0.7,0.6,control,9,0,0.0,0.8571428571428572,0,0,0
0.7,0.7,real,63,9,0.14285714285714285,1.0,5,4,0
0.7,0.7,control,9,0,0.0,1.0,0,0,0
0.7,0.8,real,63,3,0.047619047619047616,1.142857142857143,2,1,0
0.7,0.8,control,9,0,0.0,1.142857142857143,0,0,0
0.7,0.9,real,63,2,0.031746031746031744,1.2857142857142858,1,1,0
0.7,0.9,control,9,0,0.0,1.2857142857142858,0,0,0
0.7,0.0,real,63,31,0.49206349206349204,0.0,17,14,0
0.7,0.0,control,9,0,0.0,0.0,0,0,0
0.8,0.5,real,63,24,0.38095238095238093,0.625,13,11,0
0.8,0.5,control,9,0,0.0,0.625,0,0,0
0.8,0.6,real,63,15,0.23809523809523808,0.7499999999999999,8,7,0
0.8,0.6,control,9,0,0.0,0.7499999999999999,0,0,0
0.8,0.7,real,63,11,0.1746031746031746,0.8749999999999999,6,5,0
0.8,0.7,control,9,0,0.0,0.8749999999999999,0,0,0
0.8,0.8,real,63,5,0.07936507936507936,1.0,3,2,0
0.8,0.8,control,9,0,0.0,1.0,0,0,0
0.8,0.9,real,63,4,0.06349206349206349,1.125,2,2,0
0.8,0.9,control,9,0,0.0,1.125,0,0,0
0.8,0.0,real,63,33,0.5238095238095238,0.0,18,15,0
0.8,0.0,control,9,0,0.0,0.0,0,0,0
0.9,0.5,real,63,24,0.38095238095238093,0.5555555555555556,13,11,0
0.9,0.5,control,9,0,0.0,0.5555555555555556,0,0,0
0.9,0.6,real,63,15,0.23809523809523808,0.6666666666666666,8,7,0
0.9,0.6,control,9,0,0.0,0.6666666666666666,0,0,0
0.9,0.7,real,63,11,0.1746031746031746,0.7777777777777777,6,5,0
0.9,0.7,control,9,0,0.0,0.7777777777777777,0,0,0
0.9,0.8,real,63,5,0.07936507936507936,0.888888888888889,3,2,0
0.9,0.8,control,9,0,0.0,0.888888888888889,0,0,0
0.9,0.9,real,63,4,0.06349206349206349,1.0,2,2,0
0.9,0.9,control,9,0,0.0,1.0,0,0,0
0.9,0.0,real,63,33,0.5238095238095238,0.0,18,15,0
0.9,0.0,control,9,0,0.0,0.0,0,0,0
1.0,0.5,real,63,24,0.38095238095238093,0.5,13,11,0
1.0,0.5,control,9,0,0.0,0.5,0,0,0
1.0,0.6,real,63,15,0.23809523809523808,0.6,8,7,0
1.0,0.6,control,9,0,0.0,0.6,0,0,0
1.0,0.7,real,63,11,0.1746031746031746,0.7,6,5,0
1.0,0.7,control,9,0,0.0,0.7,0,0,0
1.0,0.8,real,63,5,0.07936507936507936,0.8,3,2,0
1.0,0.8,control,9,0,0.0,0.8,0,0,0
1.0,0.9,real,63,4,0.06349206349206349,0.9,2,2,0
1.0,0.9,control,9,0,0.0,0.9,0,0,0
1.0,0.0,real,63,33,0.5238095238095238,0.0,18,15,0
1.0,0.0,control,9,0,0.0,0.0,0,0,0
inf,0.5,real,63,24,0.38095238095238093,,13,11,0
inf,0.5,control,9,0,0.0,,0,0,0
inf,0.6,real,63,15,0.23809523809523808,,8,7,0
inf,0.6,control,9,0,0.0,,0,0,0
inf,0.7,real,63,11,0.1746031746031746,,6,5,0
inf,0.7,control,9,0,0.0,,0,0,0
inf,0.8,real,63,5,0.07936507936507936,,3,2,0
inf,0.8,control,9,0,0.0,,0,0,0
inf,0.9,real,63,4,0.06349206349206349,,2,2,0
inf,0.9,control,9,0,0.0,,0,0,0
inf,0.0,real,63,33,0.5238095238095238,,18,15,0
inf,0.0,control,9,0,0.0,,0,0,0
