slice,ceiling_x_yr,admitted,admit_share,precision,recall,lift
0bps pooled,0.25,4,0.0024676125848241827,0.0,0.0,0.0
0bps pooled,0.5,98,0.06045650832819247,0.11224489795918367,0.023305084745762712,0.3854851262538914
0bps pooled,0.75,127,0.0783466995681678,0.09448818897637795,0.025423728813559324,0.3245028693447218
0bps pooled,1.0,159,0.09808760024676126,0.0880503144654088,0.029661016949152543,0.30239313506022814
0bps pooled,1.5,197,0.121529919802591,0.14213197969543148,0.059322033898305086,0.4881269895896069
0bps pooled,2.0,246,0.15175817396668723,0.15853658536585366,0.0826271186440678,0.5444656883009509
0bps pooled,3.0,336,0.20727945712523133,0.125,0.08898305084745763,0.42929025423728817
0bps pooled,4.0,472,0.2911782850092535,0.11652542372881355,0.11652542372881355,0.4001858302212008
0bps pooled,6.0,578,0.3565700185070944,0.12975778546712802,0.15889830508474576,0.4456300216996071
0bps pooled,8.0,664,0.4096236890808143,0.125,0.17584745762711865,0.42929025423728817
0bps pooled,12.0,1163,0.7174583590376311,0.3172828890799656,0.7817796610169492,1.0896516169462378
0bps pooled,20.0,1541,0.9506477483035164,0.30434782608695654,0.9936440677966102,1.0452284450994842
0bps gross<0.9,0.25,4,0.0029895366218236174,0.0,0.0,0.0
0bps gross<0.9,0.5,95,0.07100149476831091,0.11578947368421053,0.028645833333333332,0.40345394736842105
0bps gross<0.9,0.75,124,0.09267563527653214,0.0967741935483871,0.03125,0.3371975806451613
0bps gross<0.9,1.0,155,0.11584454409566518,0.09032258064516129,0.036458333333333336,0.31471774193548385
0bps gross<0.9,1.5,192,0.14349775784753363,0.14583333333333334,0.07291666666666667,0.5081380208333334
0bps gross<0.9,2.0,241,0.18011958146487295,0.16182572614107885,0.1015625,0.5638615145228216
0bps gross<0.9,3.0,330,0.24663677130044842,0.12727272727272726,0.109375,0.44346590909090905
0bps gross<0.9,4.0,466,0.3482810164424514,0.11802575107296137,0.14322916666666666,0.4112459763948498
0bps gross<0.9,6.0,572,0.42750373692077726,0.13111888111888112,0.1953125,0.4568673513986014
