claim_set,cadence,rows,cells,files,sign_flip_FMEAN,sign_flip_FPORT,verdict_flip_FPORT,cellw_sign,cellw_verdict
STRICT,M,300,150,2,0.05333333333333334,0.04666666666666667,0.03333333333333333,0.05333333333333334,0.03333333333333333
STRICT,Q,300,150,2,0.05333333333333334,0.05333333333333334,0.02666666666666667,0.05333333333333334,0.02666666666666667
STRICT,ALL,600,300,2,0.05333333333333334,0.05,0.03,0.05333333333333334,0.03
WIDE,M,6300,150,2,0.05333333333333334,0.04666666666666667,0.03333333333333333,0.05333333333333334,0.03333333333333333
WIDE,Q,18900,150,2,0.05333333333333334,0.05333333333333334,0.02666666666666667,0.05333333333333334,0.02666666666666667
WIDE,ALL,25200,300,2,0.05333333333333334,0.051666666666666666,0.028333333333333332,0.05333333333333334,0.03
GRID,M,150,150,1,0.05333333333333334,0.04666666666666667,0.03333333333333333,0.05333333333333334,0.03333333333333333
GRID,Q,150,150,1,0.05333333333333334,0.05333333333333334,0.02666666666666667,0.05333333333333334,0.02666666666666667
GRID,ALL,300,300,1,0.05333333333333334,0.05,0.03,0.05333333333333334,0.03
