gate,what,value,pass_
G1,L=T joint redraw is the identity (max |idx - arange|),0.0,True
G2,L=1 redraw is iid (mean |lag-1 index step| - E[iid] = 166.5),0.46611973947895535,True
G3,"U56 anchor A (N=20,H=126,g0.75,W) full Sharpe replays 1101's 1.139701",0.0016222226940012519,True
G4,U56 anchor A full CAGR replays 1101's 0.155787,0.0002668134527609167,True
G5N,N ladder's anchor rung IS the anchor book (max dev),0.0,True
G5H,H ladder's anchor rung IS the anchor book (max dev),0.0,True
G5G,GROSS ladder's anchor rung IS the anchor book (max dev),0.0,True
G5C,CADENCE ladder's anchor rung IS the anchor book (max dev),0.0,True
G6,L=T resolves all 72 by construction (rate),1.0,True
G721,1154's own rate at L=21 (0.1944) replays,4.444444444445805e-05,True
G763,1154's own rate at L=63 (0.2361) replays,0.013877777777777794,True
G7126,1154's own rate at L=126 (0.2500) replays,0.013888888888888895,True
G7252,1154's own rate at L=252 (0.3056) replays,0.027822222222222193,True
G8,U56 SPY OOS Sharpe replays the record's committed 0.8713,0.0028937770933026297,True
