family,prose_files,fam_files,prose_rows,fam_rows,prose_nums,fam_nums,x_files,x_rows,x_nums,gap_ROW,gap_NUM,mean_PROSE_rows,mean_FAM_rows,mean_ADDED_rows
BOOKS,4046,6699,803494,4113720,4515106,61243842,1.6557093425605536,5.11978932014427,13.564209123772509,0.323394038119111,0.12206456915049861,198.58971824023726,614.0797133900583,1247.7293629852998
ARMS,2560,4288,579310,4093873,3366415,63448253,1.675,7.066808789767137,18.847424634217706,0.23702353492646205,0.08887155844937134,226.29296875,954.7278451492538,2033.890625
GRIDS,3383,4668,741955,3711790,4237041,55867076,1.3798403783624003,5.002715798127919,13.185398961209014,0.27581826232838463,0.10464911850008049,219.31865208394916,795.1563838903171,2311.1556420233464
PLACEBO,586,600,149892,590406,963888,8089009,1.023890784982935,3.9388759907133135,8.392063185764322,0.25994491509683526,0.12200703954657872,255.78839590443687,984.01,31465.285714285714
