panel,form,cadence,MaxDD,dd_bar,gap_pp,cells,dd_fixed,dd_fixed_and_4b,cash_4b,signal_4b,signal_4b_beating_cash,best_clause,best_fail4b
U56,EWall,W,-0.22525886233200354,-0.20230373520404282,-2.2955127127960715,47,40,6,1,5,4,VT(0.15),-
U56,EWall,M,-0.2227698341888874,-0.20230373520404282,-2.0466098984844585,47,31,2,2,0,0,CASH(0.9),-
U56,TOP20,W,-0.21957623947937355,-0.20230373520404282,-1.7272504275330725,47,40,18,4,14,9,VT(0.15),-
U56,TOP20,M,-0.21458141612318882,-0.20230373520404282,-1.2277680919145995,47,37,18,6,12,3,CASH(0.9),-
U56,TOP10,W,-0.2327532357895029,-0.20230373520404282,-3.044950058546009,47,37,15,4,11,11,BREADTH(0.3),-
U56,TOP10,M,-0.2503140393393257,-0.20230373520404282,-4.80103041352829,47,28,10,4,6,4,MKT(250),-
U56,MA20,W,-0.21368382764560445,-0.20230373520404282,-1.138009244156163,47,41,18,4,14,9,VT(0.2),-
U56,MA20,M,-0.21458141612318904,-0.20230373520404282,-1.2277680919146217,47,37,17,5,12,6,CASH(0.9),-
B136,EWall,W,-0.2537106610635025,-0.20229571984435804,-5.1414941219144445,47,34,4,0,4,4,DDSTOP(0.15),-
B136,EWall,M,-0.24997108761675657,-0.20229571984435804,-4.767536777239853,47,29,1,0,1,1,BREADTH(0.4),-
B136,MA-RS,M,-0.21789078167135778,-0.20229571984435804,-1.559506182699974,47,35,3,1,2,1,CASH(0.9),-
B136,TOP20,W,-0.2400321713910687,-0.20229571984435804,-3.7736451546710654,47,33,4,2,2,2,VT(0.15),H2
B136,TOP20,M,-0.2545753734411724,-0.20229571984435804,-5.227965359681439,47,30,7,3,4,4,BREADTH(0.4),-
B136,TOP10,M,-0.285113189138005,-0.20229571984435804,-8.281746929364694,47,23,6,3,3,3,BREADTH(0.4),-
B136,MA20,W,-0.2400321713910687,-0.20229571984435804,-3.7736451546710654,47,33,5,2,3,3,VT(0.15),-
B136,MA20,M,-0.25457537344117276,-0.20229571984435804,-5.2279653596814715,47,30,7,3,4,4,BREADTH(0.4),-
