panel,H,metric,direction,end_change,end_se,M_STRICT,M_STRICT_stab,G_DOWNSHARE,G_DOWNSHARE_pct,G_DOWNSHARE_decisive,G_DOWNSHARE_stab,G_DOWNSHARE_reversal,G_DECSTEPS,G_DECSTEPS_pct,G_DECSTEPS_decisive,G_DECSTEPS_stab,G_DECSTEPS_reversal,G_SPEARMAN,G_SPEARMAN_pct,G_SPEARMAN_decisive,G_SPEARMAN_stab,G_SPEARMAN_reversal,G_ENDSE,G_ENDSE_pct,G_ENDSE_decisive,G_ENDSE_stab,G_ENDSE_reversal,levels
U56,21,SHARPE,1.0,0.18093193832112286,0.14466765642401153,False,0.986,0.625,0.9285,False,0.754,AGREE,0.0,0.015,False,0.934,AGREE,0.33333333333333337,0.651,False,0.746,AGREE,1.250673044642564,,False,0.692,AGREE,0.913 0.985 1.088 1.160 1.103 1.112 1.081 1.065 1.094
U56,21,CAGR,-1.0,4.498870784452279,3.1211699866762936,False,0.94,0.75,0.9985,True,0.698,UNDER_READ,0.375,0.8395,False,0.864,AGREE,0.8833333333333333,0.998,True,0.85,UNDER_READ,1.4414052434366407,,False,0.55,AGREE,16.526 15.807 16.508 16.759 15.079 14.310 13.206 12.385 12.028
U56,21,MAXDD,1.0,6.1780874832420345,5.18382451347636,False,0.906,0.625,0.928,False,0.384,AGREE,0.0,0.1,False,0.772,AGREE,0.6,0.905,False,0.244,AGREE,1.1918010471189553,,False,0.318,AGREE,-25.448 -23.458 -20.118 -19.478 -19.679 -20.242 -20.472 -19.765 -19.270
U56,21,ULCER,-1.0,4.177878803004516,2.3740938541235965,True,0.278,1.0,1.0,True,0.89,AGREE,0.0,0.003,False,0.93,OVER_READ,1.0,1.0,True,0.942,AGREE,1.7597782816159102,,True,0.72,AGREE,8.124 6.967 6.009 5.237 5.043 4.667 4.533 4.471 3.947
U56,42,SHARPE,1.0,0.06567028382184348,0.14992848191390856,False,0.99,0.75,0.999,True,0.306,UNDER_READ,0.0,0.575,False,0.572,AGREE,0.7833333333333333,0.9845,True,0.54,UNDER_READ,0.4380107300729721,,False,0.864,AGREE,1.042 1.068 1.033 1.043 1.058 1.065 1.105 1.129 1.108
U56,42,CAGR,-1.0,7.398140475409832,3.2752106099560954,True,0.306,1.0,1.0,True,0.882,AGREE,0.125,0.022,False,0.86,OVER_READ,1.0,1.0,True,0.914,AGREE,2.2588289293276946,,True,0.768,AGREE,19.915 17.694 16.248 15.642 14.988 14.113 13.920 13.536 12.517
U56,42,MAXDD,1.0,3.6689122191538637,4.842741026788204,False,0.966,0.625,0.921,False,0.508,AGREE,0.0,0.5135,False,0.51,AGREE,0.5666666666666667,0.8975,False,0.35,AGREE,0.7576106586866477,,False,0.52,AGREE,-24.470 -22.117 -20.867 -22.830 -23.125 -22.823 -22.551 -20.691 -20.801
U56,42,ULCER,-1.0,3.5452090874873887,1.7659201227968109,True,0.228,1.0,1.0,True,0.816,AGREE,0.0,0.002,False,0.904,OVER_READ,1.0,1.0,True,0.886,AGREE,2.0075704680643165,,True,0.614,AGREE,7.879 6.164 6.011 5.782 5.152 5.105 4.818 4.625 4.334
U56,52,SHARPE,1.0,0.09801303091570202,0.14661318277109348,False,0.996,0.5,0.5775,False,0.784,AGREE,0.125,0.6545,False,0.778,AGREE,0.6666666666666667,0.949,False,0.542,AGREE,0.6685144477678336,,False,0.822,AGREE,0.975 1.002 1.052 1.091 1.053 1.137 1.121 1.084 1.073
U56,52,CAGR,-1.0,6.141012321901741,2.940239861681159,False,0.888,0.75,0.9975,True,0.786,UNDER_READ,0.25,0.3205,False,0.768,AGREE,0.9666666666666667,1.0,True,0.88,UNDER_READ,2.0886093008719557,,True,0.724,UNDER_READ,18.311 16.609 16.595 16.595 15.115 15.237 14.196 13.226 12.170
U56,52,MAXDD,1.0,4.24437297083572,4.361148055216508,False,0.982,0.75,0.9985,True,0.556,UNDER_READ,0.125,0.6485,False,0.754,AGREE,0.5499999999999999,0.872,False,0.392,AGREE,0.9732237743588847,,False,0.594,AGREE,-24.470 -22.299 -21.446 -24.967 -24.552 -21.337 -21.713 -21.689 -20.225
U56,52,ULCER,-1.0,2.6876429894788885,1.6113295183014344,False,0.936,0.75,0.9965,True,0.604,UNDER_READ,0.125,0.2025,False,0.94,AGREE,0.9333333333333332,0.9995,True,0.838,UNDER_READ,1.6679660857402019,,True,0.492,UNDER_READ,7.293 6.401 5.402 5.246 5.960 4.693 4.773 4.668 4.605
U56,63,SHARPE,1.0,0.09975950676983825,0.1415016666089752,False,0.998,0.5,0.607,False,0.818,AGREE,0.125,0.8855,False,0.842,AGREE,-0.26666666666666666,0.0335,False,0.7,AGREE,0.7050058784502732,,False,0.81,AGREE,1.008 1.185 1.169 1.139 1.151 1.099 1.135 1.138 1.108
U56,63,CAGR,-1.0,6.183114261385114,2.9168724623594384,False,0.9,0.875,1.0,True,0.866,UNDER_READ,0.25,0.1975,False,0.788,AGREE,0.9500000000000001,1.0,True,0.958,UNDER_READ,2.1197753214014834,,True,0.678,UNDER_READ,18.978 20.263 19.169 17.647 16.847 14.909 14.596 14.027 12.794
