correction_set,domain_rule,n_units,n_states_domain,share_states_domain,n_k_recovered,n_in_domain,n_out_of_domain,share_out,out_carrying_verdict,share_out_carrying_verdict
C_D2,R_TABULATED,279,17,0.06093189964157706,136,48,231,0.8279569892473119,67,0.29004329004329005
C_D2,R_STATED,279,17,0.06093189964157706,136,17,262,0.9390681003584229,80,0.3053435114503817
C_D2,R_LOOSE,279,17,0.06093189964157706,136,133,146,0.5232974910394266,31,0.21232876712328766
C_COUNT,R_TABULATED,744,23,0.030913978494623656,371,283,461,0.6196236559139785,170,0.368763557483731
C_COUNT,R_STATED,744,23,0.030913978494623656,371,23,721,0.9690860215053764,309,0.42857142857142855
C_COUNT,R_LOOSE,744,23,0.030913978494623656,371,368,376,0.5053763440860215,134,0.35638297872340424
C_ALL,R_TABULATED,2994,40,0.013360053440213761,1253,1129,1865,0.6229124916499666,583,0.31260053619302947
C_ALL,R_STATED,2994,40,0.013360053440213761,1253,40,2954,0.9866399465597863,1114,0.37711577522004064
C_ALL,R_LOOSE,2994,40,0.013360053440213761,1253,1222,1772,0.5918503674014696,540,0.3047404063205418
