panel,bps,selector,pick,IS_Sharpe,IS_CAGR,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,f4a,f4b
u56,0,CG IS-argmax g,CG g=1.00,1.1185655930249572,0.16980367747042813,0.18608634734371776,1.1423534478887303,-0.29162981477563454,"H1,H2,DD",DD
u56,0,CG IS-gross-matched g,CG g=0.55,1.1158669314111826,0.09285792174958196,0.10172596273638734,1.1432163295547995,-0.16890951839091695,"H1,H2,DD",CAGR
u56,0,"chooser{V2,CG}",RULES v2 (live),1.129947080577894,0.07798689870063158,0.097307362439361,1.3095985770043688,-0.12029812615148383,"H1,H2",CAGR
u56,0,V2 (do-nothing),RULES v2 (live),1.129947080577894,0.07798689870063158,0.097307362439361,1.3095985770043688,-0.12029812615148383,"H1,H2",CAGR
u56,0,SPY,SPY,0.8986374811215905,0.149587948062176,0.15450717694493266,0.8820107671822842,-0.33717235283398284,"H1,H2,DD",-
u56,10,CG IS-argmax g,CG g=1.00,1.1115799760908096,0.1685842618775102,0.18474612522638556,1.1353082993784909,-0.2917899958087591,"H1,H2,DD",DD
u56,10,CG IS-gross-matched g,CG g=0.55,1.1085122361451138,0.0921988484005205,0.10101302613635532,1.1358612547771085,-0.16903723247417157,"H1,H2,DD",CAGR
u56,10,"chooser{V2,CG}",CG g=1.00,1.1115799760908096,0.1685842618775102,0.18474612522638556,1.1353082993784909,-0.2917899958087591,"H1,H2,DD",DD
u56,10,V2 (do-nothing),RULES v2 (live),1.1042593710951487,0.07609422682833555,0.09534722887472857,1.285072363206482,-0.12054942313126815,"H1,H2",CAGR
u56,10,SPY,SPY,0.8986374811215905,0.149587948062176,0.15450717694493266,0.8820107671822842,-0.33717235283398284,"H1,H2,DD",-
broad,0,CG IS-argmax g,CG g=1.00,1.154579539868798,0.1945422827865111,0.18734017699354166,1.107706499450584,-0.32706330839494424,"H1,DD",DD
broad,0,CG IS-gross-matched g,CG g=0.55,1.1508093845953158,0.10603877691350427,0.10276811383680973,1.1107175731122454,-0.19092985863406453,"H1,DD",CAGR
broad,0,"chooser{V2,CG}",CG g=1.00,1.154579539868798,0.1945422827865111,0.18734017699354166,1.107706499450584,-0.32706330839494424,"H1,DD",DD
broad,0,V2 (do-nothing),RULES v2 (live),1.1169385288295242,0.08292833720357251,0.08210528304142972,1.1481353293632495,-0.12211398589281575,"H1,H2",CAGR
broad,0,SPY,SPY,0.8986643995365173,0.14959762001990007,0.1545044425578177,0.8820239235972316,-0.3371595330739301,"H1,H2,DD",-
broad,10,CG IS-argmax g,CG g=1.00,1.1480524682716666,0.19326015747810077,0.1859250895188882,1.100579361004539,-0.32721478414341376,DD,DD
broad,10,CG IS-gross-matched g,CG g=0.55,1.1439128431669872,0.10534929468741416,0.10201142336649371,1.103226771598257,-0.19105400715929344,DD,CAGR
broad,10,"chooser{V2,CG}",CG g=1.00,1.1480524682716666,0.19326015747810077,0.1859250895188882,1.100579361004539,-0.32721478414341376,DD,DD
broad,10,V2 (do-nothing),RULES v2 (live),1.0911618922065958,0.0808727653598118,0.07983337481604336,1.1185082795688426,-0.12240793860208021,"H1,H2",CAGR
broad,10,SPY,SPY,0.8986643995365173,0.14959762001990007,0.1545044425578177,0.8820239235972316,-0.3371595330739301,"H1,H2,DD",-
