tau,n,pass4a,pass4b,4a_pass_with_a_tied_bar,4a_fail_with_a_tied_bar,4a_min_abs_margin,4a_H1_tied,4a_H2_tied,4a_DD_tied,4b_pass_with_a_tied_bar,4b_fail_with_a_tied_bar,4b_min_abs_margin,4b_H1_tied,4b_H2_tied,4b_OOS_tied,4b_DD_tied,4b_CAGR_tied
0.0,324,6,50,0,2,0.0,2,2,2,0,0,6.588577656627126e-05,0,0,0,0,0
1e-16,324,6,50,0,2,0.0,2,2,2,0,0,6.588577656627126e-05,0,0,0,0,0
1e-15,324,6,50,0,2,0.0,2,2,2,0,0,6.588577656627126e-05,0,0,0,0,0
1e-12,324,6,50,0,2,0.0,2,2,2,0,0,6.588577656627126e-05,0,0,0,0,0
1e-09,324,6,50,0,2,0.0,2,2,2,0,0,6.588577656627126e-05,0,0,0,0,0
1e-06,324,6,50,0,2,0.0,2,2,2,0,0,6.588577656627126e-05,0,0,0,0,0
0.0001,324,6,50,0,3,0.0,2,2,3,0,1,6.588577656627126e-05,0,0,0,1,0
0.001,324,6,50,0,16,0.0,7,6,9,4,6,6.588577656627126e-05,0,0,0,6,4
