bar,bar_v,rule,panel,n_clone,all_GROSS,n_nonGROSS_clone,smallest_nonGROSS
B_TIGHT,0.004,P_MAX,POOLED,9,True,0,0.017514038025644885
B_TIGHT,0.004,P_MEAN,POOLED,9,True,0,0.01178217817083053
B_TIGHT,0.004,P_MEDIAN,POOLED,9,True,0,0.0049815792052352315
B_TIGHT,0.004,P_MIN,POOLED,14,False,5,0.000798676484204508
B_TIGHT,0.004,P_UNPOOLED,U56,10,False,1,0.0033933645164136994
B_TIGHT,0.004,P_UNPOOLED,B136,12,False,3,0.000798676484204508
B_TIGHT,0.004,P_UNPOOLED,SMALL,10,False,1,0.0022506368057039206
B_MID,0.01,P_MAX,POOLED,9,True,0,0.017514038025644885
B_MID,0.01,P_MEAN,POOLED,9,True,0,0.01178217817083053
B_MID,0.01,P_MEDIAN,POOLED,10,False,1,0.0049815792052352315
B_MID,0.01,P_MIN,POOLED,15,False,6,0.000798676484204508
B_MID,0.01,P_UNPOOLED,U56,10,False,1,0.0033933645164136994
B_MID,0.01,P_UNPOOLED,B136,13,False,4,0.000798676484204508
B_MID,0.01,P_UNPOOLED,SMALL,11,False,2,0.0022506368057039206
B_LOOSE,0.0171,P_MAX,POOLED,9,True,0,0.017514038025644885
B_LOOSE,0.0171,P_MEAN,POOLED,12,False,3,0.01178217817083053
B_LOOSE,0.0171,P_MEDIAN,POOLED,13,False,4,0.0049815792052352315
B_LOOSE,0.0171,P_MIN,POOLED,16,False,7,0.000798676484204508
B_LOOSE,0.0171,P_UNPOOLED,U56,11,False,2,0.0033933645164136994
B_LOOSE,0.0171,P_UNPOOLED,B136,14,False,5,0.000798676484204508
B_LOOSE,0.0171,P_UNPOOLED,SMALL,13,False,4,0.0022506368057039206
