lag,outcome,n,rho,t,p_perm,floor95,rho_recency,rho_topic,retain_recency,retain_topic,top10_mean,rest_mean,top10_n,temporal,COUNTS
1,REPRO,662,0.015001083704961364,0.3854281876212121,0.683,0.07488250927586942,0.002449651817542176,0.011365610563325726,,,0.868883612742213,0.9092234550821665,66,STATIC,False
1,SURVIVE,710,-0.2890254218635048,-8.033316822398485,0.0,0.07364741278211888,-0.2572081074656269,-0.28355917989967255,0.8899151701164061,0.9810873315966866,0.6901408450704225,0.94679186228482,71,FORWARD,True
1,KEEP4B,710,-0.0062224354043835355,-0.1655714428965367,0.8565,0.07345604562281693,0.03189934707760613,-0.004875928744552528,,,0.4647887323943662,0.49139280125195617,71,STATIC,False
2,REPRO,662,0.029745223343807612,0.7645069083201729,0.4455,0.0758322177355808,0.016645537207114938,0.02443196039407258,,,0.8374503385941109,0.9127043210113188,66,STATIC,False
2,SURVIVE,710,-0.3058508220872228,-8.547775175459279,0.0,0.07531860203769941,-0.2729156125678403,-0.29634925533187245,0.8923160994153221,0.9689339832716203,0.7605633802816901,0.9687010954616588,71,FORWARD,True
2,KEEP4B,710,0.03784304262138843,1.0076596637913506,0.3185,0.07334805454150166,0.07978554233402366,0.039645727808159725,,,0.5211267605633803,0.48513302034428796,71,STATIC,False
3,REPRO,662,0.010068170266117374,0.25866908814287193,0.8025,0.07664269458431275,-0.009069876146695735,0.0027768864325904315,,,0.8686151512869624,0.9092531840352647,66,STATIC,False
3,SURVIVE,710,-0.19761984585167014,-5.364109117724283,0.0,0.07083388209156055,-0.14874915915257725,-0.18771938084153286,0.7527035481255545,0.9499014637549693,0.8450704225352113,0.9874804381846636,71,FORWARD,False
3,KEEP4B,710,0.011232526184932527,0.2988969391285896,0.772,0.07378887617066764,0.06753907569043428,0.010500669944867631,,,0.5070422535211268,0.486697965571205,71,STATIC,False
FWD,REPRO,662,-0.004086353349059616,-0.10498119484110191,0.9175,0.07603846256740192,-0.026800638010033486,-0.01166979862106007,,,0.8989161328074562,0.9058977062158812,66,STATIC,False
FWD,SURVIVE,710,-0.608138883798913,-20.38409991383365,0.0,0.07460036935521772,-0.5896867966460776,-0.6001970000668556,0.9696581033635455,0.9869406743366809,0.38028169014084506,0.9640062597809077,71,FORWARD,True
FWD,KEEP4B,710,0.027207064415309897,0.724200984532015,0.476,0.07485107377734768,0.09409728666600747,0.028330083617010525,,,0.5352112676056338,0.4835680751173709,71,STATIC,False
