panel,book,gross,cost_bps,chooser,q,H,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,spy_OOS_Sharpe,spy_OOS_CAGR,spy_OOS_MaxDD,base_OOS_Sharpe,base_OOS_CAGR,base_OOS_MaxDD,pass4b,pass4a
B136,CAND,0.75,0.0,C_ISSHARPE,0.1,126,0.04635294004209389,1.1149748522973493,-0.10508331093832257,0.8736721309012504,0.15257181383948715,-0.3371595330739301,1.1313567037098642,0.08074281555114382,-0.12211674782076976,False,False
B136,CAND,0.75,0.0,C_ISCALMAR,0.1,126,0.04635294004209389,1.1149748522973493,-0.10508331093832257,0.8736721309012504,0.15257181383948715,-0.3371595330739301,1.1313567037098642,0.08074281555114382,-0.12211674782076976,False,False
B136,CAND,0.75,10.0,C_ISSHARPE,0.1,126,0.04251891568584454,1.0254267349878436,-0.10916103455693615,0.8736721309012504,0.15257181383948715,-0.3371595330739301,1.1016867720596069,0.07847283605551292,-0.12241069123223403,False,False
B136,CAND,0.75,10.0,C_ISCALMAR,0.1,126,0.04251891568584454,1.0254267349878436,-0.10916103455693615,0.8736721309012504,0.15257181383948715,-0.3371595330739301,1.1016867720596069,0.07847283605551292,-0.12241069123223403,False,False
B136,CAND,0.75,25.0,C_ISSHARPE,0.15,126,0.07123565992727543,0.9441724347202319,-0.1565811123881936,0.8736721309012504,0.15257181383948715,-0.3371595330739301,1.057138821217919,0.07507655272231117,-0.12285153570594698,False,False
B136,CAND,0.75,25.0,C_ISCALMAR,0.15,126,0.07123565992727543,0.9441724347202319,-0.1565811123881936,0.8736721309012504,0.15257181383948715,-0.3371595330739301,1.057138821217919,0.07507655272231117,-0.12285153570594698,False,False
B136,CAND,0.75,50.0,C_ISSHARPE,0.15,126,0.059042955684041276,0.7922817265723511,-0.16937940036845023,0.8736721309012504,0.15257181383948715,-0.3371595330739301,0.9827932668211912,0.06943916638398329,-0.12358608812190786,False,False
B136,CAND,0.75,50.0,C_ISCALMAR,0.15,126,0.059042955684041276,0.7922817265723511,-0.16937940036845023,0.8736721309012504,0.15257181383948715,-0.3371595330739301,0.9827932668211912,0.06943916638398329,-0.12358608812190786,False,False
B136,CAND,1.0,0.0,C_ISSHARPE,0.1,126,0.05583979935292982,1.0348031036652374,-0.12452504648250151,0.8736721309012504,0.15257181383948715,-0.3371595330739301,1.1313567037098642,0.08074281555114382,-0.12211674782076976,False,False
B136,CAND,1.0,0.0,C_ISCALMAR,0.1,126,0.05583979935292982,1.0348031036652374,-0.12452504648250151,0.8736721309012504,0.15257181383948715,-0.3371595330739301,1.1313567037098642,0.08074281555114382,-0.12211674782076976,False,False
B136,CAND,1.0,10.0,C_ISSHARPE,0.15,126,0.09849914881662314,0.9800401434912054,-0.18209039293344675,0.8736721309012504,0.15257181383948715,-0.3371595330739301,1.1016867720596069,0.07847283605551292,-0.12241069123223403,True,False
B136,CAND,1.0,10.0,C_ISCALMAR,0.1,126,0.050691145605253896,0.9433495260435212,-0.12984189560843096,0.8736721309012504,0.15257181383948715,-0.3371595330739301,1.1016867720596069,0.07847283605551292,-0.12241069123223403,False,False
B136,CAND,1.0,25.0,C_ISSHARPE,0.15,126,0.08858152109850881,0.8899328622119022,-0.19167387236053757,0.8736721309012504,0.15257181383948715,-0.3371595330739301,1.057138821217919,0.07507655272231117,-0.12285153570594698,False,False
B136,CAND,1.0,25.0,C_ISCALMAR,0.15,126,0.08858152109850881,0.8899328622119022,-0.19167387236053757,0.8736721309012504,0.15257181383948715,-0.3371595330739301,1.057138821217919,0.07507655272231117,-0.12285153570594698,False,False
B136,CAND,1.0,50.0,C_ISSHARPE,0.15,126,0.07224232555971155,0.7394360289892826,-0.2075111177118738,0.8736721309012504,0.15257181383948715,-0.3371595330739301,0.9827932668211912,0.06943916638398329,-0.12358608812190786,False,False
B136,CAND,1.0,50.0,C_ISCALMAR,0.3,126,0.11415196700704544,0.8362273323105944,-0.24108555605261217,0.8736721309012504,0.15257181383948715,-0.3371595330739301,0.9827932668211912,0.06943916638398329,-0.12358608812190786,False,False
B136,CAP2,0.75,0.0,C_ISSHARPE,0.1,126,0.045472599532607516,1.107624329545242,-0.10372641057338494,0.8736721309012504,0.15257181383948715,-0.3371595330739301,1.1313567037098642,0.08074281555114382,-0.12211674782076976,False,False
B136,CAP2,0.75,0.0,C_ISCALMAR,0.1,126,0.045472599532607516,1.107624329545242,-0.10372641057338494,0.8736721309012504,0.15257181383948715,-0.3371595330739301,1.1313567037098642,0.08074281555114382,-0.12211674782076976,False,False
B136,CAP2,0.75,10.0,C_ISSHARPE,0.1,126,0.04177631506898605,1.0202258968480982,-0.10788628109748066,0.8736721309012504,0.15257181383948715,-0.3371595330739301,1.1016867720596069,0.07847283605551292,-0.12241069123223403,False,False
B136,CAP2,0.75,10.0,C_ISCALMAR,0.1,126,0.04177631506898605,1.0202258968480982,-0.10788628109748066,0.8736721309012504,0.15257181383948715,-0.3371595330739301,1.1016867720596069,0.07847283605551292,-0.12241069123223403,False,False
B136,CAP2,0.75,25.0,C_ISSHARPE,0.1,126,0.03625540982035291,0.8889541398962152,-0.11409103012417332,0.8736721309012504,0.15257181383948715,-0.3371595330739301,1.057138821217919,0.07507655272231117,-0.12285153570594698,False,False
B136,CAP2,0.75,25.0,C_ISCALMAR,0.3,126,0.09972895504264101,0.9833893437180183,-0.18135257947775196,0.8736721309012504,0.15257181383948715,-0.3371595330739301,1.057138821217919,0.07507655272231117,-0.12285153570594698,False,False
B136,CAP2,0.75,50.0,C_ISSHARPE,inf,63,0.09527458603872074,0.9105523613820907,-0.1931402003715541,0.8736721309012504,0.15257181383948715,-0.3371595330739301,0.9827932668211912,0.06943916638398329,-0.12358608812190786,False,False
B136,CAP2,0.75,50.0,C_ISCALMAR,0.3,126,0.08667048320263637,0.8650727444089129,-0.19498356443193365,0.8736721309012504,0.15257181383948715,-0.3371595330739301,0.9827932668211912,0.06943916638398329,-0.12358608812190786,False,False
B136,CAP2,1.0,0.0,C_ISSHARPE,0.1,126,0.054743821765497414,1.0437784841425297,-0.11395364142746345,0.8736721309012504,0.15257181383948715,-0.3371595330739301,1.1313567037098642,0.08074281555114382,-0.12211674782076976,False,False
B136,CAP2,1.0,0.0,C_ISCALMAR,0.1,126,0.054743821765497414,1.0437784841425297,-0.11395364142746345,0.8736721309012504,0.15257181383948715,-0.3371595330739301,1.1313567037098642,0.08074281555114382,-0.12211674782076976,False,False
B136,CAP2,1.0,10.0,C_ISSHARPE,0.1,126,0.049945924317841506,0.9560810900739632,-0.11873262779041094,0.8736721309012504,0.15257181383948715,-0.3371595330739301,1.1016867720596069,0.07847283605551292,-0.12241069123223403,False,False
B136,CAP2,1.0,10.0,C_ISCALMAR,0.3,126,0.1362323151985887,1.0232431019135955,-0.22019325919069765,0.8736721309012504,0.15257181383948715,-0.3371595330739301,1.1016867720596069,0.07847283605551292,-0.12241069123223403,False,False
B136,CAP2,1.0,25.0,C_ISSHARPE,0.1,126,0.04278839145014146,0.8243643284867982,-0.12585429610597587,0.8736721309012504,0.15257181383948715,-0.3371595330739301,1.057138821217919,0.07507655272231117,-0.12285153570594698,False,False
B136,CAP2,1.0,25.0,C_ISCALMAR,0.3,126,0.12608021648854395,0.9556081709245083,-0.2212380267713051,0.8736721309012504,0.15257181383948715,-0.3371595330739301,1.057138821217919,0.07507655272231117,-0.12285153570594698,False,False
B136,CAP2,1.0,50.0,C_ISSHARPE,inf,63,0.12040159912435833,0.8895229911821956,-0.22658861454669854,0.8736721309012504,0.15257181383948715,-0.3371595330739301,0.9827932668211912,0.06943916638398329,-0.12358608812190786,False,False
B136,CAP2,1.0,50.0,C_ISCALMAR,0.3,63,0.1104687653086176,0.8453161685125088,-0.22658861454669854,0.8736721309012504,0.15257181383948715,-0.3371595330739301,0.9827932668211912,0.06943916638398329,-0.12358608812190786,False,False
U56,CAND,0.75,0.0,C_ISSHARPE,inf,63,0.14353853330986377,1.2803390722324455,-0.17274816551070737,0.8831406547160487,0.15454794790057602,-0.33717256724185274,1.3084634507178121,0.09708168179295829,-0.12029821098034799,True,False
U56,CAND,0.75,0.0,C_ISCALMAR,0.3,126,0.12449498113171287,1.24481657993601,-0.14674991542849214,0.8831406547160487,0.15454794790057602,-0.33717256724185274,1.3084634507178121,0.09708168179295829,-0.12029821098034799,True,False
U56,CAND,0.75,10.0,C_ISSHARPE,inf,63,0.13852464950781207,1.2397071765466101,-0.17392304314971785,0.8831406547160487,0.15454794790057602,-0.33717256724185274,1.2839355379722956,0.0951245058604564,-0.12054950773958317,True,False
