claim_set,floor,cost,n,pass_4b,cagrleg_pass,cagrleg_binding,pass_4a,med_margin_pp
MEMO8,CURRENT,10.0,8,8,8,0,0,2.6849981021227736
MEMO8,CURRENT,25.0,8,7,7,1,0,1.1707823308785863
MEMO8,CONST,10.0,8,8,8,0,0,4.435238665260663
MEMO8,CONST,25.0,8,8,8,0,0,3.509742263056787
MEMO8,PATH,10.0,8,8,8,0,0,5.070464440171317
MEMO8,PATH,25.0,8,8,8,0,0,4.309100806962379
PASS62,CURRENT,10.0,26,26,26,0,0,2.4746920444454172
PASS62,CURRENT,25.0,26,21,23,3,0,0.8103080864235751
PASS62,CONST,10.0,26,26,26,0,0,3.9670144596707915
PASS62,CONST,25.0,26,22,26,0,0,2.494559856153036
PASS62,PATH,10.0,26,26,26,0,0,3.902185481237641
PASS62,PATH,25.0,26,22,26,0,0,2.35408675834473
ALL62,CURRENT,10.0,62,26,35,27,4,0.670651470543418
ALL62,CURRENT,25.0,62,21,28,34,4,-0.48868329044095826
ALL62,CONST,10.0,62,35,50,12,4,3.082339776299169
ALL62,CONST,25.0,62,31,47,15,4,1.85992737431998
ALL62,PATH,10.0,62,35,50,12,4,3.4036671605905657
ALL62,PATH,25.0,62,31,50,12,4,1.9266827122133685
