predictor,auc_all_DG,auc_within_market
GAP,0.6385161799526441,0.7706457925636008
SD,0.9074980268350434,0.7706457925636008
RHO1,0.14080505130228888,0.3455968688845401
RHO5,0.143646408839779,0.35264187866927593
DRHO1,0.2596685082872928,0.5205479452054794
RUN,0.5337016574585636,0.6305283757338552
TIMING,0.49597474348855564,0.5416829745596868
DDTIME,0.547119179163378,0.6888454011741683
