panel,book,k,seed,cost,kind,events,Turn,dTurn,CAGR,Sharpe,MaxDD,H1,H2,IS_Sharpe,IS_CAGR,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,dSharpe,dCAGR,dMaxDD,dH1,dH2,p4a_ctl,p4a_live,p4b
U56,v1,0,-1,0.00000000,control,0,23.63110207,0.00000000,0.08962847,0.89229311,-0.13594402,0.87934859,0.90843853,0.78599305,0.07272783,0.10377017,0.97258816,-0.13594402,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,False,False,False
U56,v1,0,-1,10.00000000,control,0,23.63110207,0.00000000,0.06419374,0.66110119,-0.13827804,0.64289445,0.68040428,0.55467024,0.04937472,0.07657544,0.74078214,-0.13827804,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,False,False,False
U56,v1,0,-1,25.00000000,control,0,23.63110207,0.00000000,0.02712201,0.31314962,-0.15629985,0.28691949,0.33728387,0.20680191,0.01526905,0.03700370,0.39173440,-0.14177196,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,False,False,False
U56,v1,1,0,0.00000000,noop,1,23.64803683,0.01693476,0.08952528,0.89136408,-0.13594402,0.87732319,0.90843853,0.78378832,0.07250310,0.10377017,0.97258816,-0.13594402,-0.00092903,-0.00010319,-0.00000000,-0.00202540,0.00000000,False,False,False
U56,v1,1,0,10.00000000,noop,1,23.64803683,0.01693476,0.06407494,0.66000616,-0.13827804,0.64050668,0.68040428,0.55207123,0.04911558,0.07657544,0.74078214,-0.13827804,-0.00109503,-0.00011880,-0.00000000,-0.00238778,0.00000000,False,False,False
U56,v1,1,0,25.00000000,noop,1,23.64803683,0.01693476,0.02698124,0.31180769,-0.15833480,0.28399311,0.33728387,0.20361702,0.01496125,0.03700370,0.39173440,-0.14177196,-0.00134193,-0.00014077,-0.00203495,-0.00292637,0.00000000,False,False,False
U56,v1,1,1,0.00000000,noop,1,23.64791321,0.01681114,0.08981656,0.89429343,-0.13594402,0.87934859,0.91212118,0.78599305,0.07272783,0.10411790,0.97607786,-0.13594402,0.00200032,0.00018809,0.00000000,0.00000000,0.00368265,False,False,False
U56,v1,1,1,10.00000000,noop,1,23.64791321,0.01681114,0.06435944,0.66283981,-0.13827804,0.64289445,0.68361452,0.55467024,0.04937472,0.07688137,0.74382448,-0.13827804,0.00173862,0.00016570,0.00000000,0.00000000,0.00321023,False,False,False
U56,v1,1,1,25.00000000,noop,1,23.64791321,0.01681114,0.02725586,0.31450108,-0.15629985,0.28691949,0.33979505,0.20680191,0.01526905,0.03725032,0.39411432,-0.14177196,0.00135146,0.00013385,0.00000000,0.00000000,0.00251117,False,False,False
U56,v1,1,2,0.00000000,noop,1,23.64804186,0.01693979,0.08942984,0.89057003,-0.13594402,0.87934859,0.90522941,0.78599305,0.07272783,0.10340300,0.96960518,-0.13594402,-0.00172308,-0.00019864,-0.00000000,0.00000000,-0.00320913,False,False,False
U56,v1,1,2,10.00000000,noop,1,23.64804186,0.01693979,0.06398173,0.65919403,-0.13827804,0.64289445,0.67685660,0.55467024,0.04937472,0.07618408,0.73748216,-0.13827804,-0.00190716,-0.00021201,0.00000000,0.00000000,-0.00354768,False,False,False
U56,v1,1,2,25.00000000,noop,1,23.64804186,0.01693979,0.02689130,0.31096837,-0.15629985,0.28691949,0.33323189,0.20680191,0.01526905,0.03657865,0.38796206,-0.14177196,-0.00218125,-0.00023071,0.00000000,0.00000000,-0.00405198,False,False,False
U56,v1,1,3,0.00000000,noop,1,23.63111966,0.00001759,0.08961716,0.89220332,-0.13594402,0.87915505,0.90843853,0.78577823,0.07270319,0.10377017,0.97258816,-0.13594402,-0.00008979,-0.00001131,0.00000000,-0.00019354,0.00000000,False,False,False
U56,v1,1,3,10.00000000,noop,1,23.63111966,0.00001759,0.06418265,0.66100625,-0.13827804,0.64268858,0.68040428,0.55444288,0.04935053,0.07657544,0.74078214,-0.13827804,-0.00009494,-0.00001109,-0.00000000,-0.00020588,0.00000000,False,False,False
U56,v1,1,3,25.00000000,noop,1,23.63111966,0.00001759,0.02711125,0.31304918,-0.15629985,0.28670045,0.33728387,0.20656132,0.01524551,0.03700370,0.39173440,-0.14177196,-0.00010044,-0.00001076,0.00000000,-0.00021904,0.00000000,False,False,False
U56,v1,1,4,0.00000000,noop,1,23.64782835,0.01672628,0.08994138,0.89537353,-0.13594402,0.88611624,0.90843853,0.79326945,0.07340945,0.10377017,0.97258816,-0.13594402,0.00308042,0.00031291,-0.00000000,0.00676765,0.00000000,False,False,False
U56,v1,1,4,10.00000000,noop,1,23.64782835,0.01672628,0.06448162,0.66394451,-0.13827804,0.64912737,0.68040428,0.56136974,0.05000283,0.07657544,0.74078214,-0.13827804,0.00284332,0.00028788,-0.00000000,0.00623291,0.00000000,False,False,False
U56,v1,1,4,25.00000000,noop,1,23.64782835,0.01672628,0.02737419,0.31562633,-0.15264267,0.29232299,0.33728387,0.21260872,0.01582058,0.03700370,0.39173440,-0.14177196,0.00247671,0.00025218,0.00365718,0.00540350,0.00000000,False,False,False
U56,v1,1,5,0.00000000,noop,1,23.64807230,0.01697023,0.08956836,0.89186262,-0.13594402,0.87934859,0.90762596,0.78599305,0.07272783,0.10365905,0.97184928,-0.13594402,-0.00043049,-0.00006011,0.00000000,0.00000000,-0.00081257,False,False,False
