panel,cost,selector,book,gross,band,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,SPY_CAGR,SPY_Sharpe,SPY_MaxDD,V2_CAGR,V2_Sharpe,V2_MaxDD,beats_SPY,beats_V2,OOS_4b,OOS_4a
U56,0.0,S0_ISsharpe,TOP20,1.0,0.0,0.2369364302349215,1.230348442526456,-0.28679334203802154,0.15315660628921846,0.8757783801289708,-0.33717235283398284,0.09677994358088604,1.3033814514046251,-0.12029816459609177,True,False,False,False
U56,0.0,S1_RAWbind,TOP20,0.75,0.06,0.16623974826252397,1.228383359552975,-0.2008919323320285,0.15315660628921846,0.8757783801289708,-0.33717235283398284,0.09677994358088604,1.3033814514046251,-0.12029816459609177,True,False,True,False
U56,0.0,S2_OWNpanel,TOP20,0.75,0.0,0.17658289210950184,1.2300411925041779,-0.22123756255455818,0.15315660628921846,0.8757783801289708,-0.33717235283398284,0.09677994358088604,1.3033814514046251,-0.12029816459609177,True,False,False,False
U56,0.0,S3_MISstamped,TOP20,0.75,0.0,0.17658289210950184,1.2300411925041779,-0.22123756255455818,0.15315660628921846,0.8757783801289708,-0.33717235283398284,0.09677994358088604,1.3033814514046251,-0.12029816459609177,True,False,False,False
U56,5.0,S0_ISsharpe,TOP20,1.0,0.0,0.22959801188786733,1.198604303964164,-0.28733197867421056,0.15315660628921846,0.8757783801289708,-0.33717235283398284,0.09579949209392957,1.291111718681875,-0.12042381687213732,True,False,False,False
U56,5.0,S1_RAWbind,TOP20,0.75,0.06,0.1615259952495003,1.1978596551186396,-0.20141105165342443,0.15315660628921846,0.8757783801289708,-0.33717235283398284,0.09579949209392957,1.291111718681875,-0.12042381687213732,True,False,True,False
U56,5.0,S2_OWNpanel,TOP20,0.75,0.0,0.17133616898801307,1.1982293946646838,-0.22167095147194182,0.15315660628921846,0.8757783801289708,-0.33717235283398284,0.09579949209392957,1.291111718681875,-0.12042381687213732,True,False,False,False
U56,5.0,S3_MISstamped,TOP20,0.75,0.0,0.17133616898801307,1.1982293946646838,-0.22167095147194182,0.15315660628921846,0.8757783801289708,-0.33717235283398284,0.09579949209392957,1.291111718681875,-0.12042381687213732,True,False,False,False
U56,10.0,S0_ISsharpe,TOP20,1.0,0.0,0.2223020991636533,1.1668327729976047,-0.2878703233504023,0.15315660628921846,0.8757783801289708,-0.33717235283398284,0.09481988847882805,1.2788365375971447,-0.12054946142590783,True,False,False,False
U56,10.0,S1_RAWbind,TOP20,0.75,0.0,0.16611228811672385,1.1663899771817996,-0.22210416783816633,0.15315660628921846,0.8757783801289708,-0.33717235283398284,0.09481988847882805,1.2788365375971447,-0.12054946142590783,True,False,False,False
U56,10.0,S2_OWNpanel,TOP20,0.75,0.0,0.16611228811672385,1.1663899771817996,-0.22210416783816633,0.15315660628921846,0.8757783801289708,-0.33717235283398284,0.09481988847882805,1.2788365375971447,-0.12054946142590783,True,False,False,False
U56,10.0,S3_MISstamped,TOP20,0.75,0.0,0.16611228811672385,1.1663899771817996,-0.22210416783816633,0.15315660628921846,0.8757783801289708,-0.33717235283398284,0.09481988847882805,1.2788365375971447,-0.12054946142590783,True,False,False,False
U56,25.0,S0_ISsharpe,EWALL,1.0,0.0,0.18187650473357708,1.1205467125831747,-0.2920301737861968,0.15315660628921846,0.8757783801289708,-0.33717235283398284,0.09188615777181997,1.2419798947110137,-0.12092634875468766,True,False,False,False
U56,25.0,S1_RAWbind,EWALL,0.75,0.0,0.13608817156745623,1.1208438515837291,-0.2254761395880338,0.15315660628921846,0.8757783801289708,-0.33717235283398284,0.09188615777181997,1.2419798947110137,-0.12092634875468766,True,False,False,False
U56,25.0,S2_OWNpanel,EWALL,0.75,0.0,0.13608817156745623,1.1208438515837291,-0.2254761395880338,0.15315660628921846,0.8757783801289708,-0.33717235283398284,0.09188615777181997,1.2419798947110137,-0.12092634875468766,True,False,False,False
U56,25.0,S3_MISstamped,EWALL,0.75,0.0,0.13608817156745623,1.1208438515837291,-0.2254761395880338,0.15315660628921846,0.8757783801289708,-0.33717235283398284,0.09188615777181997,1.2419798947110137,-0.12092634875468766,True,False,False,False
U56,50.0,S0_ISsharpe,EWALL,1.0,0.0,0.17853779369928802,1.1029068991875048,-0.2924304004788,0.15315660628921846,0.8757783801289708,-0.33717235283398284,0.08701349791686863,1.1804580613683542,-0.12155433986760933,True,False,False,False
U56,50.0,S1_RAWbind,EWALL,0.75,0.0,0.1336554295990784,1.1029922606968043,-0.22583815653911088,0.15315660628921846,0.8757783801289708,-0.33717235283398284,0.08701349791686863,1.1804580613683542,-0.12155433986760933,True,False,False,False
