panel,K,tied_PCT,tied_Z,sat_share,distinct_PCT,distinct_Z
U56,10,3.85,1.0,0.9625,2,80
U56,20,3.75,1.0,0.9375,2,80
U56,50,3.35,1.0,0.8375,3,80
U56,100,3.3,1.0,0.825,4,80
U56,200,2.45,1.0,0.6125,6,80
U56,400,2.0,1.0,0.5,3,11
B136,10,4.0,1.0,1.0,1,80
B136,20,3.85,1.0,0.9625,2,80
B136,50,3.8,1.0,0.95,3,80
B136,100,3.6,1.0,0.9,4,80
B136,200,3.05,1.0,0.7625,4,80
B136,400,3.0,1.0,0.75,2,11
SMALL,10,1.7,1.0,0.425,10,80
SMALL,20,1.65,1.0,0.4125,14,80
SMALL,50,1.5,1.0,0.1625,21,80
SMALL,100,1.25,1.0,0.125,28,80
SMALL,200,1.0,1.0,0.0375,34,80
SMALL,400,1.0,1.0,0.0,4,9
