panel,ladder,stat,argmax_rung,argmax_index,argmin_rung,is_max,is_min,spread,se_pair,flat_ratio,boundary,p_bound,mono,pick_N,pick_H,pick_gross,pick_cadence,pick_oos_CAGR,pick_oos_Sharpe,pick_oos_MaxDD,anchor_oos_CAGR,anchor_oos_Sharpe,anchor_oos_MaxDD,live_oos_Sharpe,spy_oos_Sharpe,spy_oos_CAGR,spy_oos_MaxDD,d_oos_Sharpe,d_oos_MaxDD,d_oos_CAGR,best_rung_oos,worst_rung_oos,mean_rung_oos,rank_is_oos,pick_keep4a,pick_keep4b,pick_fail4b,pw_full_CAGR,pw_full_Sharpe,pw_full_MaxDD,pw_h1_CAGR,pw_h1_Sharpe,pw_h1_MaxDD,pw_h2_CAGR,pw_h2_Sharpe,pw_h2_MaxDD,pw_is__CAGR,pw_is__Sharpe,pw_is__MaxDD,pw_oos_CAGR,pw_oos_Sharpe,pw_oos_MaxDD
U56,N,Sharpe,12,3,8,1.1664081732806384,1.0246893692453622,0.14171880403527615,0.11678298819073431,1.213522673386433,0,0.353,0.2619047619047619,12,126,0.75,W,0.1887037168821093,1.1750718567424734,-0.20169232195329867,0.17042230856703666,1.1690155684196564,-0.19127563591226404,1.2780694840193234,0.8747033226162612,0.1527838188994346,-0.3371726770846233,0.006056288322817016,-0.010416686041034628,0.018281408315072634,1.1928585103411742,0.9060838087852843,1.1149363036677493,0.40476190476190477,False,True,-,0.17693915159214124,1.1687398571612753,-0.20169232195329845,0.17722686745642724,1.2743664631061042,-0.16104858578491654,0.17665163536723538,1.088643924366616,-0.20169232195329811,0.162793152807843,1.1664081732806384,-0.16104858578491654,0.1887037168821093,1.1750718567424734,-0.20169232195329867
U56,N,CAGR,5,0,30,0.18764666887742631,0.12162371954786155,0.06602294932956476,0.042873015424282915,1.5399651430202392,1,0.804,0.9285714285714286,5,126,0.75,W,0.17190400059573552,0.9060838087852843,-0.2585359503365696,0.17042230856703666,1.1690155684196564,-0.19127563591226404,1.2780694840193234,0.8747033226162612,0.1527838188994346,-0.3371726770846233,-0.2629317596343721,-0.06726031442430558,0.0014816920286988555,1.1928585103411742,0.9060838087852843,1.1149363036677493,0.40476190476190477,False,False,DD,0.1789829066444839,0.9893393325945896,-0.25853595033656995,0.19810736615214108,1.1946892109813998,-0.24238280544386492,0.1601721100642597,0.8353240146529841,-0.25853595033656984,0.18764666887742631,1.1166700991092464,-0.24238280544386492,0.17190400059573552,0.9060838087852843,-0.2585359503365696
U56,N,MaxDD,20,5,5,-0.13952247957155728,-0.24238280544386492,0.10286032587230765,0.039537207364203276,2.601608275586927,0,0.684,0.7857142857142857,20,126,0.75,W,0.17042230856703666,1.1690155684196564,-0.19127563591226404,0.17042230856703666,1.1690155684196564,-0.19127563591226404,1.2780694840193234,0.8747033226162612,0.1527838188994346,-0.3371726770846233,0.0,0.0,0.0,1.1928585103411742,0.9060838087852843,1.1149363036677493,0.40476190476190477,False,True,-,0.15618726699090724,1.1424328977344387,-0.19127563591226426,0.14864305495022045,1.2051807432714048,-0.13952247957155728,0.16377760327533974,1.1011635298139153,-0.19127563591226415,0.1391140719342452,1.1121763073381954,-0.13952247957155728,0.17042230856703666,1.1690155684196564,-0.19127563591226404
U56,H,Sharpe,189,7,5,1.2461317776953784,0.9843432802968605,0.26178849739851795,0.11834265346454176,2.2121229306131447,1,0.732,0.7619047619047619,20,189,0.75,W,0.1590273194617391,1.0526948324707202,-0.22213526208853618,0.17042230856703666,1.1690155684196564,-0.19127563591226404,1.2780694840193234,0.8747033226162612,0.1527838188994346,-0.3371726770846233,-0.11632073594893622,-0.030859626176272137,-0.01139498910529757,1.1690155684196564,1.0526948324707202,1.1225312617577292,-0.5952380952380952,False,False,DD,0.15602985842663064,1.1216386362976694,-0.22213526208853607,0.16101720333642477,1.3358261362912498,-0.130184593174147,0.15106616557429398,0.9809630504101663,-0.22213526208853607,0.15239614962381554,1.2461317776953784,-0.130184593174147,0.1590273194617391,1.0526948324707202,-0.22213526208853618
U56,H,CAGR,189,7,5,0.15239614962381554,0.10912485369268077,0.04327129593113477,0.015343948435725428,2.8200887217781503,1,0.671,0.9523809523809523,20,189,0.75,W,0.1590273194617391,1.0526948324707202,-0.22213526208853618,0.17042230856703666,1.1690155684196564,-0.19127563591226404,1.2780694840193234,0.8747033226162612,0.1527838188994346,-0.3371726770846233,-0.11632073594893622,-0.030859626176272137,-0.01139498910529757,1.1690155684196564,1.0526948324707202,1.1225312617577292,-0.5952380952380952,False,False,DD,0.15602985842663064,1.1216386362976694,-0.22213526208853607,0.16101720333642477,1.3358261362912498,-0.130184593174147,0.15106616557429398,0.9809630504101663,-0.22213526208853607,0.15239614962381554,1.2461317776953784,-0.130184593174147,0.1590273194617391,1.0526948324707202,-0.22213526208853618
U56,H,MaxDD,10,1,126,-0.11384453417758567,-0.13952247957155728,0.025677945393971613,0.017048096201375113,1.506206035598298,0,0.432,0.8095238095238095,20,10,0.75,W,0.15080488730094954,1.149374252546475,-0.19330056547489605,0.17042230856703666,1.1690155684196564,-0.19127563591226404,1.2780694840193234,0.8747033226162612,0.1527838188994346,-0.3371726770846233,-0.01964131587318141,-0.002024929562632005,-0.01961742126608712,1.1690155684196564,1.0526948324707202,1.1225312617577292,-0.5952380952380952,False,True,-,0.13513519601955992,1.0940917178290157,-0.19330056547489605,0.12798427167227167,1.1325539668218192,-0.11384453417758567,0.14232820812532565,1.069035846109609,-0.19330056547489582,0.11637194331010381,1.0229954508643888,-0.11384453417758567,0.15080488730094954,1.149374252546475,-0.19330056547489605
U56,GROSS,Sharpe,1.0,7,0.25,1.1124938804924862,1.110577923175107,0.0019159573173792577,0.003006665531877001,0.6372365988388352,1,0.782,1.0,20,126,1.0,W,0.22823378341995704,1.169824974619825,-0.24927642911311532,0.17042230856703666,1.1690155684196564,-0.19127563591226404,1.2780694840193234,0.8747033226162612,0.1527838188994346,-0.3371726770846233,0.0008094062001686719,-0.058000793200851275,0.057811474852920375,1.169824974619825,1.1665879955127398,1.168299455907989,1.0,False,False,DD,0.2088693261014769,1.1430206757240886,-0.24927642911311532,0.19918887554579,1.2056227906044392,-0.1840425595609515,0.21862351656805257,1.1019853680803735,-0.2492764291131152,0.18573782659555782,1.1124938804924862,-0.1840425595609515,0.22823378341995704,1.169824974619825,-0.24927642911311532
U56,GROSS,CAGR,1.0,7,0.25,0.18573782659555782,0.046057049179390575,0.13968077741616725,0.04116223459812872,3.393420662893683,1,1.0,1.0,20,126,1.0,W,0.22823378341995704,1.169824974619825,-0.24927642911311532,0.17042230856703666,1.1690155684196564,-0.19127563591226404,1.2780694840193234,0.8747033226162612,0.1527838188994346,-0.3371726770846233,0.0008094062001686719,-0.058000793200851275,0.057811474852920375,1.169824974619825,1.1665879955127398,1.168299455907989,1.0,False,False,DD,0.2088693261014769,1.1430206757240886,-0.24927642911311532,0.19918887554579,1.2056227906044392,-0.1840425595609515,0.21862351656805257,1.1019853680803735,-0.2492764291131152,0.18573782659555782,1.1124938804924862,-0.1840425595609515,0.22823378341995704,1.169824974619825,-0.24927642911311532
U56,GROSS,MaxDD,0.25,0,1.0,-0.04745231047305232,-0.1840425595609515,0.13659024908789918,0.0334253834829392,4.086422797740431,1,1.0,1.0,20,126,0.25,W,0.05605544593994782,1.1665879955127398,-0.06691436688214492,0.17042230856703666,1.1690155684196564,-0.19127563591226404,1.2780694840193234,0.8747033226162612,0.1527838188994346,-0.3371726770846233,-0.002427572906916531,0.12436126903011913,-0.11436686262708884,1.169824974619825,1.1665879955127398,1.168299455907989,1.0,False,False,CAGR,0.051531236416997084,1.1403795182492829,-0.06691436688214492,0.04887724555359174,1.2033280118004477,-0.04745231047305232,0.054190744843539695,1.0987520583676835,-0.06691436688214458,0.046057049179390575,1.110577923175107,-0.04745231047305232,0.05605544593994782,1.1665879955127398,-0.06691436688214492
U56,CADENCE,Sharpe,2W,2,2Q,1.157848443637163,0.9192017001670255,0.23864674347013748,0.14687520690761396,1.624826602765222,0,0.032,0.6666666666666666,20,126,0.75,2W,0.17257271294751275,1.1477439869967874,-0.2409671645760949,0.17042230856703666,1.1690155684196564,-0.19127563591226404,1.2780694840193234,0.8747033226162612,0.1527838188994346,-0.3371726770846233,-0.021271581422869,-0.049691528663830864,0.0021504043804760897,1.1756354674404332,0.9481716203402201,1.1103903548792933,0.5476190476190477,False,False,DD,0.15915990972859317,1.146476699195832,-0.24096716457609468,0.15625590820633573,1.2777004486453163,-0.13832594881329652,0.16206989413614004,1.0596793483334632,-0.24096716457609502,0.1430598404980945,1.157848443637163,-0.13832594881329652,0.17257271294751275,1.1477439869967874,-0.2409671645760949
