kind,panel,gross,cost,peak,argmax,ntied,unimodal,pass_D,pass_W,pass_M,pass_Q
BOOK,U56,0.5,0.0,0.015625,Q,1,False,0.0,0.0,0.0,0.015625
BOOK,U56,0.5,10.0,0.0078125,Q,1,False,0.0,0.0,0.0,0.0078125
BOOK,U56,0.5,25.0,0.0,NONE,0,True,0.0,0.0,0.0,0.0
BOOK,U56,0.5,50.0,0.0,NONE,0,True,0.0,0.0,0.0,0.0
BOOK,U56,0.75,0.0,0.8333333333333334,D+W,2,True,0.8333333333333334,0.8333333333333334,0.22727272727272727,0.044270833333333336
BOOK,U56,0.75,10.0,0.8333333333333334,W,1,True,0.3333333333333333,0.8333333333333334,0.20454545454545456,0.044270833333333336
BOOK,U56,0.75,25.0,0.25,W,1,True,0.0,0.25,0.1893939393939394,0.041666666666666664
BOOK,U56,0.75,50.0,0.12121212121212122,M,1,False,0.0,0.0,0.12121212121212122,0.036458333333333336
BOOK,U56,1.0,0.0,0.19444444444444445,W,1,True,0.16666666666666666,0.19444444444444445,0.09090909090909091,0.026041666666666668
BOOK,U56,1.0,10.0,0.16666666666666666,D+W,2,True,0.16666666666666666,0.16666666666666666,0.09090909090909091,0.026041666666666668
BOOK,U56,1.0,25.0,0.16666666666666666,D+W,2,True,0.16666666666666666,0.16666666666666666,0.09090909090909091,0.0234375
BOOK,U56,1.0,50.0,0.09090909090909091,M,1,True,0.0,0.027777777777777776,0.09090909090909091,0.0234375
BOOK,B136,0.5,0.0,0.3776041666666667,Q,1,True,0.0,0.16666666666666666,0.25757575757575757,0.3776041666666667
BOOK,B136,0.5,10.0,0.2552083333333333,Q,1,False,0.0,0.0,0.06818181818181818,0.2552083333333333
BOOK,B136,0.5,25.0,0.12760416666666666,Q,1,False,0.0,0.0,0.0,0.12760416666666666
BOOK,B136,0.5,50.0,0.020833333333333332,Q,1,False,0.0,0.0,0.0,0.020833333333333332
BOOK,B136,0.75,0.0,0.1388888888888889,W,1,False,0.0,0.1388888888888889,0.0,0.0
BOOK,B136,0.75,10.0,0.027777777777777776,W,1,False,0.0,0.027777777777777776,0.0,0.0
BOOK,B136,0.75,25.0,0.0,NONE,0,True,0.0,0.0,0.0,0.0
BOOK,B136,0.75,50.0,0.0,NONE,0,True,0.0,0.0,0.0,0.0
BOOK,B136,1.0,0.0,0.16666666666666666,D,1,True,0.16666666666666666,0.1388888888888889,0.05303030303030303,0.018229166666666668
BOOK,B136,1.0,10.0,0.1388888888888889,W,1,True,0.0,0.1388888888888889,0.05303030303030303,0.018229166666666668
BOOK,B136,1.0,25.0,0.018229166666666668,Q,1,False,0.0,0.0,0.007575757575757576,0.018229166666666668
BOOK,B136,1.0,50.0,0.015625,Q,1,False,0.0,0.0,0.0,0.015625
NULL,U56,0.5,0.0,0.0,NONE,0,True,0.0,0.0,0.0,0.0
NULL,U56,0.5,10.0,0.0,NONE,0,True,0.0,0.0,0.0,0.0
NULL,U56,0.5,25.0,0.0,NONE,0,True,0.0,0.0,0.0,0.0
NULL,U56,0.5,50.0,0.0,NONE,0,True,0.0,0.0,0.0,0.0
NULL,U56,0.75,0.0,0.15,D+Q,2,False,0.15,0.0,0.05,0.15
NULL,U56,0.75,10.0,0.15,Q,1,False,0.0,0.0,0.0,0.15
NULL,U56,0.75,25.0,0.15,Q,1,False,0.0,0.0,0.0,0.15
NULL,U56,0.75,50.0,0.05,Q,1,False,0.0,0.0,0.0,0.05
NULL,U56,1.0,0.0,0.0,NONE,0,True,0.0,0.0,0.0,0.0
NULL,U56,1.0,10.0,0.0,NONE,0,True,0.0,0.0,0.0,0.0
NULL,U56,1.0,25.0,0.0,NONE,0,True,0.0,0.0,0.0,0.0
NULL,U56,1.0,50.0,0.0,NONE,0,True,0.0,0.0,0.0,0.0
NULL,B136,0.5,0.0,0.1,Q,1,False,0.0,0.0,0.05,0.1
NULL,B136,0.5,10.0,0.05,Q,1,False,0.0,0.0,0.0,0.05
NULL,B136,0.5,25.0,0.0,NONE,0,True,0.0,0.0,0.0,0.0
NULL,B136,0.5,50.0,0.0,NONE,0,True,0.0,0.0,0.0,0.0
NULL,B136,0.75,0.0,0.0,NONE,0,True,0.0,0.0,0.0,0.0
NULL,B136,0.75,10.0,0.0,NONE,0,True,0.0,0.0,0.0,0.0
NULL,B136,0.75,25.0,0.0,NONE,0,True,0.0,0.0,0.0,0.0
NULL,B136,0.75,50.0,0.0,NONE,0,True,0.0,0.0,0.0,0.0
NULL,B136,1.0,0.0,0.0,NONE,0,True,0.0,0.0,0.0,0.0
NULL,B136,1.0,10.0,0.0,NONE,0,True,0.0,0.0,0.0,0.0
NULL,B136,1.0,25.0,0.0,NONE,0,True,0.0,0.0,0.0,0.0
NULL,B136,1.0,50.0,0.0,NONE,0,True,0.0,0.0,0.0,0.0
