claimset,mult,floor,n,n_below,share_below,mean_tie_n,mean_tie_share,whole_ladder,med_dOOS_Sharpe,med_dOOS_Sharpe_below,med_dOOS_CAGR,med_dOOS_MaxDD,tie_wins_OOS,tie_wins_OOS_below,med_argmax_in_tie_adv,argmax_4b_full,tie_4b_full,argmax_4b_oos,tie_4b_oos,argmax_4a,tie_4a,manufactured,lost
CS_CORE,0.0,0.0,8,0,0.0,1.0,0.17777777777777776,0,0.0,,0.0,0.0,0,0,,3,3,3,3,0,0,0,0
CS_CORE,0.5,0.00725,8,2,0.25,3.25,0.4027777777777778,2,0.0,-0.0013041734202615674,0.0,0.0,0,0,0.0017822679740714387,3,4,3,4,0,0,2,0
CS_CORE,1.0,0.0145,8,6,0.75,4.0,0.5381944444444444,2,0.0,0.0037958588109253677,0.0,0.0030096176867605573,3,3,0.0017822679740714387,3,3,3,3,0,0,4,4
CS_CORE,2.0,0.029,8,7,0.875,4.125,0.5694444444444444,2,0.0012795921237281904,0.002559184247456381,0.003156483972900581,0.0030096176867605573,4,4,0.002454288873457333,3,3,3,3,0,0,4,4
CS_CORE,3.0,0.043500000000000004,8,7,0.875,4.625,0.6597222222222222,3,0.0012795921237281904,0.002559184247456381,0.003156483972900581,0.0030096176867605573,4,4,0.0011102470746855442,3,3,3,3,0,0,4,4
CS_WIDE,0.0,0.0,6,0,0.0,1.0,0.1425925925925926,0,0.0,,0.0,0.0,0,0,,2,2,2,2,0,0,0,0
CS_WIDE,0.5,0.00725,6,2,0.3333333333333333,1.3333333333333333,0.18055555555555555,0,0.0,-0.017269379331510015,0.0,0.0,1,1,0.06302671367988716,2,1,2,1,0,0,0,2
CS_WIDE,1.0,0.0145,6,2,0.3333333333333333,1.6666666666666667,0.1898148148148148,0,0.0,0.011571379220027878,0.0,0.0,1,1,-0.012742144776182851,2,1,2,1,0,0,0,2
CS_WIDE,2.0,0.029,6,4,0.6666666666666666,2.8333333333333335,0.3083333333333333,0,0.0,-0.0013692224408640152,0.0,0.0,2,2,0.04915403928364348,2,1,2,1,0,0,0,2
CS_WIDE,3.0,0.043500000000000004,6,5,0.8333333333333334,3.5,0.4129629629629629,0,0.014793944417253235,0.019835598806164922,0.0009780079102937878,0.0037397647015132707,4,4,0.0007345427186906672,2,2,2,2,0,0,2,2
CS_ALL,0.0,0.0,14,0,0.0,1.0,0.16269841269841273,0,0.0,,0.0,0.0,0,0,,5,5,5,5,0,0,0,0
CS_ALL,0.5,0.00725,14,4,0.2857142857142857,2.4285714285714284,0.3075396825396826,2,0.0,-0.0013041734202615674,0.0,0.0,1,1,0.0017822679740714387,5,5,5,5,0,0,2,2
CS_ALL,1.0,0.0145,14,8,0.5714285714285714,3.0,0.3888888888888889,2,0.0,0.0037958588109253677,0.0,0.0,4,4,0.0017822679740714387,5,4,5,4,0,0,4,6
CS_ALL,2.0,0.029,14,11,0.7857142857142857,3.5714285714285716,0.4575396825396826,2,0.0,0.002559184247456381,0.0,0.0,6,6,0.02436349634428292,5,4,5,4,0,0,4,6
CS_ALL,3.0,0.043500000000000004,14,12,0.8571428571428571,4.142857142857143,0.553968253968254,3,0.0061557371378989645,0.014793944417253235,0.0009780079102937878,0.0037397647015132707,8,8,0.0009223948966881057,5,5,5,5,0,0,6,6
