window,panel,k,m,p_bar,FEAS_floor
FULL,U56,1,54,0.018518518518518517,161
FULL,B136,0,54,0.0,INFINITE
FULL,SMALL439,1,54,0.018518518518518517,161
FULL,POOLED,2,162,0.012345679012345678,242
POST2020,U56,0,54,0.0,INFINITE
POST2020,B136,0,54,0.0,INFINITE
POST2020,SMALL439,0,54,0.0,INFINITE
POST2020,POOLED,0,162,0.0,INFINITE
