stat,pool,tree,F,rows,p_row,p_file,gap
keep4b,ALL,FULL,233,345054,0.07944553606102234,0.2158151225100578,-0.13636958644903546
keep4b,BOOL,FULL,213,344181,0.07778465400472426,0.15067078209939672,-0.07288612809467246
keep4b,BOOL,<= 2026-09-15,154,330884,0.07548566869356028,0.1481187651312837,-0.07263309643772341
pass4b,ALL,FULL,840,1390436,0.1267350672738623,0.23260087952390454,-0.10586581225004224
pass4b,BOOL,FULL,766,1382967,0.1248569199409675,0.18972596000331754,-0.06486904006235004
pass4b,BOOL,<= 2026-09-15,586,990766,0.129727907497835,0.1625745563156794,-0.03284664881784441
keep4a,ALL,FULL,220,337696,0.010083033260684165,0.07451442032394452,-0.06443138706326036
keep4a,BOOL,FULL,206,337291,0.008918115218016491,0.016134602071958014,-0.007216486853941523
keep4a,BOOL,<= 2026-09-15,148,325744,0.009191266761628764,0.019754919100157777,-0.010563652338529014
pass4a,ALL,FULL,773,980529,0.07940203706366665,0.09906464217308426,-0.019662605109417614
pass4a,BOOL,FULL,726,975513,0.07674218590628726,0.06843895922807995,0.008303226678207307
pass4a,BOOL,<= 2026-09-15,540,705494,0.10385488749727141,0.0908953585051129,0.012959528992158506
ALL4b,ALL,FULL,1247,1807152,0.12304056327303957,0.23269853707755858,-0.10965797380451901
ALL4b,BOOL,FULL,1140,1794884,0.12024843945346886,0.18495118003523736,-0.0647027405817685
ALL4b,BOOL,<= 2026-09-15,797,1368140,0.1211623079509407,0.165233323890883,-0.044071015939942296
