axis,pool,N,panel,ladder,cost,kind,npoints,n_used,slope,slope_p95,slope_noise,lo,hi
TAPE,GRID,18,U56,NATIVE,10.0,NULL_0,4,1,,-0.36976705955255074,-0.3147655376630103,0.0,0.015538616558036046
TAPE,GRID,18,U56,NATIVE,10.0,NULL_0R,4,4,-0.041135376336875404,-0.17216727224469267,-0.33755149158370573,0.29926305069163617,0.3231217190185165
TAPE,GRID,18,U56,NATIVE,25.0,NULL_0,4,1,,-0.3671879418608736,-0.3120051027741693,0.0,0.015936077911020634
TAPE,GRID,18,U56,NATIVE,25.0,NULL_0R,4,4,-0.027118025587469625,-0.16957556445890182,-0.3379513211358029,0.2734133119133932,0.29326552298240705
TAPE,GRID,18,U56,SCALED,10.0,NULL_0,4,1,,-0.5867837413079388,-0.5587549995443718,0.0,0.0088371936525804
TAPE,GRID,18,U56,SCALED,10.0,NULL_0R,4,4,-0.045774429929458696,-0.1960476531803207,-0.4554966557747499,0.29926305069163617,0.32467334165030565
TAPE,GRID,18,U56,SCALED,25.0,NULL_0,4,1,,-0.5854890716776414,-0.5562952476277747,0.0,0.011733532628776504
TAPE,GRID,18,U56,SCALED,25.0,NULL_0R,4,4,-0.041680444018643494,-0.20853420645626142,-0.46523035525335843,0.2734133119133932,0.29543189465410413
TAPE,GRID,18,B136,NATIVE,10.0,NULL_0,4,2,-0.15696064823239098,-0.38949868487471784,-0.3606103281674009,0.0,0.03931650953307717
TAPE,GRID,18,B136,NATIVE,10.0,NULL_0R,4,4,-0.10826022707558405,-0.20410435786687078,-0.3133737503082871,0.2837894577808424,0.34203494436332676
TAPE,GRID,18,B136,NATIVE,25.0,NULL_0,4,2,-0.0903065759848633,-0.38725816014708897,-0.36017811096371655,0.0,0.036854452361769874
TAPE,GRID,18,B136,NATIVE,25.0,NULL_0R,4,4,-0.08433969227864087,-0.19314045579953337,-0.30802757929997837,0.2531467535026136,0.2999658571120103
TAPE,GRID,18,B136,SCALED,10.0,NULL_0,4,2,-0.12761917840756715,-0.601470296084983,-0.6276170613738803,0.0,0.03567249621392686
TAPE,GRID,18,B136,SCALED,10.0,NULL_0R,4,4,-0.131977223933225,-0.2977261143239505,-0.5045817553427724,0.29184391110896296,0.35175812837138276
TAPE,GRID,18,B136,SCALED,25.0,NULL_0,4,3,1.5359521247360812,-0.5959694125597453,-0.6262388510275497,0.0,0.03536623646195051
TAPE,GRID,18,B136,SCALED,25.0,NULL_0R,4,4,-0.11160928834991848,-0.29988942324680257,-0.5093498221200299,0.26232993952539896,0.31032883329006977
TAPE,SHELF,24,U56,NATIVE,10.0,NULL_0,4,2,-1.7809610378110996,-0.31728897843677567,-0.2621734032025452,0.0,0.01609512545957211
TAPE,SHELF,24,U56,NATIVE,10.0,NULL_0R,4,4,-0.0131803176325135,-0.13277396713577702,-0.28333019193427517,0.27322578908096784,0.3023386067269089
TAPE,SHELF,24,U56,NATIVE,25.0,NULL_0,4,2,-0.9765680832004662,-0.3176539414978154,-0.2618805567307394,0.0,0.014133013554651318
TAPE,SHELF,24,U56,NATIVE,25.0,NULL_0R,4,4,-0.01178575818315336,-0.128791453208704,-0.2819746728000038,0.25066441914392834,0.27734430983306313
TAPE,SHELF,24,U56,SCALED,10.0,NULL_0,4,0,,-0.48695563073316467,-0.533182331446306,0.0,0.0
TAPE,SHELF,24,U56,SCALED,10.0,NULL_0R,4,4,-0.0015753806468149396,-0.1904326333864899,-0.405160858187782,0.27322578908096784,0.3061168440543234
TAPE,SHELF,24,U56,SCALED,25.0,NULL_0,4,0,,-0.48117993593325575,-0.532002262286988,0.0,0.0
TAPE,SHELF,24,U56,SCALED,25.0,NULL_0R,4,4,0.0038437079780250564,-0.20043541075545449,-0.41096021148599593,0.25066441914392834,0.2818986322139367
TAPE,SHELF,20,B136,NATIVE,10.0,NULL_0,4,2,2.782882379257028,-0.3972083076110379,-0.3480337555676558,0.0,0.02684956329384951
TAPE,SHELF,20,B136,NATIVE,10.0,NULL_0R,4,4,-0.1168374234197772,-0.19997099106573046,-0.34801872401723444,0.26515613385774506,0.3387937582159266
TAPE,SHELF,20,B136,NATIVE,25.0,NULL_0,4,2,2.4198955897643297,-0.39473295207632364,-0.34750898390907675,0.0,0.026746296026529146
TAPE,SHELF,20,B136,NATIVE,25.0,NULL_0R,4,4,-0.09480113076682757,-0.20247404292707427,-0.3499988940121563,0.2368523028925322,0.2976442965593332
TAPE,SHELF,20,B136,SCALED,10.0,NULL_0,4,1,,-0.5911471184403594,-0.616975794001826,0.0,0.029613414519455927
