panel,gross,N,dSharpe,SE,t,sig
U56,0.5,10,-0.045710409737094615,0.09383480589720529,-0.4871370415277432,False
U56,0.5,14,-0.0009290495344043137,0.05451661666267438,-0.01704158458975686,False
U56,0.5,28,-0.0687045040514922,0.054072888424619284,-1.2705906056279983,False
U56,0.5,40,-0.018273165995591034,0.07240201001135393,-0.2523847886643682,False
U56,0.75,10,-0.045600517277205155,0.093742345972192,-0.4864452324537752,False
U56,0.75,14,-0.0009058145700784337,0.05431296131601754,-0.016677687022219098,False
U56,0.75,28,-0.06911799224947246,0.054127320438991676,-1.2769520399107352,False
U56,0.75,40,-0.018758870303986708,0.07243521055700475,-0.2589744705611635,False
U56,1.0,10,-0.04552570020553626,0.09365732106224936,-0.48608800347041303,False
U56,1.0,14,-0.0009151214309737199,0.05411845961382122,-0.016909598637948088,False
U56,1.0,28,-0.06955202509040093,0.054188213936922594,-1.283526804765377,False
U56,1.0,40,-0.019221278552283394,0.07247735639998633,-0.2652039134292572,False
B136,0.5,10,-0.0018819254773339011,0.07232776343719655,-0.026019406489293833,False
B136,0.5,14,0.032363384371098425,0.049524401934317834,0.6534835981264477,False
B136,0.5,28,0.0428969351895625,0.050843056206484154,0.843712758244689,False
B136,0.5,40,0.022277686960429977,0.07449476437404935,0.2990503714941681,False
B136,0.75,10,-0.0006283182219379846,0.07218599702773666,-0.008704156592816198,False
B136,0.75,14,0.03302634446495012,0.0494318086239828,0.6681192815778695,False
B136,0.75,28,0.04232369855722218,0.05077845969733824,0.8334970932456375,False
B136,0.75,40,0.02139849106296743,0.0743539266824026,0.28779234692431954,False
B136,1.0,10,0.0006216098883264909,0.07204430574966358,0.008628161266296796,False
B136,1.0,14,0.03367205440473153,0.04933918058812361,0.6824607543814115,False
B136,1.0,28,0.04173252547564865,0.05071124993726493,0.8229441302921168,False
B136,1.0,40,0.020491415960991244,0.07421679676158587,0.2761021339524784,False
SMALL,0.5,10,0.021657635169895495,0.08302415491728014,0.26085944736774197,False
SMALL,0.5,14,0.06463732382371079,0.06223499532665429,1.038600926768731,False
SMALL,0.5,28,0.02574829461706185,0.056649753236737946,0.45451733054264776,False
SMALL,0.5,40,-0.022408400260481243,0.0757590777416788,-0.2957850191483163,False
SMALL,0.75,10,0.02199788544604353,0.08297091633328893,0.2651276666353715,False
SMALL,0.75,14,0.06470426302838472,0.06210834898016684,1.0417965392872839,False
SMALL,0.75,28,0.024673276360078655,0.056685313119416714,0.43526753231653564,False
SMALL,0.75,40,-0.024063102850308826,0.07593823625761416,-0.316877294445933,False
SMALL,1.0,10,0.022358461603248614,0.08291921814435768,0.26964149088241274,False
SMALL,1.0,14,0.06475644835494021,0.06197847059203007,1.0448216572040963,False
SMALL,1.0,28,0.0235662488676317,0.05672108789200612,0.41547596746558463,False
SMALL,1.0,40,-0.02571046799161586,0.0761028389793877,-0.33783848718941334,False
