panel,book,sleeve,cost,n,pass4a,pass4b,both
broad,EWall,S3,0.0,88,0,40,0
broad,EWall,S3,5.0,88,0,32,0
broad,EWall,S3,10.0,88,0,32,0
broad,EWall,S3,15.0,88,0,32,0
broad,EWall,S3,25.0,88,0,24,0
broad,EWall,S3,50.0,88,0,16,0
broad,EWall,S4,0.0,88,0,32,0
broad,EWall,S4,5.0,88,0,32,0
broad,EWall,S4,10.0,88,0,24,0
broad,EWall,S4,15.0,88,0,24,0
broad,EWall,S4,25.0,88,0,16,0
broad,EWall,S4,50.0,88,0,8,0
broad,TOP20,S3,0.0,88,0,54,0
broad,TOP20,S3,5.0,88,0,52,0
broad,TOP20,S3,10.0,88,0,46,0
broad,TOP20,S3,15.0,88,0,38,0
broad,TOP20,S3,25.0,88,0,12,0
broad,TOP20,S3,50.0,88,0,0,0
broad,TOP20,S4,0.0,88,0,48,0
broad,TOP20,S4,5.0,88,0,48,0
broad,TOP20,S4,10.0,88,0,43,0
broad,TOP20,S4,15.0,88,0,37,0
broad,TOP20,S4,25.0,88,0,15,0
broad,TOP20,S4,50.0,88,0,0,0
u56,EWall,S3,0.0,88,8,48,0
u56,EWall,S3,5.0,88,8,40,0
u56,EWall,S3,10.0,88,8,40,0
u56,EWall,S3,15.0,88,8,38,0
u56,EWall,S3,25.0,88,0,32,0
u56,EWall,S3,50.0,88,0,24,0
u56,EWall,S4,0.0,88,0,40,0
u56,EWall,S4,5.0,88,0,40,0
u56,EWall,S4,10.0,88,0,32,0
u56,EWall,S4,15.0,88,0,32,0
u56,EWall,S4,25.0,88,0,24,0
u56,EWall,S4,50.0,88,0,16,0
u56,TOP20,S3,0.0,88,6,71,6
u56,TOP20,S3,5.0,88,6,70,6
u56,TOP20,S3,10.0,88,6,63,0
u56,TOP20,S3,15.0,88,5,59,0
u56,TOP20,S3,25.0,88,0,47,0
u56,TOP20,S3,50.0,88,0,21,0
u56,TOP20,S4,0.0,88,0,69,0
u56,TOP20,S4,5.0,88,0,69,0
u56,TOP20,S4,10.0,88,0,66,0
u56,TOP20,S4,15.0,88,0,58,0
u56,TOP20,S4,25.0,88,0,47,0
u56,TOP20,S4,50.0,88,0,19,0
