cadset,predictor,n,beta1,R2,adjR2,spearman,loo_rmse,loo_base,beats_mean
POOLED_WMQ,CORR_IS,30,-6.5605885287744234,0.28199965397739457,0.25635678447658716,-0.3652750407067628,0.2229931762810363,0.24339714874550103,True
POOLED_WMQ,K_IS,30,-0.075815907673154,0.056696323638878554,0.02300690662598137,-0.18690827392423076,0.24172365645811475,0.24339714874550103,True
POOLED_WMQ,CORR_IS+K_IS,30,-7.415888538379277,0.2909002897890608,0.23837438532899125,-0.3652750407067628,0.22718036418979615,0.24339714874550103,True
POOLED_WMQ,CORR_FULL,30,-5.4180999678798925,0.23557261397208584,0.20827163589966025,-0.2987015291611699,0.2315779468436254,0.24339714874550103,True
POOLED_WMQ,LIFT_IS,30,-0.07678176864608144,0.006945229160054467,-0.028521012655657874,-0.25041570661953516,0.2507775279149177,0.24339714874550103,False
W,CORR_IS,10,-0.25326703757546387,0.12209049631759117,0.012351808357290106,-0.37194949554383877,0.006319074058938568,0.006153054713272648,False
W,K_IS,10,-0.003755513399369937,0.25102611872039327,0.1574043835604424,-0.37194949554383877,0.006562922071998926,0.006153054713272648,False
W,CORR_IS+K_IS,10,0.6477468566065339,0.3560382932278101,0.17204923415004159,-0.37194949554383877,0.006848967439131175,0.006153054713272648,False
W,CORR_FULL,10,-0.19114500055917394,0.06611744336429004,-0.05061787621517366,-0.27679962459076374,0.00648995365343444,0.006153054713272648,False
W,LIFT_IS,10,0.3513139695712306,0.9699320464249203,0.9661735522280352,1.0,0.0028460596229798636,0.006153054713272648,True
M,CORR_IS,10,-7.651878576093989,0.46188736486396553,0.39462328547196124,-0.4848811378764269,0.15982234847586727,0.1559677079588141,False
M,K_IS,10,-0.10013425096659759,0.2778016930062779,0.18752690463206267,-0.3814398284627892,0.16624203364681686,0.1559677079588141,False
M,CORR_IS+K_IS,10,-12.387212169791232,0.5021261931426225,0.3598765340405147,-0.4848811378764269,0.1594015862806442,0.1559677079588141,False
M,CORR_FULL,10,-7.003785530486257,0.316923469531024,0.231538903222402,-0.45902081052301746,0.1744027338878383,0.1559677079588141,False
M,LIFT_IS,10,-0.21404517805026677,0.09666649873511168,-0.016250188922999342,-0.32070013363287503,0.15767840760681073,0.1559677079588141,False
Q,CORR_IS,10,-7.752215581515984,0.14422910410129963,0.037257742113962045,-0.23920802801903726,0.40357525800437005,0.3897134116371626,False
Q,K_IS,10,-0.12362735660747275,0.06787945599141254,-0.04863561200966093,-0.09697622757528537,0.40505454662334217,0.3897134116371626,False
Q,CORR_IS+K_IS,10,-15.440593568451362,0.17806313262261053,-0.05677597234235798,-0.23920802801903726,0.41627789864877257,0.3897134116371626,False
Q,CORR_FULL,10,-6.086978853840684,0.10709019120023833,-0.004523534899731896,-0.10990639125199012,0.4302132988247302,0.3897134116371626,False
Q,LIFT_IS,10,-0.2931861988393873,0.08293410792690226,-0.031699128582235,-0.5563165583427425,0.408004035118014,0.3897134116371626,False
D,CORR_IS,10,,,,,,0.0,False
D,K_IS,10,,,,,,0.0,False
D,CORR_IS+K_IS,10,,,,,,0.0,False
D,CORR_FULL,10,,,,,,0.0,False
D,LIFT_IS,10,,,,,,0.0,False
