panel,cadence,band_turn,band_sharpe,twin_cadence,twin_turn,twin_sharpe,d
U56,D,11.344926285649013,1.0388947748927833,W,10.996244092602641,1.0635392242670008,-0.024644449374217503
U56,W,5.264804894861113,1.1115921870079182,M,4.816013584145754,1.213020386645567,-0.10142819963764893
U56,2W,3.790535293749359,1.0256226271389242,6W,4.000874613660089,1.1971235502884632,-0.17150092314953902
U56,M,2.7609729557140223,1.1090610296674057,Q,2.7074696540800947,1.059057201864514,0.05000382780289181
U56,6W,2.2852418937101686,1.158893609008218,Q,2.7074696540800947,1.059057201864514,0.09983640714370412
U56,Q,1.6606513419276556,1.0484166691594559,Q,2.7074696540800947,1.059057201864514,-0.010640532705058048
B136,D,10.091001111440164,0.9910285278288045,2W,9.712824192674027,0.9247298213712218,0.06629870645758262
B136,W,6.201259355559795,1.0085763379054384,M,6.52660467232208,1.1091265923130587,-0.10055025440762022
B136,2W,5.130853693772326,0.9734243594868195,6W,5.504269256069083,1.0904162726347706,-0.1169919131479511
B136,M,4.16094713437367,1.108013050991847,Q,3.6330754922265247,0.930804485207703,0.17720856578414412
B136,6W,3.4846259774824198,1.0878917049461556,Q,3.6330754922265247,0.930804485207703,0.15708721973845263
B136,Q,2.621495016181652,1.0021176024277652,Q,3.6330754922265247,0.930804485207703,0.07131311722006217
SMALL439,D,17.27275284446359,0.4844616826828346,2W,14.630461033511839,0.5397984079372593,-0.05533672525442468
SMALL439,W,11.959193552976107,0.5049605767603478,M,9.662772974904422,0.46247137253506565,0.04248920422528213
SMALL439,2W,9.873643741510758,0.5312502240849255,M,9.662772974904422,0.46247137253506565,0.06877885154985985
SMALL439,M,7.505671187216637,0.4493868863753925,6W,7.862238383389023,0.5297173391382254,-0.0803304527628329
SMALL439,6W,6.094425079212057,0.5698946731007166,Q,4.59866022679187,0.233942346680302,0.3359523264204146
SMALL439,Q,3.927552873580724,0.2883172610161946,Q,4.59866022679187,0.233942346680302,0.05437491433589259
