book,cells,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,pass4a,pass4b
S_SHARPE,132,0.8005383230526151,0.08739237937773105,-0.2565033707556694,4,15
S_CAGR,132,0.7804824416791992,0.0876865493983923,-0.2641633652106829,3,16
DONOTHING,132,0.8071391119281909,0.08169273205921827,-0.24492211537909278,0,8
RULES_v2,12,0.919389266264313,0.07004431674846,-0.14383084841735388,-1,-1
RULES_v1,12,0.4636840669543078,0.05483176933705213,-0.25701468005767786,-1,-1
SPY,12,0.88149795221947,0.1543932880908838,-0.3371659429539564,-1,-1
