scope,rung,nperm,family,pool,w,p_ALL,p_pool,obs_ALL,obs_pool,sig_ALL,sig_pool
SMALL663,0.0,1000,QROLL,SHORTW,1008,0.43356643356643354,0.01998001998001998,0.01388888888888895,0.08333333333333337,False,True
SMALL663,0.0,1000,QROLL,BALANCED,504,0.43356643356643354,0.004995004995004995,0.01388888888888895,0.16666666666666663,False,True
SMALL663,10.0,1000,QROLL,SHORTW,1008,0.3906093906093906,0.000999000999000999,0.02777777777777779,0.11111111111111105,False,True
SMALL663,10.0,1000,QROLL,BALANCED,504,0.3906093906093906,0.000999000999000999,0.02777777777777779,0.2222222222222222,False,True
SMALL663,25.0,1000,QROLL,LONGW,1008,0.4245754245754246,0.015984015984015984,-0.04861111111111116,-0.16666666666666663,False,True
SMALL663,25.0,1000,QROLL,SHORTW,1008,0.4245754245754246,0.03696303696303696,-0.04861111111111116,0.06944444444444442,False,True
SMALL663,25.0,1000,QROLL,BALANCED,2016,0.4245754245754246,0.003996003996003996,-0.04861111111111116,-0.2222222222222222,False,True
