script,form,artefacts,cells,moved,share_moved,max_rel,tok,tok_moved,status
2026-09-08_census-every-CROSSING-in-the-record-for-dial-heterogeneity_C.py,K2,8,21212,1368,0.0644917970959834,1.90002098567557,2235,-1,OK
2026-09-08_census-every-CROSSING-in-the-record-for-dial-heterogeneity_C.py,K5,8,21218,1543,0.07272127438966915,1.53597064253887,2240,-1,OK
2026-09-08_census-every-CROSSING-in-the-record-for-dial-heterogeneity_C.py,K10,8,21214,1519,0.0716036579617234,1.9025103295706145,2237,-1,OK
2026-09-08_census-every-CROSSING-in-the-record-for-dial-heterogeneity_C.py,LOO,8,21216,1494,0.0704185520361991,1.707994212710945,2239,1036,OK
2026-09-08_the-mid-tercile-band_cloud.py,K2,6,30972,56,0.0018080847216841018,0.42777634585833135,1347,28,OK
2026-09-08_the-mid-tercile-band_cloud.py,K5,6,30972,56,0.0018080847216841018,0.44543508124607023,1347,28,OK
2026-09-08_the-mid-tercile-band_cloud.py,K10,6,30972,56,0.0018080847216841018,0.6977846355585772,1347,25,OK
2026-09-08_the-mid-tercile-band_cloud.py,LOO,6,30972,55,0.0017757974945111713,0.6800362426602309,1347,21,OK
2026-09-08_why-the-035-045-share-window-dips_cloud.py,K2,10,748285,33,4.410084392978611e-05,1.8829084269255334,1429,34,OK
2026-09-08_why-the-035-045-share-window-dips_cloud.py,K5,10,748285,33,4.410084392978611e-05,0.6429011990575134,1429,34,OK
2026-09-08_why-the-035-045-share-window-dips_cloud.py,K10,10,748285,33,4.410084392978611e-05,0.965589735201381,1429,34,OK
2026-09-08_why-the-035-045-share-window-dips_cloud.py,LOO,10,748285,33,4.410084392978611e-05,0.7071572851783487,1429,35,OK
