panel,theta,x,cad,qfam,window,ident_max,ADD_pp,DROP_pp,BOTH_pp,arith_pp,sel_geo_pp,jensen_pp,COST_pp,net10_pp,both_share,both_over_sel,majority_BOTH,dominant,dominant_BOTH,n_add,n_drop,n_both,n_ma,overlap,w_add,w_drop,rbar_add,rbar_drop,sign_sel,turn_ma,turn_q
U56,0.3,0.04258870572676662,W,QUANTILE-M,FULL,2.7755575615628914e-17,0.5659353971700226,-12.775887765906289,9.139544456124773,-3.0704079126114934,-5.36827971880256,-2.2978718061910666,-0.19165588983204068,-3.262063802443534,0.4065386328329416,1.7025089851620894,True,DROP,False,0.5346846846846847,1.2747747747747749,1.7252252252252251,2.25990990990991,0.7634044249551524,0.06614958600969287,0.318651971114341,8.555388344941363,40.09354695415316,-1,16.891223425477634,14.974664527157225
U56,0.3,0.04258870572676662,W,QUANTILE-M,IS,2.7755575615628914e-17,0.06809927684920491,-13.372640828183853,10.213929551422794,-3.0906119999118538,-5.569821589880952,-2.4792095899690985,-0.1244623056926739,-3.2150743056045274,0.4317933710241098,1.833798333860296,True,DROP,False,0.25062282012954656,1.487792725460887,1.512207274539113,1.7628300946686597,0.8578292820802713,0.03209071086496991,0.37181088808336255,2.122086890993175,35.966243207987,-1,14.82592494129303,13.58130188436629
U56,0.3,0.04258870572676662,W,QUANTILE-M,OOS,1.3877787807814457e-17,0.9766041573360238,-12.283621676308641,8.253276109941817,-3.053741409030801,-5.207427399666065,-2.153685990635264,-0.24708438279040837,-3.300825791821209,0.3836323873065329,1.5849046902643469,True,DROP,False,0.769009453349774,1.0990546650226058,1.9009453349773942,2.669954788327168,0.7119766009852216,0.09424500829307098,0.27480078066763886,10.36239664066988,44.70009745410883,-1,18.59490367938577,16.124059851481686
U56,0.3,0.04258870572676662,W,QUANTILE-F,FULL,2.7755575615628914e-17,0.5659353971700226,-11.118188272647673,4.274661872295806,-6.277591003181844,-8.751037574361686,-2.4734465711798412,-0.1841106546899179,-6.461701657871762,0.2678563391315359,0.48847486209172253,False,DROP,False,0.5346846846846847,1.2747747747747749,1.7252252252252251,2.25990990990991,0.7634044249551524,0.06614958600969287,0.2658842870753315,8.555388344941363,41.815890645307746,-1,16.891223425477634,15.050116878578454
U56,0.3,0.04258870572676662,W,QUANTILE-F,IS,2.7755575615628914e-17,0.06809927684920491,-10.983422848921006,5.0104683695392405,-5.90485520253256,-8.57057686040823,-2.665721657875671,-0.06308646471182335,-5.967941667244383,0.3119456689382575,0.5846127339088566,False,DROP,False,0.25062282012954656,1.487792725460887,1.512207274539113,1.7628300946686597,0.8578292820802713,0.03209071086496991,0.31112267731788634,2.122086890993175,35.302546711176596,-1,14.82592494129303,14.195060294174796
U56,0.3,0.04258870572676662,W,QUANTILE-F,OOS,1.734723475976807e-17,0.9766041573360238,-11.229357284328492,3.6676895582935187,-6.585063568698949,-8.886149601357252,-2.3010860326583025,-0.28394441929576897,-6.869007987994718,0.23105519696150653,0.4127422700303542,False,DROP,False,0.769009453349774,1.0990546650226058,1.9009453349773942,2.669954788327168,0.7119766009852216,0.09424500829307098,0.22856679870015367,10.36239664066988,49.12943326935147,-1,18.59490367938577,15.755459486428078
U56,0.3,0.04258870572676662,M,QUANTILE-M,FULL,1.734723475976807e-17,0.4924709076815907,-13.280408568421374,8.339096251719749,-4.448841409020034,-7.119083015571137,-2.6702416065511034,-0.01392336479185161,-4.462764773811886,0.37713030958273713,1.1713722446388322,True,DROP,False,0.4997747747747748,1.3547297297297298,1.6452702702702702,2.145045045045045,0.7670096598068038,0.06033962150935435,0.33926813188402577,8.161650593138768,39.144285361175925,-1,6.703972672800676,6.56473902488216
U56,0.3,0.04258870572676662,M,QUANTILE-M,IS,1.3877787807814457e-17,0.11096570439091266,-12.974589094710074,11.105623088456946,-1.7580003018622161,-3.6970097798088686,-1.9390094779466525,0.04870240060388224,-1.7092979012583338,0.4590774016906724,3.003947446693283,True,DROP,False,0.22172396611858494,1.5435974090682612,1.4564025909317388,1.6781265570503239,0.8678741092636579,0.028511267088226808,0.3858924577421568,3.891994840058647,33.622292518034534,-1,5.834734389493759,6.321758395532581
U56,0.3,0.04258870572676662,M,QUANTILE-M,OOS,1.734723475976807e-17,0.8071774193973289,-13.53268135253094,6.056967455447019,-6.668536477686592,-9.825004365682899,-3.156467887996307,-0.06558382971139032,-6.7341203073979825,0.2969563689922383,0.6164849632640363,False,DROP,False,0.729140978216194,1.198931360460337,1.801068639539663,2.530209617755857,0.711825860948668,0.08659507047080237,0.30080737479513603,9.321286015576238,44.98786428274019,-1,7.421013870744358,6.765175573630454
U56,0.3,0.04258870572676662,M,QUANTILE-F,FULL,2.2551405187698492e-17,0.4924709076815907,-11.324902026249662,3.50639605943986,-7.326035059128211,-9.994716593875342,-2.6686815347471313,0.012585472436092052,-7.313449586692119,0.22882073339507317,0.35082496101875893,False,DROP,False,0.4997747747747748,1.3547297297297298,1.6452702702702702,2.145045045045045,0.7670096598068038,0.06033962150935435,0.2874849618669899,8.161650593138768,39.393024082732126,-1,6.703972672800676,6.829827397161596
