uni,book,n,ladder,rows,adm_all,pub,adm_pub
universe.json(56),TOP3,3,True,32,0.3125,18,0.5555555555555556
universe.json(56),TOP5,5,True,32,0.375,12,1.0
universe.json(56),TOP10,10,True,32,0.59375,22,0.8636363636363636
universe.json(56),TOP20,20,True,32,0.5625,22,0.7272727272727273
universe.json(56),TOP40,40,True,32,0.75,24,1.0
universe.json(56),TOPall,56,True,32,0.71875,24,0.9583333333333334
universe.json(56),V1u,5,False,32,0.25,24,0.3333333333333333
universe_broad.json,TOP3,3,True,32,0.25,19,0.42105263157894735
universe_broad.json,TOP5,5,True,32,0.3125,14,0.7142857142857143
universe_broad.json,TOP10,10,True,32,0.21875,18,0.3888888888888889
universe_broad.json,TOP20,20,True,32,0.28125,27,0.3333333333333333
universe_broad.json,TOP40,40,True,32,0.6875,28,0.7857142857142857
universe_broad.json,TOPall,136,True,32,0.75,24,1.0
universe_broad.json,V1u,5,False,32,0.25,17,0.47058823529411764
