n_min,tau,n_cells,n_below,share_below,flip_below,flip_above,dflip,goodS_below,goodS_above,goodD_below,goodD_above,sok_dbad_below,sok_dbad_above,regS_below,regS_above,regD_below,regD_above,hit_below,hit_above,arm
3,0.0025,12724,1074,0.08440741905061301,0.34916201117318435,0.3192274678111588,0.029934543362025556,0.6126629422718808,0.7857510729613734,0.5782122905027933,0.6514163090128755,0.19180633147113593,0.22678111587982833,-0.033527986600966266,-0.059090253503712935,2.858714061226867,3.351723823410126,0.5633147113594041,0.48454935622317596,archaeology_all
3,0.005,12724,1240,0.09745363093366866,0.3790322580645161,0.3155694879832811,0.06346277008123502,0.6104838709677419,0.7884883315917799,0.5330645161290323,0.6573493556252177,0.22822580645161292,0.22335423197492163,-0.03043696732848022,-0.05979351022643486,4.0020945182697085,3.2353922188985713,0.5540322580645162,0.484413096482062,archaeology_all
3,0.01,12724,1502,0.11804464005029865,0.400133155792277,0.31126358937800747,0.08886956641426952,0.607190412782956,0.7930850115843878,0.5079893475366178,0.6636072001425771,0.2496671105193076,0.2203707004099091,-0.026936972999159356,-0.06094735140642987,5.792730099185188,2.9778257739716163,0.5505992010652463,0.48324719301372304,archaeology_all
3,0.02,12724,1835,0.14421565545425966,0.4245231607629428,0.3044356690237855,0.12008749173915728,0.6256130790190736,0.7956653503535678,0.5029972752043597,0.6692074570667647,0.2735694822888283,0.21544678115529434,-0.024821480610079338,-0.062343933695307,6.312305343029168,2.8041841436336767,0.5395095367847411,0.4830562953439251,archaeology_all
3,0.05,12724,2833,0.222650110028293,0.40804800564772326,0.2970377110504499,0.11101029459727335,0.6360748323332157,0.8098271155595996,0.5315919519943523,0.6777878879789708,0.25626544299329335,0.21453846931553938,-0.02794023310103327,-0.06523666267844164,4.6423927944757075,2.9285150801471995,0.4737027885633604,0.4962086745526236,archaeology_all
3,0.1,12724,4307,0.3384941842187991,0.3928488507081495,0.2853748366401331,0.10747401406801643,0.6454608776410494,0.8354520613045028,0.5697701416299048,0.6838541047879292,0.2342697933596471,0.21848639657835334,-0.03507278945351029,-0.06811833274936731,3.6397503128231476,3.1414324399615463,0.4471790109124681,0.5137222288226209,archaeology_all
4,0.0025,6162,428,0.0694579681921454,0.3294392523364486,0.33711196372514823,-0.007672711388699627,0.6448598130841121,0.7202650854551796,0.7873831775700935,0.5934775026159749,0.09345794392523364,0.2319497732821765,-0.06747351697414614,-0.06412163342578749,1.876123874727792,4.133984426085376,0.6074766355140186,0.41820718521102196,archaeology_all
4,0.005,6162,501,0.0813047711781889,0.35129740518962077,0.33527645292351177,0.016020952266109,0.6167664670658682,0.7237237237237237,0.688622754491018,0.5997173644232467,0.13972055888223553,0.22964140611199435,-0.058781329583455534,-0.06484767094278199,4.33672112196375,3.945336589905176,0.5788423153692615,0.41830065359477125,archaeology_all
4,0.01,6162,631,0.10240181759169101,0.38351822503961963,0.3312240101247514,0.05229421491486824,0.5816164817749604,0.7302476948110649,0.5974643423137876,0.6080274814680889,0.1838351822503962,0.22672211173386367,-0.04942536428763513,-0.06605762185190785,8.04551911278098,3.513022085950505,0.5515055467511886,0.4176459952992226,archaeology_all
4,0.02,6162,787,0.12771827328789354,0.4358322744599746,0.322046511627907,0.1137857628320676,0.5997458703939009,0.731906976744186,0.5527318932655655,0.6148837209302326,0.241423125794155,0.21953488372093025,-0.04246603403464396,-0.06755931954290888,9.699775776968808,3.1392603127595518,0.542566709021601,0.41506976744186047,archaeology_all
4,0.05,6162,1265,0.20529049010061667,0.41185770750988143,0.3171329385337962,0.09472476897608523,0.6094861660079052,0.7422911986930774,0.5501976284584981,0.621605064325097,0.23557312252964427,0.2189095364508883,-0.03804157341714876,-0.07115162772221909,6.567671347350775,3.307972935094611,0.4490118577075099,0.4267919134163774,archaeology_all
4,0.1,6162,2035,0.3302499188575138,0.401965601965602,0.3043372910104192,0.09762831095518282,0.6142506142506142,0.7647201356917858,0.5660933660933661,0.627089895808093,0.22506142506142507,0.22098376544705597,-0.041339565033958026,-0.0757029552905974,4.556955012159893,3.691263452341085,0.40343980343980346,0.4451175187787739,archaeology_all
5,0.0025,4032,215,0.053323412698412696,0.20930232558139536,0.329840188629814,-0.12053786304841865,0.7953488372093023,0.7136494629290019,0.8372093023255814,0.6127849096148807,0.08372093023255814,0.21535237097196752,-0.012023615517495723,-0.07088689602839192,1.88993237849371,3.4220732416493975,0.7534883720930232,0.35682473146450094,archaeology_all
5,0.005,4032,244,0.060515873015873016,0.25,0.3281414994720169,-0.07814149947201687,0.7663934426229508,0.7148891235480465,0.7459016393442623,0.616948257655755,0.13524590163934427,0.21304118268215416,-0.010822144751222054,-0.0714149303477654,3.291115984690698,3.3435471817548494,0.7213114754098361,0.3558606124604013,archaeology_all
5,0.01,4032,275,0.06820436507936507,0.27636363636363637,0.3268565344689912,-0.050492898105354844,0.7127272727272728,0.7183923343092893,0.7054545454545454,0.6188448229970721,0.14181818181818182,0.2132020228906042,-0.010604643665837216,-0.0719308177983839,4.296717893115108,3.270373064717925,0.6727272727272727,0.356401384083045,archaeology_all
