ceiling,n_levels,selector,declared,form,book_level,uniform,pin_rate_all,pin_rate_draws,n_ind,binom_p,band_lo,band_hi,mean_k_pick,mean_OOS_S,mean_OOS_CAGR,mean_OOS_DD,anchor_OOS_S,beats_anchor,beats_v2,beats_spy,verdict
60,2,EBAR-MAX,extensive,MAX,False,0.5,1.0,1.0,8,0.00390625,0.125,0.875,60.0,0.27969449552736103,0.031118008981716832,-0.3203665444466218,0.26604698734875054,0.65,0.025,0.0,WIDTH-PINNED
60,2,BREADTH-MAX,intensive,MAX,False,0.5,0.375,0.375,8,0.85546875,0.125,0.875,47.5,0.2444378172167454,0.025188628047746364,-0.3433907353311497,0.26604698734875054,0.375,0.025,0.0,WIDTH-NEUTRAL
60,2,EMED-MAX,extensive,MAX,False,0.5,1.0,1.0,8,0.00390625,0.125,0.875,60.0,0.27969449552736103,0.031118008981716832,-0.3203665444466218,0.26604698734875054,0.65,0.025,0.0,WIDTH-PINNED
60,2,BMED-MAX,intensive,MAX,False,0.5,0.25,0.25,8,0.96484375,0.125,0.875,45.0,0.24673457663964368,0.025525800326497466,-0.334272334120287,0.26604698734875054,0.35,0.025,0.0,WIDTH-NEUTRAL
60,2,EMAX-MAX,extensive,MAX,False,0.5,1.0,1.0,8,0.00390625,0.125,0.875,60.0,0.27969449552736103,0.031118008981716832,-0.3203665444466218,0.26604698734875054,0.65,0.025,0.0,WIDTH-PINNED
60,2,BMAX-MAX,intensive,MAX,False,0.5,0.375,0.375,8,0.85546875,0.125,0.875,47.5,0.2444378172167454,0.025188628047746364,-0.3433907353311497,0.26604698734875054,0.375,0.025,0.0,WIDTH-NEUTRAL
60,2,ESD-MAX,extensive,MAX,False,0.5,1.0,1.0,8,0.00390625,0.125,0.875,60.0,0.27969449552736103,0.031118008981716832,-0.3203665444466218,0.26604698734875054,0.65,0.025,0.0,WIDTH-PINNED
60,2,BSD-MAX,intensive,MAX,False,0.5,0.25,0.25,8,0.96484375,0.125,0.875,45.0,0.24673457663964368,0.025525800326497466,-0.334272334120287,0.26604698734875054,0.35,0.025,0.0,WIDTH-NEUTRAL
60,2,COVER-MAX,extensive,MAX,False,0.5,1.0,1.0,8,0.00390625,0.125,0.875,60.0,0.27969449552736103,0.031118008981716832,-0.3203665444466218,0.26604698734875054,0.65,0.025,0.0,WIDTH-PINNED
60,2,COVERSHARE-MAX,intensive,MAX,False,0.5,0.5,0.5,8,0.63671875,0.125,0.875,50.0,0.22719301446718915,0.023003419549992955,-0.33203807233818267,0.26604698734875054,0.3,0.0,0.0,WIDTH-NEUTRAL
60,2,SELECTIVITY-MAX,inverse,MAX,False,0.5,0.0,0.0,8,1.0,0.125,0.875,40.0,0.25239947917014005,0.026863712783707805,-0.324992796881566,0.26604698734875054,0.35,0.025,0.0,WIDTH-LEANING
60,2,IS-SHARPE-MAX,intensive,MAX,True,0.5,0.375,0.375,8,0.85546875,0.125,0.875,47.5,0.30236615930145844,0.03441204294839924,-0.3288841636733753,0.26604698734875054,0.575,0.05,0.0,WIDTH-NEUTRAL
60,2,EWSHARPE-MAX,intensive,MAX,False,0.5,0.625,0.625,8,0.36328125,0.125,0.875,52.5,0.3336880255467298,0.03880988665753094,-0.3173149992499963,0.26604698734875054,0.825,0.05,0.0,WIDTH-NEUTRAL
60,2,EBAR-MIN,extensive,MIN,False,0.5,1.0,1.0,8,0.00390625,0.125,0.875,40.0,0.25239947917014005,0.026863712783707805,-0.324992796881566,0.26604698734875054,0.35,0.025,0.0,WIDTH-PINNED
60,2,BREADTH-MIN,intensive,MIN,False,0.5,0.375,0.375,8,0.85546875,0.125,0.875,52.5,0.2876561574807558,0.03279309371767827,-0.3019686059970382,0.26604698734875054,0.625,0.025,0.0,WIDTH-NEUTRAL
60,2,K-MAX,control+,MAX,False,0.5,1.0,1.0,8,0.00390625,0.125,0.875,60.0,0.27969449552736103,0.031118008981716832,-0.3203665444466218,0.26604698734875054,0.65,0.025,0.0,WIDTH-PINNED
60,2,RANDOM,control-,MAX,False,0.5,0.625,0.625,8,0.36328125,0.125,0.875,52.5,0.27278911971551933,0.02985952400907545,-0.3064354895793985,0.26604698734875054,0.525,0.0,0.0,WIDTH-NEUTRAL
80,3,EBAR-MAX,extensive,MAX,False,0.3333333333333333,1.0,1.0,8,0.0001524157902758725,0.0,0.625,80.0,0.3311930527321444,0.04254795616625605,-0.3326693372237589,0.28776234247654847,0.7,0.2,0.0,WIDTH-PINNED
80,3,BREADTH-MAX,intensive,MAX,False,0.3333333333333333,0.25,0.25,8,0.8049077884468834,0.0,0.625,55.0,0.18553159892638155,0.015864351261443862,-0.3727881762997841,0.28776234247654847,0.3,0.05,0.0,WIDTH-NEUTRAL
80,3,EMED-MAX,extensive,MAX,False,0.3333333333333333,1.0,1.0,8,0.0001524157902758725,0.0,0.625,80.0,0.3311930527321444,0.04254795616625605,-0.3326693372237589,0.28776234247654847,0.7,0.2,0.0,WIDTH-PINNED
80,3,BMED-MAX,intensive,MAX,False,0.3333333333333333,0.25,0.25,8,0.8049077884468834,0.0,0.625,52.5,0.18782835834927986,0.016201523540194964,-0.3636697750889214,0.28776234247654847,0.3,0.05,0.0,WIDTH-NEUTRAL
80,3,EMAX-MAX,extensive,MAX,False,0.3333333333333333,1.0,1.0,8,0.0001524157902758725,0.0,0.625,80.0,0.3311930527321444,0.04254795616625605,-0.3326693372237589,0.28776234247654847,0.7,0.2,0.0,WIDTH-PINNED
80,3,BMAX-MAX,intensive,MAX,False,0.3333333333333333,0.25,0.25,8,0.8049077884468834,0.0,0.625,55.0,0.18553159892638155,0.015864351261443862,-0.3727881762997841,0.28776234247654847,0.3,0.05,0.0,WIDTH-NEUTRAL
