panel,ladder,n_rungs,anchor_rank,anchor_turnover,slowest,fastest
U56,N,6,3,2.871915705922124,2.3455426426737174,3.1258970567710365
U56,H,4,2,2.871915705922124,2.082965160319596,6.077990749392804
U56,GROSS,10,10,2.871915705922124,1.1949690671622242,2.871915705922124
U56,CADENCE,2,2,2.871915705922124,2.16102893745199,2.871915705922124
B136,N,6,3,3.246521756692372,3.0656679539246623,3.4047343475745904
B136,H,4,2,3.246521756692372,2.161871702712207,7.754677688132866
B136,GROSS,10,10,3.246521756692372,1.3476257002010736,3.246521756692372
B136,CADENCE,2,2,3.246521756692372,2.464611574769498,3.246521756692372
SMALL,N,6,3,4.14867695636535,3.8266339551690596,4.509089263934719
SMALL,H,4,2,4.14867695636535,2.861513392543226,10.95110632098906
SMALL,GROSS,10,10,4.14867695636535,1.6995368308598606,4.14867695636535
SMALL,CADENCE,2,2,4.14867695636535,3.187459899494252,4.14867695636535
