panel,c,B,draw,Sharpe,MaxDD
U56,0.0,20,0,1.1536628182453899,-0.19127562163086176
U56,0.0,20,1,1.1536628182453899,-0.19127562163086176
U56,0.0,20,2,1.1536628182453899,-0.19127562163086176
U56,0.0,20,3,1.1536628182453899,-0.19127562163086176
U56,0.0,20,4,1.1536628182453899,-0.19127562163086176
U56,0.0,20,5,1.1536628182453899,-0.19127562163086176
U56,0.0,20,6,1.1536628182453899,-0.19127562163086176
U56,0.0,20,7,1.1536628182453899,-0.19127562163086176
U56,0.0,20,8,1.1536628182453899,-0.19127562163086176
U56,0.0,20,9,1.1536628182453899,-0.19127562163086176
U56,0.0,20,10,1.1536628182453899,-0.19127562163086176
U56,0.0,20,11,1.1536628182453899,-0.19127562163086176
U56,0.0,63,0,1.1536628182453899,-0.19127562163086176
U56,0.0,63,1,1.1536628182453899,-0.19127562163086176
U56,0.0,63,2,1.1536628182453899,-0.19127562163086176
U56,0.0,63,3,1.1536628182453899,-0.19127562163086176
U56,0.0,63,4,1.1536628182453899,-0.19127562163086176
U56,0.0,63,5,1.1536628182453899,-0.19127562163086176
U56,0.0,63,6,1.1536628182453899,-0.19127562163086176
U56,0.0,63,7,1.1536628182453899,-0.19127562163086176
U56,0.0,63,8,1.1536628182453899,-0.19127562163086176
U56,0.0,63,9,1.1536628182453899,-0.19127562163086176
U56,0.0,63,10,1.1536628182453899,-0.19127562163086176
U56,0.0,63,11,1.1536628182453899,-0.19127562163086176
U56,0.0,126,0,1.1536628182453899,-0.19127562163086176
U56,0.0,126,1,1.1536628182453899,-0.19127562163086176
U56,0.0,126,2,1.1536628182453899,-0.19127562163086176
U56,0.0,126,3,1.1536628182453899,-0.19127562163086176
U56,0.0,126,4,1.1536628182453899,-0.19127562163086176
U56,0.0,126,5,1.1536628182453899,-0.19127562163086176
U56,0.0,126,6,1.1536628182453899,-0.19127562163086176
U56,0.0,126,7,1.1536628182453899,-0.19127562163086176
U56,0.0,126,8,1.1536628182453899,-0.19127562163086176
U56,0.0,126,9,1.1536628182453899,-0.19127562163086176
U56,0.0,126,10,1.1536628182453899,-0.19127562163086176
U56,0.0,126,11,1.1536628182453899,-0.19127562163086176
U56,0.0,252,0,1.1536628182453899,-0.19127562163086176
U56,0.0,252,1,1.1536628182453899,-0.19127562163086176
U56,0.0,252,2,1.1536628182453899,-0.19127562163086176
U56,0.0,252,3,1.1536628182453899,-0.19127562163086176
U56,0.0,252,4,1.1536628182453899,-0.19127562163086176
U56,0.0,252,5,1.1536628182453899,-0.19127562163086176
U56,0.0,252,6,1.1536628182453899,-0.19127562163086176
U56,0.0,252,7,1.1536628182453899,-0.19127562163086176
U56,0.0,252,8,1.1536628182453899,-0.19127562163086176
U56,0.0,252,9,1.1536628182453899,-0.19127562163086176
U56,0.0,252,10,1.1536628182453899,-0.19127562163086176
U56,0.0,252,11,1.1536628182453899,-0.19127562163086176
U56,0.25,20,0,1.105367449438105,-0.19348426561790955
U56,0.25,20,1,1.110063465443374,-0.19286485985947543
U56,0.25,20,2,1.1044953279279626,-0.19081632333296816
U56,0.25,20,3,1.1093580158438061,-0.18835017338971227
U56,0.25,20,4,1.1195732152734137,-0.19018429021592342
U56,0.25,20,5,1.1059444523074127,-0.19139210619902547
U56,0.25,20,6,1.142248385944846,-0.19143472900866176
U56,0.25,20,7,1.103211557518087,-0.19642990547296024
U56,0.25,20,8,1.1121466692137099,-0.19391864831575767
U56,0.25,20,9,1.1104394338717514,-0.1910382513039044
