kappa,cells_emptied,picks_moved_vs_S2
0.0,11,0
0.01,11,2
0.02,11,3
0.03,11,3
0.04,11,3
0.05,11,3
0.06,11,3
0.07,11,5
0.08,11,5
0.09,11,5
0.1,11,5
0.11,11,5
0.12,11,5
0.13,12,6
0.14,12,6
0.15,12,6
0.16,12,6
0.17,12,6
0.18,12,6
0.19,13,5
0.2,13,5
0.21,14,4
0.22,14,4
0.23,14,4
0.24,14,4
0.25,14,4
0.26,14,4
0.27,14,4
0.28,14,4
0.29,16,2
0.3,17,1
0.31,18,0
0.32,18,0
0.33,18,0
0.34,18,0
0.35,18,0
0.36,18,0
0.37,18,0
0.38,18,0
0.39,18,0
0.4,18,0
