,NAMED@1,NAMED@2,NAMED@3,NAMED@FWD,NAMED@ALL,vintage,topic,exposure_days,CTRL,n_head,OVERTURN@1,LATENAMED@1,SURVIVE@1,OVERTURN@2,LATENAMED@2,SURVIVE@2,OVERTURN@3,LATENAMED@3,SURVIVE@3,OVERTURN@FWD,LATENAMED@FWD,SURVIVE@FWD,KEEP4B_TXT,KEEP4B_DATA,KEEP4B_COV,KEEP4B,REPRO,REPRO_ANY
2026-09-03_RECOMMENDATION,0,0,0,0,1,2026-09-03,OTHER,9,1,0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,,
2026-09-03_broad-momentum-top10,0,0,0,0,0,2026-09-03,VOL,9,1,2,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,,
2026-09-03_composite-vs-equal-weight,0,0,0,0,0,2026-09-03,GROSS,9,1,9,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,,
2026-09-03_core-plus-trend-sleeve,0,0,0,1,1,2026-09-03,OTHER,9,1,11,1,1,0.0,1,1,0.0,1,1,0.0,1,1,0.0,1.0,0.0,0,1.0,,
2026-09-03_dual-momentum-classes,0,0,0,0,0,2026-09-03,VOL,9,1,0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,,
2026-09-03_full-exposure-v1,0,0,0,0,0,2026-09-03,OTHER,9,1,5,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,,
2026-09-03_inverse-vol-weights,0,0,0,0,0,2026-09-03,GROSS,9,1,0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,,
2026-09-03_macro-trend-ensemble,1,1,1,1,2,2026-09-03,OTHER,9,1,5,0,0,1.0,0,0,1.0,0,0,1.0,0,1,1.0,1.0,0.0,0,1.0,,
2026-09-03_qqq-trend-only,0,0,0,0,0,2026-09-03,OTHER,9,1,24,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,,
2026-09-03_vol-target,0,0,0,0,0,2026-09-03,VOL,9,1,0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1.0,0.0,0,1.0,,
2026-09-04_52w-high-proximity_C,0,0,0,0,1,2026-09-04,OTHER,8,3,6,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-04_abs-momentum-filter_C,0,0,0,0,0,2026-09-04,VOL,8,1,21,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1.0,0.0,0,1.0,0.0,1.0
2026-09-04_asset-class-dispersion_B,6,20,20,24,31,2026-09-04,OTHER,8,3,5,9,26,0.0,1,6,0.0,1,6,0.0,11,35,0.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-04_broad-H2-binding-bar_cloud,0,1,1,1,5,2026-09-04,OTHER,8,3,14,1,2,0.0,0,0,1.0,0,0,1.0,1,2,0.0,1.0,0.0,0,1.0,0.0,1.0
2026-09-04_core-sleeve-walk-forward-repair_B,0,0,0,0,0,2026-09-04,KEEP,8,1,11,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,0.0,0.8181818181818182
2026-09-04_cost-sensitivity_cloud,0,0,0,0,0,2026-09-04,GROSS,8,2,5,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,0.0,1.0
2026-09-04_crypto-sleeve_C,0,1,1,2,4,2026-09-04,OTHER,8,3,11,0,2,1.0,0,1,1.0,0,1,1.0,0,2,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-04_defensive-sleeve_cloud,1,1,1,1,1,2026-09-04,OTHER,8,1,6,0,0,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0.0,0.0,0,0.0,0.0,1.0
2026-09-04_drawdown-control_C,0,0,0,0,1,2026-09-04,MATCH,8,2,5,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,1.0,0.0,0,1.0,1.0,1.0
2026-09-04_drawdown-insurance-price-list_B,37,41,55,78,80,2026-09-04,MATCH,8,4,36,2,41,0.0,1,37,0.0,1,23,0.0,9,78,0.0,1.0,0.0,0,1.0,1.0,1.0
2026-09-04_earnings-season-avoidance_cloud,0,0,0,0,1,2026-09-04,OTHER,8,3,2,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,1.0,1.0
2026-09-04_eligible-fraction-vs-n_B,0,0,0,1,2,2026-09-04,OTHER,8,2,21,0,1,1.0,0,1,1.0,0,1,1.0,0,1,1.0,1.0,0.0,0,1.0,0.0,1.0
2026-09-04_ensemble-plus-momentum_C,0,1,1,1,1,2026-09-04,VOL,8,2,17,0,1,1.0,0,0,1.0,0,0,1.0,0,1,1.0,0.0,0.0,0,0.0,0.8823529411764706,0.8823529411764706
2026-09-04_exit-schedule-vs-entry-schedule_cloud,0,0,0,0,1,2026-09-04,OTHER,8,3,13,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,1.0,1.0
