panel,theta,peak,trough,recov,depth,dur_pt,dur_pr,speed,bin,window,recovered,eid
u56,0.08,2009-01-28,2009-03-09,2009-04-17,22.061944945147506,27,55,FAST,DEEP,IS,True,E1
u56,0.08,2010-04-23,2010-07-02,2010-11-04,15.699676276134866,49,136,FAST,SHALLOW,IS,True,E2
u56,0.08,2011-04-29,2011-10-03,2012-02-03,18.60545633455388,108,193,SLOW,SHALLOW,IS,True,E3
u56,0.08,2012-04-02,2012-06-04,2012-08-16,9.687028487274274,43,95,FAST,SHALLOW,IS,True,E4
u56,0.08,2015-07-20,2016-02-11,2016-04-18,13.022845920226322,143,188,SLOW,SHALLOW,IS,True,E5
u56,0.08,2018-01-26,2018-02-08,2018-08-06,10.101844391880899,9,132,FAST,SHALLOW,OOS,True,E6
u56,0.08,2018-09-20,2018-12-24,2019-04-12,19.348915262727306,65,140,SLOW,SHALLOW,OOS,True,E7
u56,0.08,2020-02-19,2020-03-23,2020-08-10,33.71723528339826,23,120,FAST,DEEP,OOS,True,E8
u56,0.08,2020-09-02,2020-09-23,2020-11-11,9.440425486701987,14,49,FAST,SHALLOW,OOS,True,E9
u56,0.08,2022-01-03,2022-10-12,2023-12-13,24.496403005741783,195,489,SLOW,DEEP,OOS,True,E10
u56,0.08,2024-07-16,2024-08-05,2024-09-19,8.405644031112125,14,46,FAST,SHALLOW,OOS,True,E11
u56,0.08,2025-02-19,2025-04-08,2025-06-26,18.755228269936953,34,88,FAST,SHALLOW,OOS,True,E12
u56,0.08,2026-01-27,2026-03-30,2026-04-14,8.884966829933294,43,53,FAST,SHALLOW,OOS,True,E13
u56,0.1,2009-01-28,2009-03-09,2009-04-17,22.061944945147506,27,55,FAST,DEEP,IS,True,E1
u56,0.1,2010-04-23,2010-07-02,2010-11-04,15.699676276134866,49,136,FAST,SHALLOW,IS,True,E2
u56,0.1,2011-04-29,2011-10-03,2012-02-03,18.60545633455388,108,193,SLOW,SHALLOW,IS,True,E3
u56,0.1,2015-07-20,2016-02-11,2016-04-18,13.022845920226322,143,188,SLOW,SHALLOW,IS,True,E4
u56,0.1,2018-01-26,2018-02-08,2018-08-06,10.101844391880899,9,132,FAST,SHALLOW,OOS,True,E5
u56,0.1,2018-09-20,2018-12-24,2019-04-12,19.348915262727306,65,140,SLOW,SHALLOW,OOS,True,E6
u56,0.1,2020-02-19,2020-03-23,2020-08-10,33.71723528339826,23,120,FAST,DEEP,OOS,True,E7
u56,0.1,2022-01-03,2022-10-12,2023-12-13,24.496403005741783,195,489,SLOW,DEEP,OOS,True,E8
u56,0.1,2025-02-19,2025-04-08,2025-06-26,18.755228269936953,34,88,FAST,SHALLOW,OOS,True,E9
u56,0.15,2009-01-28,2009-03-09,2009-04-17,22.061944945147506,27,55,FAST,DEEP,IS,True,E1
u56,0.15,2010-04-23,2010-07-02,2010-11-04,15.699676276134866,49,136,FAST,SHALLOW,IS,True,E2
u56,0.15,2011-04-29,2011-10-03,2012-02-03,18.60545633455388,108,193,SLOW,SHALLOW,IS,True,E3
u56,0.15,2018-09-20,2018-12-24,2019-04-12,19.348915262727306,65,140,SLOW,SHALLOW,OOS,True,E4
u56,0.15,2020-02-19,2020-03-23,2020-08-10,33.71723528339826,23,120,FAST,DEEP,OOS,True,E5
