panel,ladder,stat,peak,P_argmax,mass,set90_width,set90,set90_mass
U56,N,S_FULL,12,0.299,"{5: 0.041, 8: 0.029, 10: 0.082, 12: 0.299, 15: 0.19, 20: 0.068, 25: 0.055, 30: 0.001, 40: 0.235}",7,"[10, 12, 15, 20, 25, 30, 40]",0.93
U56,N,S_OOS,15,0.252,"{5: 0.022, 8: 0.078, 10: 0.057, 12: 0.201, 15: 0.252, 20: 0.09, 25: 0.151, 30: 0.046, 40: 0.103}",7,"[10, 12, 15, 20, 25, 30, 40]",0.9
U56,N,CAGR,5,0.475,"{5: 0.475, 8: 0.036, 10: 0.056, 12: 0.299, 15: 0.121, 20: 0.006, 25: 0.006, 30: 0.0, 40: 0.001}",5,"[5, 8, 10, 12, 15]",0.9870000000000001
U56,N,DD,20,0.212,"{5: 0.01, 8: 0.097, 10: 0.057, 12: 0.103, 15: 0.045, 20: 0.212, 25: 0.053, 30: 0.095, 40: 0.328}",8,"[8, 10, 12, 15, 20, 25, 30, 40]",0.99
U56,H,S_FULL,252,0.519,"{21: 0.157, 63: 0.107, 126: 0.217, 252: 0.519}",4,"[21, 63, 126, 252]",1.0
U56,H,S_OOS,252,0.523,"{21: 0.111, 63: 0.126, 126: 0.24, 252: 0.523}",4,"[21, 63, 126, 252]",1.0
U56,H,CAGR,252,0.542,"{21: 0.026, 63: 0.129, 126: 0.303, 252: 0.542}",3,"[63, 126, 252]",0.974
U56,H,DD,126,0.166,"{21: 0.359, 63: 0.071, 126: 0.166, 252: 0.404}",4,"[21, 63, 126, 252]",1.0
U56,GROSS,S_FULL,0.75,0.836,"{0.3: 0.067, 0.35: 0.002, 0.4: 0.007, 0.45: 0.014, 0.5: 0.012, 0.55: 0.011, 0.6: 0.017, 0.65: 0.013, 0.7: 0.021, 0.75: 0.836}",6,"[0.5, 0.55, 0.6, 0.65, 0.7, 0.75]",0.9099999999999999
U56,GROSS,S_OOS,0.75,0.84,"{0.3: 0.102, 0.35: 0.006, 0.4: 0.009, 0.45: 0.004, 0.5: 0.002, 0.55: 0.005, 0.6: 0.014, 0.65: 0.006, 0.7: 0.012, 0.75: 0.84}",10,"[0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75]",1.0
U56,GROSS,CAGR,0.75,1.0,"{0.3: 0.0, 0.35: 0.0, 0.4: 0.0, 0.45: 0.0, 0.5: 0.0, 0.55: 0.0, 0.6: 0.0, 0.65: 0.0, 0.7: 0.0, 0.75: 1.0}",1,[0.75],1.0
U56,GROSS,DD,0.3,1.0,"{0.3: 1.0, 0.35: 0.0, 0.4: 0.0, 0.45: 0.0, 0.5: 0.0, 0.55: 0.0, 0.6: 0.0, 0.65: 0.0, 0.7: 0.0, 0.75: 0.0}",1,[0.3],1.0
U56,CADENCE,S_FULL,W,0.36,"{'D': 0.12, 'W': 0.36, 'M': 0.078, 'Q': 0.442}",4,"['D', 'W', 'M', 'Q']",1.0
U56,CADENCE,S_OOS,Q,0.455,"{'D': 0.182, 'W': 0.297, 'M': 0.066, 'Q': 0.455}",4,"['D', 'W', 'M', 'Q']",1.0
U56,CADENCE,CAGR,W,0.337,"{'D': 0.285, 'W': 0.337, 'M': 0.062, 'Q': 0.316}",4,"['D', 'W', 'M', 'Q']",1.0
U56,CADENCE,DD,W,0.505,"{'D': 0.194, 'W': 0.505, 'M': 0.142, 'Q': 0.159}",4,"['D', 'W', 'M', 'Q']",1.0
B136,N,S_FULL,30,0.201,"{5: 0.053, 8: 0.021, 10: 0.12, 12: 0.048, 15: 0.06, 20: 0.018, 25: 0.18, 30: 0.201, 40: 0.299}",7,"[10, 12, 15, 20, 25, 30, 40]",0.9259999999999999
B136,N,S_OOS,30,0.204,"{5: 0.008, 8: 0.001, 10: 0.009, 12: 0.004, 15: 0.288, 20: 0.005, 25: 0.139, 30: 0.204, 40: 0.342}",5,"[15, 20, 25, 30, 40]",0.978
B136,N,CAGR,5,0.593,"{5: 0.593, 8: 0.061, 10: 0.167, 12: 0.054, 15: 0.011, 20: 0.0, 25: 0.034, 30: 0.065, 40: 0.015}",7,"[5, 8, 10, 12, 15, 20, 25]",0.92
B136,N,DD,15,0.245,"{5: 0.0, 8: 0.005, 10: 0.083, 12: 0.041, 15: 0.245, 20: 0.088, 25: 0.178, 30: 0.063, 40: 0.297}",6,"[12, 15, 20, 25, 30, 40]",0.9119999999999999
B136,H,S_FULL,21,0.278,"{21: 0.278, 63: 0.264, 126: 0.224, 252: 0.234}",4,"[21, 63, 126, 252]",1.0
B136,H,S_OOS,252,0.453,"{21: 0.199, 63: 0.146, 126: 0.202, 252: 0.453}",4,"[21, 63, 126, 252]",1.0
B136,H,CAGR,63,0.426,"{21: 0.152, 63: 0.426, 126: 0.163, 252: 0.259}",4,"[21, 63, 126, 252]",1.0
B136,H,DD,126,0.441,"{21: 0.156, 63: 0.113, 126: 0.441, 252: 0.29}",4,"[21, 63, 126, 252]",1.0
B136,GROSS,S_FULL,0.75,0.979,"{0.3: 0.007, 0.35: 0.002, 0.4: 0.0, 0.45: 0.001, 0.5: 0.002, 0.55: 0.004, 0.6: 0.002, 0.65: 0.002, 0.7: 0.001, 0.75: 0.979}",1,[0.75],0.979
