claim_set,claims,rows,share_gt10_ROWCELL,share_gt10_anypair,median_gap_pp,max_gap_pp
ALL,1819,2564269,0.010995052226498075,0.3282023089609676,0.0,30.303030303030297
NONNULL,1677,2331090,0.010137149672033392,0.31604054859868813,0.0,30.303030303030297
