family,k,U56,B136,SMALL439,winner,spread
BAND,12,0.125,0.1,0.0,U56,0.125
BAND,24,0.0,0.0,0.0,U56,0.0
BAND,36,0.0,0.0,0.0,U56,0.0
EWALL,12,0.125,0.0,0.0,U56,0.125
EWALL,24,0.175,0.0,0.0,U56,0.175
EWALL,36,0.025,0.0,0.0,U56,0.025
TOP10,12,0.15,0.075,0.0,U56,0.15
TOP10,24,0.4,0.375,0.0,U56,0.4
TOP10,36,0.45,0.15,0.0,U56,0.45
