panel,metric,n_holds,binary_holds,binary_rep,binary_stab,G_DOWNSHARE_holds,G_DOWNSHARE_rep,G_DOWNSHARE_stab,G_DECSTEPS_holds,G_DECSTEPS_rep,G_DECSTEPS_stab,G_SPEARMAN_holds,G_SPEARMAN_rep,G_SPEARMAN_stab,G_ENDSE_holds,G_ENDSE_rep,G_ENDSE_stab
U56,SHARPE,7,0,0.0,0.9879999999999999,1,0.14285714285714285,0.652,0,0.0,0.8248571428571428,2,0.2857142857142857,0.6191428571428571,0,0.0,0.78
U56,CAGR,7,2,0.2857142857142857,0.7391428571428571,7,1.0,0.7797142857142857,0,0.0,0.8297142857142858,7,1.0,0.8460000000000001,4,0.5714285714285714,0.6534285714285714
U56,MAXDD,7,0,0.0,0.9545714285714285,3,0.42857142857142855,0.58,0,0.0,0.8045714285714286,3,0.42857142857142855,0.5808571428571428,0,0.0,0.5308571428571429
U56,ULCER,7,2,0.2857142857142857,0.6991428571428572,5,0.7142857142857143,0.6374285714285716,0,0.0,0.9074285714285715,7,1.0,0.8828571428571427,5,0.7142857142857143,0.5797142857142857
B136,SHARPE,7,0,0.0,0.9885714285714285,3,0.42857142857142855,0.606,0,0.0,0.6997142857142856,4,0.5714285714285714,0.6174285714285714,0,0.0,0.8468571428571429
B136,CAGR,7,1,0.14285714285714285,0.8720000000000001,7,1.0,0.7705714285714285,0,0.0,0.826,7,1.0,0.8531428571428572,5,0.7142857142857143,0.7637142857142857
B136,MAXDD,7,0,0.0,0.9417142857142856,0,0.0,0.5977142857142858,2,0.2857142857142857,0.7071428571428572,0,0.0,0.4322857142857143,0,0.0,0.6545714285714286
B136,ULCER,7,0,0.0,0.834,7,1.0,0.7314285714285715,0,0.0,0.8657142857142858,7,1.0,0.8305714285714284,5,0.7142857142857143,0.5534285714285715
SMALL,SHARPE,7,0,0.0,0.9859999999999999,0,0.0,0.6822857142857143,0,0.0,0.7428571428571428,4,0.5714285714285714,0.5671428571428572,0,0.0,0.7134285714285713
SMALL,CAGR,7,0,0.0,0.9928571428571428,0,0.0,0.7537142857142857,0,0.0,0.7779999999999999,0,0.0,0.5957142857142858,0,0.0,0.8577142857142858
SMALL,MAXDD,7,0,0.0,0.9491428571428571,4,0.5714285714285714,0.6002857142857143,0,0.0,0.8745714285714286,6,0.8571428571428571,0.7137142857142856,2,0.2857142857142857,0.48914285714285727
SMALL,ULCER,7,1,0.14285714285714285,0.804,5,0.7142857142857143,0.6085714285714285,0,0.0,0.9,7,1.0,0.7974285714285715,1,0.14285714285714285,0.5431428571428571
